編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLLKJIOFFDA77CC,,555.02,商業用,鋼筋混凝土造,,五層,
RPROMLLKJIOFFDA77CC,,24.94,商業用,鋼筋混凝土造,,五層,
RPROMLLKJIOFFDA77CC,,555.02,工業用,鋼筋混凝土造,,五層,
RPROMLLKJIOFFDA77CC,,24.94,工業用,鋼筋混凝土造,,五層,
RPXNMLLKJIOFFDA28CC,5,360.27,見其他登記事項,見其他登記事項,104年4月15日,四十六層,
RPXNMLLKJIOFFDA28CC,5,47.96,見其他登記事項,見其他登記事項,104年4月15日,四十六層,
RPXNMLLKJIOFFDA28CC,5,37.91,見其他登記事項,見其他登記事項,104年4月15日,四十六層,
RPXNMLLKJIOFFDA28CC,5,117.37,見其他登記事項,見其他登記事項,104年4月15日,四十六層,
RPXNMLLKJIOFFDA28CC,5,24.55,見其他登記事項,見其他登記事項,104年4月15日,四十六層,
RPWPMLLKJIOFFDA38CC,13,17.58,住家用,鋼筋混凝土造,96年2月16日,十一層,
RPWPMLLKJIOFFDA38CC,13,2.87,住家用,鋼筋混凝土造,96年2月16日,十一層,
RPWPMLLKJIOFFDA38CC,13,8.65,共有部分,鋼筋混凝土造,96年2月16日,十一層,
RPXOMLLKJIOFFDA38CC,,129.14,住家用,鋼筋混凝土造,,七層,
RPXOMLLKJIOFFDA38CC,35,17.79,共有部分,鋼筋混凝土造,73年5月28日,七層,
RPWPMLLKJIOFFDA38CC,13,1.62,共有部分,鋼筋混凝土造,96年2月16日,十一層,
RPUPMLLKJIOFFDA18CC,12,30.17,住家用,鋼筋混凝土造,97年2月5日,十四層,
RPUPMLLKJIOFFDA18CC,12,14.92,共有部分,鋼筋混凝土造,97年2月5日,十四層,
RPOQMLLKJIOFFDA67CC,15,250.60,見其他登記事項,見其他登記事項,93年11月12日,一０一層,
RPOQMLLKJIOFFDA67CC,16,20.55,共有部分,見其他登記事項,92年5月23日,八層,
RPOQMLLKJIOFFDA67CC,15,146.52,共有部分,見其他登記事項,93年11月12日,一０一層,
RPSQMLLKJIOFFDA08CC,11,36.56,住家用,鋼筋混凝土造,98年3月31日,十八層,
RPSQMLLKJIOFFDA08CC,11,13.68,共有部分,見其他登記事項,98年3月31日,十八層,
RPSQMLLKJIOFFDA08CC,11,5.25,共有部分,鋼筋混凝土造,98年3月31日,十八層,
RPROMLLKJIOFFBA57CC,,75.64,住家用,加強磚造,,四層,
RPQQMLLKJIOFFDA87CC,35,122.20,住家用,鋼筋混凝土造,73年5月25日,七層,
RPQQMLLKJIOFFDA87CC,35,14.98,共有部分,鋼筋混凝土造,73年5月25日,七層,
RPQQMLLKJIOFFDA87CC,35,.62,共有部分,鋼筋混凝土造,73年5月25日,七層,
RPWOMLLKJIOFFEA38CC,48,83.40,住家用,加強磚造,61年1月27日,三層,
RPRNMLLKJIOFFEA77CC,41,96.23,住家用,鋼筋混凝土造,67年7月6日,五層,
RPSPMLLKJIOFFCA87CC,13,237.09,工業用,見其他登記事項,95年11月28日,十二層,
RPSPMLLKJIOFFCA87CC,13,18.02,共有部分,見其他登記事項,95年11月28日,十二層,
RPSPMLLKJIOFFCA87CC,13,125.12,共有部分,見其他登記事項,95年11月28日,十二層,
RPSPMLLKJIOFFEA08CC,63,51.00,住家用,磚造,45年11月2日,一層,
RPXPMLLKJIOFFEA58CC,46,74.06,住家用,鋼筋混凝土造,62年8月28日,四層,
RPUPMLLKJIOFFCA08CC,11,300.26,見其他登記事項,鋼筋混凝土造,97年10月2日,八層,
RPXQMLLKJIOFFCA48CC,38,31.37,住家用,鋼筋混凝土造,70年11月25日,五層,
RPSNMLLKJIOFFCA67CC,4,35.27,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,
RPSNMLLKJIOFFCA67CC,4,19.74,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,
RPUQMLLKJIOFFCA18CC,11,36.64,住家用,鋼筋混凝土造,97年12月15日,十五層,
RPUQMLLKJIOFFCA18CC,11,16.62,共有部分,鋼筋混凝土造,97年12月15日,十五層,
RPWPMLLKJIOFFCA28CC,,169.85,,加強磚造,,二層,
RPSOMLLKJIOFFBA67CC,,22.12,,加強磚造,,四層,
RPUOMLLKJIOFFBA87CC,,22.12,,加強磚造,,四層,
RPTOMLLKJIOFFDA08DC,16,103.90,共有部分,見其他登記事項,92年5月30日,二十一層,
RPTOMLLKJIOFFDA08DC,16,200.67,見其他登記事項,見其他登記事項,92年5月30日,二十一層,
RPTOMLLKJIOFFDA08DC,16,95.01,共有部分,見其他登記事項,92年5月30日,二十一層,
RPUPMLLKJIOFFEA28CC,38,109.29,住家用,鋼筋混凝土造,70年9月10日,五層,
