編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLLKJIOFFDA77CC,玉成段二小段,.00,都市：工
RPXNMLLKJIOFFDA28CC,信義段四小段,.00,都市：其他
RPWPMLLKJIOFFDA38CC,敦化段四小段,.00,都市：住
RPXOMLLKJIOFFDA38CC,敦化段一小段,.00,都市：住
RPUPMLLKJIOFFDA18CC,和段三小段,.00,都市：商
RPOQMLLKJIOFFDA67CC,信義段四小段,.00,都市：其他
RPSQMLLKJIOFFDA08CC,寶清段四小段,.00,都市：其他
RPROMLLKJIOFFBA57CC,萬大段二小段,.00,都市：住
RPQQMLLKJIOFFDA87CC,西松段二小段,.00,都市：住
RPQQMLLKJIOFFDA87CC,西松段二小段,.00,都市：住
RPWOMLLKJIOFFEA38CC,文林段四小段,39.33,都市：商
RPRNMLLKJIOFFEA77CC,新民段二小段,.00,都市：住
RPSPMLLKJIOFFCA87CC,西湖段四小段,.00,都市：工
RPSPMLLKJIOFFEA08CC,光華段三小段,.00,都市：商
RPXPMLLKJIOFFEA58CC,立農段二小段,28.00,都市：住
RPUPMLLKJIOFFCA08CC,舊宗段,.00,都市：工
RPUPMLLKJIOFFCA08CC,舊宗段,.00,都市：工
RPXQMLLKJIOFFCA48CC,碧湖段一小段,.00,都市：住
RPSNMLLKJIOFFCA67CC,中山段一小段,.00,都市：商
RPUQMLLKJIOFFCA18CC,正義段二小段,.00,都市：商
RPWPMLLKJIOFFCA28CC,長安段四小段,.00,都市：其他
RPSOMLLKJIOFFBA67CC,福星段二小段,.00,都市：商
RPUOMLLKJIOFFBA87CC,福星段二小段,.00,都市：商
RPTOMLLKJIOFFDA08DC,經貿段,.00,都市：其他
RPUPMLLKJIOFFEA28CC,三玉段三小段,.00,都市：住
RPQNMLLKJIOFFAA27CC,福和段一小段,.00,都市：住
RPQNMLLKJIOFFAA27CC,福和段一小段,.00,都市：住
RPQNMLLKJIOFFAA27CC,福和段一小段,.00,都市：住
RPTNMLMKJIOFFEA08CC,三玉段一小段,.00,都市：住
RPUNMLMKJIOFFEA18CC,三玉段二小段,.00,都市：商
RPROMLLKJIOFFFA97CC,通化段五小段,.00,都市：住
RPRNMLMKJIOFFFA97CC,金華段二小段,.00,都市：商
RPQNMLMKJIOFFAA37CC,景美段四小段,.00,都市：商
RPXNMLLKJIOFFFA48CC,學府段一小段,.00,都市：商
RPXNMLLKJIOFFFA48CC,學府段一小段,.00,都市：商
RPXNMLLKJIOFFFA48CC,學府段一小段,.00,都市：商
RPVOMLMKJIOFFEA38CC,立農段五小段,.00,都市：住
RPVNMLLKJIOFFAA77CC,興安段三小段,.00,都市：住
RPSNMLMKJIOFFBA67CC,漢中段二小段,.00,都市：商
RPWNMLMKJIOFFEA38CC,文林段三小段,125.75,都市：住
RPPNMLMKJIOFFEA67CC,天母段二小段,.00,都市：住
RPUOMLMKJIOFFEA28CC,蘭雅段二小段,.00,都市：住
RPOOMLMKJIOFFBA37CC,漢中段三小段,.00,都市：商
RPWNMLMKJIOFFDA28CC,永吉段一小段,.00,都市：住
RPTNMLMKJIOFFBA77CC,圓環段一小段,.00,都市：住
RPTNMLMKJIOFFBA77CC,圓環段一小段,.00,都市：其他
RPQNMLMKJIOFFBA47CC,大同段二小段,.00,都市：住
RPXOMLLKJIOFFFA58CC,仁愛段二小段,.00,都市：住
RPVNMLMKJIOFFDA18CC,西松段一小段,.00,都市：商
RPOOMLMKJIOFFDA57CC,美仁段一小段,.00,都市：商
RPQOMLMKJIOFFBA57CC,市府段一小段,.00,都市：其他
RPWNMLMKJIOFFCA18CC,金泰段,.00,都市：住
RPQOMLMKJIOFFDA77CC,寶清段四小段,.00,都市：其他
RPSPMLMKJIOFFDA08CC,信義段一小段,.00,非都市： ; 非都市編定：
RPSPMLMKJIOFFDA08CC,信義段一小段,.00,非都市： ; 非都市編定：
RPPPMLMKJIOFFDA77CC,美仁段一小段,.00,都市：商
RPWOMLMKJIOFFDA38CC,敦化段四小段,.00,都市：住
RPQNMLMKJIOFFCA57CC,中山段三小段,.00,都市：商
RPPOMLMKJIOFFCA57CC,長安段四小段,.00,都市：住
RPXNMLMKJIOFFCA28CC,中山段三小段,.00,都市：商
RPXNMLMKJIOFFCA28CC,中山段三小段,.00,都市：商
