編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKJIOFFFB08CC,1,78.58,見其他登記事項,鋼筋混凝土造,107年9月26日,十五層,
RPSNMLLKJIOFFFB08CC,1,11.16,見其他登記事項,鋼筋混凝土造,107年9月26日,十五層,
RPSNMLLKJIOFFFB08CC,1,.81,見其他登記事項,鋼筋混凝土造,107年9月26日,十五層,
RPSNMLLKJIOFFFB08CC,1,22.22,見其他登記事項,鋼筋混凝土造,107年9月26日,十五層,
RPSOMLLKJIOFFIB48CC,40,79.10,見其他登記事項,鋼筋混凝土造,68年10月12日,五層,
RPQNMLLKJIOFFKB38CC,20,76.85,住家用,鋼筋混凝土造,88年7月12日,十四層,
RPQNMLLKJIOFFKB38CC,20,31.31,見其他登記事項,鋼筋混凝土造,88年7月12日,十四層,
RPSOMLLKJIOFFAB67CC,32,86.38,住家用,鋼筋混凝土造,76年7月1日,五層,
RPQOMLLKJIOFFAB47CC,25,26.80,住家用,鋼筋混凝土造,83年6月25日,十二層,
RPQOMLLKJIOFFAB47CC,25,10.29,共有部份,鋼筋混凝土造,83年6月25日,十二層,
RPRNMLLKJIOFFFB97CC,43,164.37,住商用,見其他登記事項,65年10月20日,三層,
RPTNMLLKJIOFFFB18CC,1,47.55,見其他登記事項,鋼筋混凝土造,108年3月27日,十五層,
RPTNMLLKJIOFFFB18CC,1,7.52,見其他登記事項,鋼筋混凝土造,108年3月27日,十五層,
RPTNMLLKJIOFFFB18CC,1,16.46,見其他登記事項,鋼筋混凝土造,108年3月27日,十五層,
RPTNMLLKJIOFFHB38CC,31,66.68,住家用,鋼筋混凝土造,78年2月22日,五層,
RPTNMLLKJIOFFHB38CC,31,.13,見其他登記事項,鋼筋混凝土造,77年12月20日,五層,
RPTNMLLKJIOFFHB38CC,31,9.35,見其他登記事項,鋼筋混凝土造,77年12月20日,五層,
RPXOMLLKJIOFFIB98CC,2,24.80,見其他登記事項,鋼筋混凝土造,107年1月19日,五層,
RPXOMLLKJIOFFIB98CC,2,8.26,見其他登記事項,鋼筋混凝土造,107年1月19日,五層,
RPXOMLLKJIOFFIB98CC,2,6.97,見其他登記事項,鋼筋混凝土造,107年1月19日,五層,
RPOPMLLKJIOFFIB18CC,2,24.80,見其他登記事項,鋼筋混凝土造,107年1月19日,五層,
RPOPMLLKJIOFFIB18CC,2,8.26,見其他登記事項,鋼筋混凝土造,107年1月19日,五層,
RPOPMLLKJIOFFIB18CC,2,6.97,見其他登記事項,鋼筋混凝土造,107年1月19日,五層,
RPQNMLMKJIOFFKB48CC,16,168.88,見其他登記事項,鋼筋混凝土造,92年12月25日,三層,
RPPNMLMKJIOFFKB38CC,39,199.20,住商用,加強磚造,69年12月1日,三層,
RPXRMLLKJIOFFCB68CC,4,19.83,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPOPMLLKJIOFFBB47CC,34,139.84,住家用,鋼筋混凝土造,74年12月24日,十二層,
RPOPMLLKJIOFFBB47CC,24,28.55,住家用,鋼筋混凝土造,84年6月1日,十四層,
RPQOMLMKJIOFFDB87CC,27,68.84,見其他登記事項,鋼筋混凝土造,82年2月8日,十六層,
RPQOMLMKJIOFFDB87CC,27,10.69,共用部份,鋼筋混凝土造,82年2月8日,十六層,
RPQOMLMKJIOFFDB87CC,28,6.71,共用部份,鋼筋混凝土造,81年2月8日,十六層,
RPORMLLKJIOFFCB77CC,15,156.28,見其他登記事項,鋼筋混凝土造,94年4月8日,五層,
RPVUMLMKJIOFFCB88CC,25,118.26,住家用,鋼筋混凝土造,83年7月11日,十二層,
