編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXNMLNJKIOFFBC28CA,坡道平面,1150000,31.21
RPPOMLNJKIOFFBC57CA,坡道平面,1200000,35.96
RPTOMLNJKIOFFBC97CA,坡道平面,1150000,31.21
RPUOMLNJKIOFFBC08CA,坡道平面,1200000,35.96
RPSOMLNJKIOFFBC87CA,坡道平面,1050000,35.96
RPXNMLNKJIOFFCC38CA,坡道平面,0,
RPXNMLNKJIOFFCC38CA,坡道平面,0,
RPSNMLLLJIOFFCC77CA,坡道機械,0,
RPXNMLPLJIOFFCC68CA,坡道平面,800000,35.85
RPOOMLNKJIOFFCC57CA,坡道平面,1000000,27.40
RPOOMLNKJIOFFCC57CA,坡道平面,1000000,27.40
RPPOMLNKJIOFFCC67CA,坡道平面,1300000,27.40
RPXOMLOKJIOFFCC58CA,坡道平面,0,
RPUOMLOKJIOFFBC18CA,坡道平面,0,
RPSNMLPLJIOFFBC08CA,坡道平面,0,54.18
RPWNMLRLJIOFFBC68CA,坡道平面,0,24.17
RPQOMLNKJIOFFCC77CA,坡道平面,0,
RPPNMLPKJIOFFCC77CA,坡道平面,0,
RPUNMLMLJIOFFBC08DA,坡道平面,0,
RPSNMLOJKIOFFBC97DA,升降機械,0,
RPQNMLQKKIOFFCC08CA,坡道平面,0,
RPSNMLQLJIOFFCC28CA,坡道平面,0,
RPQNMLSJKIOFFCC18CA,坡道平面,0,
RPSNMLSJKIOFFBC28CA,坡道平面,0,
RPPPMLTLJIOFFBC38CA,坡道平面,750000,34.17
RPTNMLTKJIOFFBC48CA,坡道平面,0,13.06
RPQNMLRJKIOFFBC97CA,一樓平面,0,
RPQNMLRJKIOFFBC97CA,升降機械,700000,
RPSNMLRJKIOFFBC18CA,一樓平面,0,
RPSNMLRJKIOFFBC18CA,其他,1200000,
RPSNMLRJKIOFFBC18CA,升降機械,600000,
RPRNMLRJKIOFFBC08CA,其他,1300000,
RPUNMLOJKIOFFBC18DA,升降機械,1200000,27.65
RPRNMLQKKIOFFCC38EA,坡道平面,1300000,27.40
RPWNMLKKKIOFFCC08CA,坡道平面,0,
RPXOMLRLJIOFFCC98CA,坡道平面,0,27.94
RPWNMLKLJIOFFBC97CA,坡道平面,0,
RPRNMLQLJIOFFCC18CA,坡道平面,1150000,15.87
RPRNMLQLJIOFFCC18CA,坡道平面,1150000,15.87
RPQOMLOJKIOFFCC87CA,坡道平面,0,
RPXNMLKLJIOFFCC18CA,坡道平面,1300000,
RPRNMLSLJIOFFBC28CA,坡道平面,0,31.21
RPWNMLKLJIOFFCC18DA,升降機械,700000,31.96
RPTNMLLLJIOFFCC87CA,坡道平面,0,15.87
RPVNMLKKKIOFFCC97CA,坡道平面,0,36.40
RPUNMLLLJIOFFBC87CA,坡道機械,0,24.12
RPPNMLPLJIOFFCC87CA,坡道機械,0,
RPOOMLMJKIOFFCC47CA,坡道平面,900000,35.85
RPRNMLMJKIOFFBC57CA,坡道機械,0,17.97
RPPNMLQLJIOFFBC87CA,升降機械,0,
RPVPMLRLJIOFFBC78CA,坡道平面,750000,34.10
RPRNMLNJKIOFFCC77CA,其他,0,
RPRNMLPJKIOFFCC97CA,坡道機械,0,
RPWOMLMLJIOFFCC38CA,坡道平面,0,31.15
RPUNMLLLJIOFFCC97CA,坡道平面,0,
RPPNMLMLJIOFFCC57CA,坡道平面,1850000,33.36
RPQNMLOJKIOFFBC67CA,坡道平面,0,24.17
RPSNMLQKKIOFFCC48EA,坡道平面,1100000,27.40
RPWPMLMJJHPFFBC38EA,坡道平面,0,35.96
RPQNMLNLJIOFFCC77CA,坡道平面,0,33.19
RPQNMLOLJIOFFCC87CA,坡道平面,1300000,27.40
RPPNMLOLJIOFFCC77CA,坡道平面,1300000,27.40
RPTNMLRJKIOFFBC28CA,一樓平面,0,
RPTNMLRJKIOFFBC28CA,升降機械,800000,
RPSNMLMLJIOFFCC87CA,坡道平面,0,
RPUNMLRJKIOFFBC38CA,一樓平面,0,
RPUNMLRJKIOFFBC38CA,升降機械,800000,
RPPNMLOJKIOFFBC57CA,升降平面,800000,53.89
RPXOMLNJKIOFFBC38CA,坡道平面,0,24.17
RPSNMLMKKIOFFBC77CA,坡道平面,0,38.04
RPSNMLMKKIOFFBC77CA,坡道平面,0,38.04
RPROMLNLKIOFFBC97CA,坡道平面,1150000,31.21
RPSOMLNLKIOFFBC08CA,坡道平面,1200000,35.96
RPVOMLNLKIOFFBC38CA,坡道平面,1200000,35.96
RPPOMLNLKIOFFBC77CA,坡道平面,1200000,35.96
RPXNMLNLKIOFFBC48CA,坡道平面,1200000,35.96
RPXOMLNLKIOFFBC58CA,坡道平面,1200000,35.96
RPWOMLNLKIOFFBC48CA,坡道平面,1050000,35.96
RPWNMLNLKIOFFBC38CA,坡道平面,1050000,35.96
RPQOMLNLKIOFFBC87CA,坡道平面,1200000,35.96
RPOPMLNLKIOFFBC77CA,坡道平面,1200000,35.96
RPQOMLSKKIOFFCC38CA,坡道平面,0,
RPUNMLSLJIOFFCC68CA,坡道平面,1200000,42.95
RPUNMLSLJIOFFCC68CA,坡道平面,400000,42.95
RPRNMLOLKIOFFCC08CA,坡道平面,0,13.47
RPSOMLRLJIOFFCC48CA,坡道平面,0,10.97
RPVNMLSLJIOFFCC78CA,坡道平面,0,
RPWNMLRLJIOFFCC78CA,坡道平面,1100000,
RPVNMLRLJIOFFCC68CA,坡道平面,1100000,
RPQNMLRLJIOFFCC18CA,坡道平面,0,
RPXOMLTLJIOFFBC09CA,坡道平面,0,
RPUPMLRLJIOFFBC68CA,坡道平面,0,36.53
RPXNMLSLJIOFFCC98CA,一樓平面,0,
RPQOMLTLJIOFFBC38CA,坡道平面,450000,43.43
RPPNMLSLJIOFFBC08CA,坡道平面,0,24.52
RPPNMLSLJIOFFBC08CA,坡道平面,0,24.52
RPROMLTLJIOFFBC48CA,坡道平面,0,
RPTOMLRLJIOFFCC58CA,坡道平面,0,
RPTOMLRLJIOFFCC58CA,坡道機械,0,
RPWOMLRLJIOFFCC88CA,坡道平面,1050000,27.94
RPRNMLOJKIOFFBC77CA,坡道平面,2030000,29.77
RPOOMLLKKIOFFCC47CA,坡道平面,0,13.47
RPUNMLSKKIOFFBC58CA,坡道平面,0,14.88
RPRNMLLJKIOFFCC57CA,坡道平面,0,
RPTNMLMJKIOFFCC87CA,坡道平面,0,
RPXNMLSKKIOFFCC98CA,坡道平面,0,
RPQOMLNLKIOFFCC97CA,坡道機械,0,
RPQNMLLMKIOFFCC77CA,坡道平面,0,
RPQNMLLMKIOFFCC77CA,坡道平面,0,
RPSNMLMJKIOFFCC77CA,坡道平面,0,
RPOOMLOJKIOFFBC57CA,坡道平面,0,
RPRNMLOJKIOFFCC87CA,坡道平面,980000,21.47
RPTNMLTKKIOFFBC58CA,坡道平面,0,44.11
RPRNMLNKKIOFFCC87CA,坡道機械,0,
RPQOMLQKKIOFFCC18CA,坡道平面,0,
RPWNMLQLKIOFFBC68CA,坡道平面,0,
RPWNMLTJKIOFFCC88CA,坡道平面,1000000,15.87
RPPOMLPJKIOFFCC87CA,坡道平面,0,
RPPNMLQJKIOFFBC77CA,坡道平面,0,
RPXNMLRKKIOFFBC78CA,坡道機械,0,9.82
RPXNMLRKKIOFFBC78CA,坡道機械,0,9.82
RPVNMLTJKIOFFCC78CA,坡道平面,0,
RPQOMLPJKIOFFCC97CA,坡道機械,0,
RPROMLSKKIOFFCC48CA,坡道平面,0,
RPOOMLOLKIOFFBC87DA,升降機械,1200000,27.65
RPXNMLTKKIOFFCC09CA,坡道平面,0,
RPSNMLKKKIOFFCC67CA,坡道平面,0,
RPVNMLQKKIOFFCC58CA,坡道機械,250000,18.15
RPROMLQKKIOFFBC18CA,坡道平面,0,
RPPNMLTJKIOFFCC18CA,坡道平面,0,
RPPNMLTJKIOFFCC18CA,坡道平面,0,
RPWOMLRLKIOFFBC88CA,坡道平面,1050000,35.96
RPROMLRLKIOFFBC38CA,坡道平面,1200000,35.96
RPTOMLRLKIOFFBC58CA,坡道平面,1050000,35.96
RPXOMLRLKIOFFBC98CA,坡道平面,1200000,35.96
RPVOMLRLKIOFFBC78CA,坡道平面,1050000,35.96
RPPOMLRLKIOFFBC18CA,坡道平面,1200000,35.96
RPUOMLRLKIOFFBC68CA,坡道平面,1200000,35.96
RPQPMLRLKIOFFBC38CA,坡道平面,1200000,35.96
RPSPMLRLKIOFFBC58CA,坡道平面,1200000,35.96
RPPPMLRLKIOFFBC28CA,坡道平面,1050000,35.96
RPOPMLRLKIOFFBC18CA,坡道平面,1050000,35.96
RPUNMLPLKIOFFBC38CA,坡道平面,0,
RPSOMLMKKIOFFCC97CA,坡道平面,900000,35.85
RPSNMLRKKIOFFBC28CA,坡道平面,0,36.83
RPUNMLKKKIOFFBC77CA,一樓平面,0,
RPUNMLKKKIOFFBC77CA,升降機械,600000,
RPUNMLKKKIOFFBC77CA,升降機械,600000,
RPQNMLMKKIOFFBC57CA,坡道平面,0,
RPQNMLMKKIOFFBC57CA,坡道平面,0,
RPQNMLMKKIOFFBC57CA,坡道平面,0,
RPUNMLMKKIOFFCC08CA,坡道平面,0,
RPUNMLMKKIOFFBC97CA,坡道平面,0,
RPUNMLLKKIOFFCC97CA,坡道平面,0,32.04
