編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLTKJIOFFCC38DB,暖暖段暖暖小段,22.15,都市：住
RPWNMLMLJIOFFCC48DB,暖暖段暖暖小段,54.67,都市：住
RPUNMLMLJIOFFCC28DB,暖暖段暖暖小段,54.67,都市：住
RPXNMLMLJIOFFCC58DB,暖暖段暖暖小段,37.12,都市：住
RPQOMLMLJIOFFCC97DB,暖暖段暖暖小段,43.92,都市：住
RPPOMLMLJIOFFCC87DB,暖暖段暖暖小段,37.12,都市：住
RPWNMLQKKIOFFBC68CB,培德段,20.80,都市：住
RPOOMLMLJIOFFCC77DB,暖暖段暖暖小段,14.97,都市：住
RPPOMLRKKIOFFBC18CB,培德段,20.80,都市：住
RPVNMLQKKIOFFBC58CB,培德段,20.80,都市：住
RPXNMLQKKIOFFBC78CB,培德段,26.78,都市：住
RPOOMLQKKIOFFBC97CB,培德段,26.78,都市：住
RPROMLMLJIOFFCC08DB,暖暖段暖暖小段,69.65,都市：住
RPQOMLRKKIOFFBC28CB,培德段,23.64,都市：住
RPRNMLSLKIOFFBC48CB,培德段,20.80,都市：住
RPQNMLSLKIOFFBC38CB,培德段,27.06,都市：住
RPPNMLSLKIOFFBC28CB,培德段,23.64,都市：住
RPVQMLRLKIOFFBC09CB,培德段,20.51,都市：住
RPTNMLRLKIOFFBC58CB,培德段,26.78,都市：住
RPUQMLRLKIOFFBC98CB,培德段,30.20,都市：住
RPSQMLRLKIOFFBC78CB,培德段,26.78,都市：住
RPTQMLRLKIOFFBC88CB,培德段,20.80,都市：住
RPSNMLSLKIOFFBC58CB,培德段,30.20,都市：住
RPVNMLSLKIOFFBC88CB,培德段,26.78,都市：住
RPUNMLSLKIOFFBC78CB,培德段,23.64,都市：住
RPTNMLSLKIOFFBC68CB,培德段,27.06,都市：商
RPWNMLSLKIOFFBC98CB,培德段,20.80,都市：住
RPPQMLRLKIOFFBC48CB,培德段,20.80,都市：住
RPXNMLSLKIOFFBC09CB,培德段,31.05,都市：住
RPOOMLSLKIOFFBC28CB,培德段,20.80,都市：住
RPRQMLRLKIOFFBC68CB,培德段,26.78,都市：住
RPPOMLSLKIOFFBC38CB,培德段,20.80,都市：住
RPSOMLSLKIOFFBC68CB,培德段,26.78,都市：住
RPOPMLSLKIOFFBC38CB,培德段,20.80,都市：住
RPXOMLSLKIOFFBC56CB,培德段,26.78,都市：住
RPVOMLSLKIOFFBC98CB,培德段,20.80,都市：住
RPUOMLSLKIOFFBC88CB,培德段,23.64,都市：住
RPPPMLSLKIOFFBC48CB,培德段,20.80,都市：住
RPWOMLSLKIOFFBC09CB,培德段,23.93,都市：住
RPQOMLSLKIOFFBC48CB,培德段,26.78,都市：住
RPROMLSLKIOFFBC58CB,培德段,20.80,都市：住
RPTOMLSLKIOFFBC78CB,培德段,20.80,都市：住
RPWPMLSLKIOFFBC56CB,培德段,23.64,都市：住
RPOQMLSLKIOFFBC48CB,培德段,26.78,都市：住
RPXPMLSLKIOFFBC66CB,培德段,20.80,都市：住
RPPQMLSLKIOFFBC58CB,培德段,20.80,都市：住
RPQQMLSLKIOFFBC68CB,培德段,20.80,都市：住
RPRQMLSLKIOFFBC78CB,培德段,26.78,都市：住
RPSQMLSLKIOFFBC88CB,培德段,23.64,都市：住
RPQPMLSLKIOFFBC58CB,培德段,23.64,都市：住
RPTPMLSLKIOFFBC88CB,培德段,23.64,都市：住
RPRPMLSLKIOFFBC68CB,培德段,20.80,都市：住
RPSPMLSLKIOFFBC78CB,培德段,26.78,都市：住
RPUPMLSLKIOFFBC98CB,培德段,26.78,都市：住
RPVPMLSLKIOFFBC09CB,培德段,20.80,都市：住
RPTQMLSLKIOFFBC98CB,培德段,26.78,都市：住
RPORMLSLKIOFFBC58CB,培德段,20.80,都市：住
RPVQMLSLKIOFFBC56CB,培德段,20.80,都市：住
RPXQMLSLKIOFFBC76CB,培德段,20.80,都市：住
RPPRMLSLKIOFFBC68CB,培德段,20.80,都市：住
RPQRMLSLKIOFFBC78CB,培德段,26.78,都市：住
RPSRMLSLKIOFFBC98CB,培德段,26.78,都市：住
RPRRMLSLKIOFFBC88CB,培德段,26.78,都市：住
RPWQMLSLKIOFFBC66CB,培德段,20.80,都市：住
RPUQMLSLKIOFFBC09CB,培德段,20.80,都市：住
RPQNMLTLKIOFFBC48CB,培德段,26.78,都市：住
RPRNMLTLKIOFFBC58CB,培德段,20.80,都市：住
RPSNMLTLKIOFFBC68CB,培德段,26.78,都市：住
RPTNMLTLKIOFFBC78CB,培德段,20.80,都市：住
RPVNMLTLKIOFFBC98CB,培德段,23.64,都市：住
RPXNMLTLKIOFFBC56CB,培德段,30.20,都市：住
RPUNMLTLKIOFFBC88CB,培德段,20.80,都市：住
RPPOMLTLKIOFFBC48CB,培德段,23.64,都市：住
RPWNMLTLKIOFFBC09CB,培德段,23.93,都市：住
RPQOMLTLKIOFFBC58CB,培德段,20.80,都市：住
RPOOMLTLKIOFFBC38CB,培德段,20.80,都市：住
RPROMLTLKIOFFBC68CB,培德段,20.80,都市：住
RPVOMLTLKIOFFBC09CB,培德段,20.80,都市：住
RPWOMLTLKIOFFBC56CB,培德段,26.78,都市：住
RPXOMLTLKIOFFBC66CB,培德段,26.78,都市：住
RPSOMLTLKIOFFBC78CB,培德段,20.80,都市：住
RPPPMLTLKIOFFBC58CB,培德段,20.80,都市：住
RPQPMLTLKIOFFBC68CB,培德段,30.20,都市：住
RPSPMLTLKIOFFBC88CB,培德段,23.64,都市：住
RPOPMLTLKIOFFBC48CB,培德段,23.64,都市：住
RPRPMLTLKIOFFBC78CB,培德段,23.64,都市：住
RPTPMLTLKIOFFBC98CB,培德段,31.05,都市：住
RPVPMLTLKIOFFBC56CB,培德段,23.64,都市：住
RPUPMLTLKIOFFBC09CB,培德段,20.80,都市：住
RPWPMLTLKIOFFBC66CB,培德段,26.78,都市：住
RPUOMLTLKIOFFBC98CB,培德段,20.80,都市：住
RPXPMLTLKIOFFBC76CB,培德段,20.80,都市：住
RPSQMLTLKIOFFBC98CB,培德段,26.78,都市：住
RPPQMLTLKIOFFBC68CB,培德段,26.78,都市：住
RPUQMLTLKIOFFBC56CB,培德段,20.80,都市：住
RPWQMLTLKIOFFBC76CB,培德段,14.53,都市：住
RPVQMLTLKIOFFBC66CB,培德段,23.64,都市：住
RPTQMLTLKIOFFBC09CB,培德段,23.64,都市：住
RPQQMLTLKIOFFBC78CB,培德段,20.80,都市：住
RPRQMLTLKIOFFBC88CB,培德段,20.80,都市：住
RPOQMLTLKIOFFBC58CB,培德段,26.78,都市：住
RPXQMLTLKIOFFBC86CB,培德段,14.24,都市：住
RPORMLTLKIOFFBC68CB,培德段,28.20,都市：住
