編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLNKKIOFFCC18CC,武嶺段,.00,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.06,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.11,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.02,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.04,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.02,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.03,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.07,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,3.42,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.03,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.07,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.02,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,2.24,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.00,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,9.94,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.10,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,1.50,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.00,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.03,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.02,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.15,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.02,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.27,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.06,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.15,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,7.00,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.01,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,3.04,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.15,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.06,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,6.62,都市：住
RPSNMLNKKIOFFCC18CC,武嶺段,.08,都市：其他
RPSNMLNKKIOFFCC18CC,武嶺段,.05,都市：其他
RPSNMLMKKIOFFCC08CC,五堵段五堵北小段,30.20,都市：住
RPRNMLLKKIOFFBC77CC,東信段二小段,7.33,都市：商
RPRNMLLKKIOFFBC77CC,東信段二小段,8.66,都市：商
RPQOMLRLJIOFFCC48CC,五堵段五堵北小段,82.83,都市：住
RPOOMLKLJIOFFBC47CC,延平段,30.00,都市：商
RPOOMLKLJIOFFBC47CC,延平段,6.60,都市：商
RPOOMLKLJIOFFBC47CC,延平段,1.80,都市：商
RPOOMLKLJIOFFBC47CC,延平段,7.40,都市：商
RPPOMLPLJIOFFBC08CC,長潭段,.00,都市：住
RPQOMLPLJIOFFBC18CC,長潭段,.00,都市：住
RPSNMLPLKIOFFBC38CC,港濱段,26.00,都市：其他
RPVNMLPLJIOFFCC68CC,友蚋段港口小段,99.97,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPOMLKLKIOFFBC77DC,南新段,23.47,都市：商
RPPOMLKLKIOFFBC77DC,南新段,.13,都市：其他
RPPNMLKMKIOFFCC77CC,舊站段,28.67,都市：商
RPTOMLTJJHPFFCC78CC,新會段,5.08,都市：住
RPTOMLTJJHPFFCC78CC,新會段,.53,都市：其他
RPTOMLTJJHPFFCC78CC,新會段,1.45,都市：其他
RPTOMLTJJHPFFCC78CC,新會段,.15,都市：住
RPTOMLTJJHPFFCC78CC,新會段,3.33,都市：其他
RPXNMLTJKIOFFCC56CC,新崙段,202.40,都市：住
RPUNMLLMJHPFFCC28CC,長安段,31.32,都市：住
RPROMLNJKHPFFCC18DC,大武崙段內寮小段,113.52,都市：住
RPROMLRKJHPFFCC58DC,過港段,23.27,都市：住
RPROMLRKJHPFFCC58DC,過港段,.64,都市：其他
RPPNMLKMJHPFFBC57CC,祥豐段,.00,都市：住
RPPOMLRKJHPFFBC18CC,長潭段,.00,都市：住
RPTNMLPLJIOFFCC48CC,德育段,581.97,都市：住
RPTNMLPLJIOFFCC48CC,德育段,.31,都市：其他
RPTNMLPLJIOFFCC48CC,德育段,2.68,都市：其他
RPTNMLPLJIOFFCC48CC,德育段,20.88,都市：其他
RPTNMLPLJIOFFCC48CC,德育段,.64,都市：住
RPTNMLPLJIOFFCC48CC,德育段,3.14,都市：其他
RPPNMLKKJHPFFBC47DC,深澳坑段槓子寮小段,61.71,都市：住
