編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLMKJIOFFAD97CA,15,282.53,見其他登記事項,見其他登記事項,93年11月19日,四層,一層 二層 三層 四層 屋頂突出物
RPTNMLOKJIOFFAD97CA,36,100.71,住家用,鋼筋混凝土造,72年8月18日,八層,七層
RPTNMLOKJIOFFAD97CA,36,23.83,共有部分,鋼筋混凝土造,72年8月18日,八層,
RPPOMLTLJIOFFAD28CA,29,533.41,商業用,鋼筋混凝土造,80年1月31日,十一層,五層
RPPOMLTLJIOFFAD28CA,29,92.48,共有部分,鋼筋混凝土造,80年1月31日,十一層,
RPUNMLNJKIOFFAD97CA,16,248.62,住家用,鋼筋混凝土造,92年12月29日,四層,一層 二層 三層 四層
RPPNMLNJKIOFFAD47CA,,142.86,見其他登記事項,見其他登記事項,108年7月26日,二十四層,六層
RPPNMLNJKIOFFAD47CA,,100.64,見其他登記事項,見其他登記事項,108年7月26日,二十四層,
RPQNMLNJKIOFFAD57CA,,158.36,見其他登記事項,見其他登記事項,108年7月26日,二十四層,九層
RPQNMLNJKIOFFAD57CA,,108.23,見其他登記事項,見其他登記事項,108年7月26日,二十四層,
RPUPMLRLJIOFFAD68CA,38,102.28,住家用,鋼筋混凝土造,70年12月23日,五層,四層
RPUPMLRLJIOFFAD68CA,38,6.28,共有部分,鋼筋混凝土造,70年12月23日,五層,
RPUPMLRLJIOFFAD68CA,38,.00,共有部分,鋼筋混凝土造,70年12月23日,五層,
RPUPMLRLJIOFFAD68CA,38,8.17,共有部分,鋼筋混凝土造,70年12月23日,五層,
RPPNMLKLJIOFFBD37CA,38,99.84,住商用,加強磚造,70年5月13日,二層,一層 二層 屋頂突出物
RPROMLLLJIOFFBD77CA,38,139.73,住商用,鋼筋混凝土造,70年9月4日,三層,一層 二層 三層 屋頂突出物 走廊
RPXNMLTKJIOFFBD98CA,24,173.49,住家用,鋼筋混凝土造,84年5月16日,四層,一層 二層 三層 四層
RPVNMLMKJIOFFAD97CA,17,48.90,見其他登記事項,鋼筋混凝土造,91年12月27日,十二層,三層
RPVNMLMKJIOFFAD97CA,17,23.17,共有部分,鋼筋混凝土造,91年12月27日,十二層,
RPROMLMJKIOFFAD67CA,26,113.26,住家用,鋼筋混凝土造,82年6月12日,十二層,十層
RPROMLMJKIOFFAD67CA,26,26.99,共有部分,鋼筋混凝土造,82年6月12日,十二層,
RPQOMLMJKIOFFAD57CA,23,109.12,住家用,鋼筋混凝土造,85年9月7日,十七層,八層
RPQOMLMJKIOFFAD57CA,23,63.98,共有部分,鋼筋混凝土造,85年9月7日,十七層,
RPXNMLMJKIOFFAD18CA,,142.95,見其他登記事項,見其他登記事項,108年7月26日,二十四層,八層
RPXNMLMJKIOFFAD18CA,,100.64,見其他登記事項,見其他登記事項,108年7月26日,二十四層,
RPPPMLMKJIOFFCD77CA,38,74.89,住家用,鋼筋混凝土造,70年12月22日,五層,二層
RPPPMLMKJIOFFCD77CA,38,15.55,共有部分,鋼筋混凝土造,70年12月22日,五層,
RPWOMLMKJIOFFCD38CA,29,16.56,住家用,鋼筋混凝土造,80年1月21日,七層,五層
RPWOMLMKJIOFFCD38CA,29,6.39,共有部分,鋼筋混凝土造,80年1月21日,七層,
RPRTMLSLJIOFFCD09CA,32,179.80,住家用,鋼筋混凝土造,76年5月8日,三層,一層 二層 三層 屋頂突出物
RPSPMLMKJIOFFBD97CA,27,130.56,住商用,鋼筋混凝土造,81年6月25日,二層,一層 二層 屋頂突出物 騎樓
RPROMLMKJIOFFBD77CA,12,93.52,住家用,鋼筋混凝土造,96年5月21日,一層,一層
RPROMLSKJIOFFCD48CA,38,89.11,住家用,鋼筋混凝土造,70年9月19日,五層,二層 電梯樓梯間
RPROMLSKJIOFFCD48CA,38,9.98,共有部分,鋼筋混凝土造,70年9月19日,五層,
RPSNMLTJKIOFFCD58CA,18,195.37,見其他登記事項,鋼筋混凝土造,90年5月16日,四層,一層 二層 三層 四層 屋頂突出物
RPTOMLOKJIOFFCD28CA,31,512.14,住家用,鋼筋混凝土造,77年8月10日,四層,一層 二層 三層 四層 屋頂突出物 騎樓 地下層
RPSOMLPKJIOFFCD28CA,23,187.28,住商用,鋼筋混凝土造,85年7月6日,四層,一層 二層 三層 四層
RPPOMLOJKIOFFDD97CA,4,11033.04,見其他登記事項,鋼筋混凝土造,104年10月6日,三層,二層 三層 屋頂突出物 見其他登記事項
RPPOMLOJKIOFFDD97CA,11,122.57,見其他登記事項,見其他登記事項,97年6月20日,一層,一層
RPPOMLOJKIOFFDD97CA,,1546.88,見其他登記事項,見其他登記事項,108年6月5日,二層,一層 二層 屋頂突出物
RPPOMLOJKIOFFDD97CA,,32.13,見其他登記事項,鋼筋混凝土造,108年6月5日,一層,一層
RPPOMLOJKIOFFDD97CA,,136.70,見其他登記事項,見其他登記事項,108年6月5日,一層,一層
RPPOMLOJKIOFFDD97CA,,194.22,見其他登記事項,見其他登記事項,108年6月5日,一層,一層
RPQNMLMKJIOFFED87CA,2,3437.85,見其他登記事項,見其他登記事項,106年11月14日,三層,一層 二層 三層
RPUOMLPKJIOFFDD58CA,20,100.96,國民住宅,鋼筋混凝土造,89年4月7日,十四層,十層
RPUOMLPKJIOFFDD58CA,20,45.98,共有部分,鋼筋混凝土造,89年4月7日,十四層,
RPQNMLMKJIOFFDD77CA,25,121.95,住家用,鋼筋混凝土造,83年5月3日,六層,一層 二層
RPQNMLMKJIOFFDD77CA,25,32.06,共有部分,鋼筋混凝土造,83年5月3日,六層,
RPQNMLNKJIOFFHD28CA,1,67.02,見其他登記事項,鋼筋混凝土造,107年10月22日,十四層,二層
RPQNMLNKJIOFFHD28CA,1,75.00,見其他登記事項,鋼筋混凝土造,107年10月22日,十四層,
RPRNMLOLJIOFFHD58CA,14,352.18,見其他登記事項,鋼筋混凝土造,95年4月7日,四層,一層 二層 三層 四層
RPUNMLMKJIOFFGD48CA,1,242.43,住家用,鋼筋混凝土造,107年9月21日,四層,一層 二層 三層 四層 屋頂突出物
RPQOMLLLJIOFFGD18CA,,172.76,見其他登記事項,鋼筋混凝土造,108年5月30日,三層,一層 二層 三層 屋頂突出物
RPUNMLNKJIOFFHD68CA,36,104.32,住家用,加強磚造,73年2月7日,二層,一層 二層
RPQOMLSKJIOFFID98CA,25,166.02,住家用,鋼骨鋼筋混凝土造,83年8月30日,四層,一層 二層 三層 四層 騎樓
RPPNMLPLJIOFFID58CA,4,95.99,見其他登記事項,鋼筋混凝土造,104年12月30日,十四層,一層
RPPNMLPLJIOFFID58CA,4,25.08,見其他登記事項,鋼筋混凝土造,104年12月30日,十四層,
RPPNMLPLJIOFFID58CA,4,10.15,見其他登記事項,鋼筋混凝土造,104年12月30日,十四層,
RPPNMLPLJIOFFID58CA,4,25.08,見其他登記事項,鋼筋混凝土造,104年12月30日,十四層,
RPPNMLPLJIOFFID58CA,4,10.15,見其他登記事項,鋼筋混凝土造,104年12月30日,十四層,
RPPOMLNJKIOFFHD28CA,1,205.94,見其他登記事項,鋼筋混凝土造,107年12月6日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLMKJIOFFID88CA,2,247.24,見其他登記事項,見其他登記事項,106年6月9日,四層,一層 二層 三層 四層 騎樓
RPXNMLSKJIOFFHD86CA,10,57.82,見其他登記事項,鋼筋混凝土造,98年5月4日,十三層,
RPXNMLSKJIOFFHD86CA,10,61.70,住家用,鋼筋混凝土造,98年5月4日,十三層,八層
RPSNMLTJKIOFFID56CA,,179.92,見其他登記事項,見其他登記事項,108年8月12日,四層,一層 二層 三層 四層
RPQNMLTJKIOFFID98CA,,182.86,見其他登記事項,見其他登記事項,108年8月12日,四層,一層 二層 三層 四層
RPTNMLNKJIOFFKD88CA,26,70.28,住家用,鋼筋混凝土造,82年8月17日,六層,二層
RPTNMLNKJIOFFKD88CA,26,37.67,共有部分,鋼筋混凝土造,82年8月17日,六層,
RPPNMLMKJIOFFJD28CA,14,361.44,見其他登記事項,見其他登記事項,94年11月1日,三層,一層 二層 屋頂突出物
RPPNMLMKJIOFFJD28CA,14,107.10,見其他登記事項,見其他登記事項,94年11月1日,一層,一層
RPOOMLOKJIOFFKD58CA,1,55.77,住家用,見其他登記事項,108年4月1日,五層,五層
RPOOMLOKJIOFFKD58CA,1,17.14,見其他登記事項,見其他登記事項,108年4月1日,五層,
RPOOMLOKJIOFFKD58CA,1,23.78,見其他登記事項,見其他登記事項,108年4月1日,五層,
RPPNMLOKJIOFFKD58CA,2,120.10,見其他登記事項,見其他登記事項,106年11月14日,十六層,一層 見其他登記事項
RPPNMLOKJIOFFKD58CA,2,63.76,見其他登記事項,見其他登記事項,106年11月14日,十六層,
RPTOMLMKJIOFFKD88CA,9,451.98,見其他登記事項,鋼筋混凝土造,100年1月5日,四層,一層 二層 三層 四層 屋頂突出物
RPSOMLMKJIOFFKD78CA,24,.22,見其他登記事項,鋼筋混凝土造,84年5月11日,十四層,一層
RPSOMLMKJIOFFKD78CA,24,6.82,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPSOMLMKJIOFFKD78CA,24,.03,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPSOMLMKJIOFFKD78CA,24,7.26,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPSOMLMKJIOFFKD78CA,24,7.90,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPSOMLMKJIOFFKD78CA,24,36.00,住家用,鋼筋混凝土造,84年5月11日,十四層,六層
RPOOMLPKJIOFFKD68CA,13,206.95,住家用,鋼筋混凝土造,95年6月12日,四層,一層 二層 三層 四層 屋頂突出物
RPVOMLPKJIOFFKD76CA,36,78.17,住商用,加強磚造,73年3月26日,二層,一層 二層 騎樓
RPVPMLSKJIOFFKD17CA,,185.94,見其他登記事項,見其他登記事項,108年7月25日,四層,一層 二層 三層 四層
RPSNMLSLJIOFFAD48DA,58,51.24,住家用,磚造,51年1月1日,一層,一層
RPSNMLSLJIOFFAD48DA,58,72.16,住家用,磚造,51年1月1日,三層,一層 二層 三層
RPSPMLKKKIOFFKD78CA,,172.05,見其他登記事項,見其他登記事項,108年5月17日,四層,一層 二層 三層 四層
RPSOMLOKJIOFFKD09DA,27,79.40,住家用,鋼筋混凝土造,81年7月23日,十層,十層
RPSOMLOKJIOFFKD09DA,27,19.07,共有部分,鋼筋混凝土造,81年7月23日,十層,
RPRNMLKLJIOFFGD18DA,,189.40,見其他登記事項,鋼筋混凝土造,108年4月1日,四層,一層 二層 三層 四層
RPWPMLOKJIOFFAD58DA,23,112.24,見其他登記事項,鋼筋混凝土造,85年10月9日,八層,八層
RPWPMLOKJIOFFAD58DA,23,36.25,共有部分,鋼筋混凝土造,85年10月9日,九層,
RPWPMLOKJIOFFAD58DA,23,.00,共有部分,鋼筋混凝土造,85年10月9日,九層,
RPWPMLOKJIOFFAD58DA,23,18.16,共有部分,鋼筋混凝土造,85年10月9日,九層,
RPTNMLMLJIOFFKD88CA,3,77.11,見其他登記事項,見其他登記事項,105年9月13日,五層,一層
RPTNMLMLJIOFFKD88CA,3,12.17,見其他登記事項,見其他登記事項,105年9月13日,五層,
RPVNMLPLJIOFFKD76CA,26,103.57,住家用,鋼筋混凝土造,83年1月22日,七層,二層
RPVNMLPLJIOFFKD76CA,26,28.73,共有部分,鋼筋混凝土造,83年1月22日,七層,
RPOOMLPLJIOFFKD78CA,24,92.92,住家用,鋼筋混凝土造,84年9月8日,十九層,十七層
RPOOMLPLJIOFFKD78CA,24,33.70,共有部分,鋼筋混凝土造,84年9月8日,十九層,
RPPRMLSLJIOFFKD86CA,24,71.80,住家用,鋼筋混凝土造,84年9月8日,十九層,十一層
RPPRMLSLJIOFFKD86CA,24,19.26,共有部分,鋼筋混凝土造,84年9月8日,十九層,
RPXOMLPLJIOFFKD07CA,2,9.42,住家用,見其他登記事項,107年4月2日,五層,五層
RPXOMLPLJIOFFKD07CA,2,4.19,見其他登記事項,見其他登記事項,107年4月2日,五層,
RPPNMLKLJIOFFFD87DA,22,43.30,住家用,鋼筋混凝土造,86年6月7日,十二層,七層
RPPNMLKLJIOFFFD87DA,22,3.50,共有部分,鋼筋混凝土造,86年6月7日,十二層,
RPPNMLKLJIOFFFD87DA,22,7.92,共有部分,鋼筋混凝土造,86年6月7日,十二層,
RPSNMLNKKIOFFID68CA,1,54.33,見其他登記事項,見其他登記事項,107年11月22日,五層,四層
RPSNMLNKKIOFFID68CA,1,36.57,見其他登記事項,見其他登記事項,107年11月22日,五層,
RPVOMLSLJIOFFKD17CA,,173.34,住家用,見其他登記事項,108年8月6日,三層,一層 二層 三層 屋頂突出物
RPROMLNKJIOFFKD78CA,26,28.52,住家用,鋼筋混凝土造,82年12月28日,七層,五層
RPROMLNKJIOFFKD78CA,26,11.65,共有部分,鋼筋混凝土造,82年12月28日,七層,
RPPNMLMJKIOFFID18CA,,185.74,見其他登記事項,見其他登記事項,108年7月25日,四層,一層 二層 三層 四層
RPPOMLLKKIOFFKD48CA,,208.55,見其他登記事項,見其他登記事項,108年7月25日,四層,一層 二層 三層 四層
RPTNMLSLJIOFFID66CA,1,362.37,見其他登記事項,見其他登記事項,107年5月2日,三層,一層 二層 三層 屋頂突出物
RPTNMLSLJIOFFID66CA,1,5.48,見其他登記事項,見其他登記事項,107年5月2日,二層,
RPTNMLPLJIOFFID98CA,1,381.53,見其他登記事項,見其他登記事項,107年5月2日,三層,一層 二層 三層 屋頂突出物
RPTNMLPLJIOFFID98CA,1,5.73,見其他登記事項,見其他登記事項,107年5月2日,二層,
RPRNMLSLJIOFFID09CA,,183.04,住家用,見其他登記事項,108年7月25日,四層,一層 二層 三層 四層
RPPNMLMJKIOFFJD28CA,24,209.26,住家用,見其他登記事項,84年6月30日,二層,一層 二層
RPOOMLSKJIOFFHD68CA,54,48.08,住商用,見其他登記事項,55年1月15日,一層,一層
RPOOMLSKJIOFFHD68CA,71,53.12,住商用,見其他登記事項,37年7月23日,一層,一層
RPTNMLOJKIOFFID78CA,,180.97,見其他登記事項,見其他登記事項,108年7月25日,四層,一層 二層 三層 四層
