編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUPMLNKJIOFFCD48CB,水交社段,11.63,都市：住
RPUPMLNKJIOFFCD48CB,水交社段,17.13,都市：住
RPQPMLNKJIOFFCD08CB,水交社段,11.63,都市：住
RPQPMLNKJIOFFCD08CB,水交社段,17.13,都市：住
RPUOMLNKJIOFFCD38CB,水交社段,8.31,都市：住
RPUOMLNKJIOFFCD38CB,水交社段,12.24,都市：住
RPPPMLNKJIOFFCD97CB,水交社段,12.11,都市：住
RPPPMLNKJIOFFCD97CB,水交社段,17.83,都市：住
RPWQMLNKJIOFFCD78CB,水交社段,14.25,都市：住
RPWQMLNKJIOFFCD78CB,水交社段,20.97,都市：住
RPORMLNKJIOFFCD08CB,水交社段,5.22,都市：住
RPORMLNKJIOFFCD08CB,水交社段,7.69,都市：住
RPOQMLNKJIOFFCD97CB,水交社段,9.02,都市：住
RPOQMLNKJIOFFCD97CB,水交社段,13.28,都市：住
RPRQMLNKJIOFFCD28CB,水交社段,14.72,都市：住
RPRQMLNKJIOFFCD28CB,水交社段,21.67,都市：住
RPSQMLNKJIOFFCD38CB,水交社段,14.25,都市：住
RPSQMLNKJIOFFCD38CB,水交社段,20.97,都市：住
RPVQMLNKJIOFFCD68CB,水交社段,14.72,都市：住
RPVQMLNKJIOFFCD68CB,水交社段,21.67,都市：住
RPTQMLNKJIOFFCD48CB,水交社段,14.25,都市：住
RPTQMLNKJIOFFCD48CB,水交社段,20.97,都市：住
RPOPMLNKJIOFFCD87CB,水交社段,11.63,都市：住
RPOPMLNKJIOFFCD87CB,水交社段,17.13,都市：住
RPVOMLNKJIOFFCD48CB,水交社段,11.87,都市：住
RPVOMLNKJIOFFCD48CB,水交社段,17.48,都市：住
RPPRMLNKJIOFFCD18CB,水交社段,14.25,都市：住
RPPRMLNKJIOFFCD18CB,水交社段,20.97,都市：住
RPWOMLNKJIOFFCD58CB,水交社段,12.11,都市：住
RPWOMLNKJIOFFCD58CB,水交社段,17.83,都市：住
RPUQMLNKJIOFFCD58CB,水交社段,14.25,都市：住
RPUQMLNKJIOFFCD58CB,水交社段,20.97,都市：住
RPPPMLOKJIOFFCD08CB,水交社段,14.25,都市：住
RPPPMLOKJIOFFCD08CB,水交社段,20.97,都市：住
RPUOMLOKJIOFFCD48CB,水交社段,14.25,都市：住
RPUOMLOKJIOFFCD48CB,水交社段,20.97,都市：住
RPWPMLOKJIOFFCD78CB,水交社段,10.21,都市：住
RPWPMLOKJIOFFCD78CB,水交社段,15.03,都市：住
RPXPMLOKJIOFFCD88CB,水交社段,9.97,都市：住
RPXPMLOKJIOFFCD88CB,水交社段,14.68,都市：住
RPXOMLOKJIOFFCD78CB,水交社段,14.72,都市：住
RPXOMLOKJIOFFCD78CB,水交社段,21.67,都市：住
RPVOMLOKJIOFFCD58CB,水交社段,14.25,都市：住
RPVOMLOKJIOFFCD58CB,水交社段,20.97,都市：住
RPOQMLOKJIOFFCD08CB,水交社段,9.97,都市：住
RPOQMLOKJIOFFCD08CB,水交社段,14.68,都市：住
RPTPMLOKJIOFFCD48CB,水交社段,9.02,都市：住
RPTPMLOKJIOFFCD48CB,水交社段,13.28,都市：住
RPRPMLOKJIOFFCD28CB,水交社段,5.22,都市：住
RPRPMLOKJIOFFCD28CB,水交社段,7.69,都市：住
RPUPMLOKJIOFFCD58CB,水交社段,10.45,都市：住
RPUPMLOKJIOFFCD58CB,水交社段,15.38,都市：住
RPVPMLOKJIOFFCD68CB,水交社段,10.21,都市：住
RPVPMLOKJIOFFCD68CB,水交社段,15.03,都市：住
RPQPMLOKJIOFFCD18CB,水交社段,14.72,都市：住
RPQPMLOKJIOFFCD18CB,水交社段,21.67,都市：住
RPQQMLOKJIOFFCD28CB,水交社段,10.21,都市：住
RPQQMLOKJIOFFCD28CB,水交社段,15.03,都市：住
RPRQMLOKJIOFFCD38CB,水交社段,7.60,都市：住
RPRQMLOKJIOFFCD38CB,水交社段,11.19,都市：住
RPPQMLOKJIOFFCD18CB,水交社段,9.97,都市：住
RPPQMLOKJIOFFCD18CB,水交社段,14.68,都市：住
RPVQMLOKJIOFFCD78CB,水交社段,7.60,都市：住
RPVQMLOKJIOFFCD78CB,水交社段,11.19,都市：住
RPOPMLOKJIOFFCD08DB,水交社段,14.25,都市：住
RPOPMLOKJIOFFCD08DB,水交社段,20.97,都市：住
RPTQMLOKJIOFFCD58CB,水交社段,11.16,都市：住
RPTQMLOKJIOFFCD58CB,水交社段,16.43,都市：住
RPWNMLSKJIOFFCD98CB,水交社段,25.95,都市：住
RPXNMLSKJIOFFCD09CB,水交社段,25.95,都市：住
RPSQMLOKJIOFFCD48CB,水交社段,11.16,都市：住
RPSQMLOKJIOFFCD48CB,水交社段,16.43,都市：住
RPOOMLSKJIOFFCD28CB,水交社段,25.95,都市：住
RPPOMLSKJIOFFCD38CB,水交社段,25.95,都市：住
RPQOMLSKJIOFFCD48CB,水交社段,25.95,都市：住
RPSOMLSKJIOFFCD68CB,水交社段,33.59,都市：住
RPWOMLRLJIOFFCD09CB,水交社段,33.59,都市：住
RPXOMLRLJIOFFCD56CB,水交社段,33.59,都市：住
RPRPMLRLJIOFFCD68CB,水交社段,33.59,都市：住
RPPPMLRLJIOFFCD48CB,水交社段,33.59,都市：住
RPUNMLSLJIOFFCD88CB,水交社段,34.10,都市：住
RPTNMLSLJIOFFCD78CB,水交社段,33.59,都市：住
RPQPMLRLJIOFFCD58CB,水交社段,33.59,都市：住
RPXNMLSLJIOFFCD56CB,水交社段,22.90,都市：住
RPOOMLSLJIOFFCD38CB,水交社段,23.41,都市：住
RPSPMLRLJIOFFCD78CB,水交社段,33.59,都市：住
RPOPMLRLJIOFFCD38CB,水交社段,33.59,都市：住
RPROMLSLJIOFFCD68CB,水交社段,23.41,都市：住
RPTOMLSLJIOFFCD88CB,水交社段,23.41,都市：住
RPWNMLSLJIOFFCD09CB,水交社段,35.12,都市：住
RPPOMLSLJIOFFCD48CB,水交社段,23.41,都市：住
RPVNMLSLJIOFFCD98CB,水交社段,33.59,都市：住
RPQOMLSLJIOFFCD58CB,水交社段,23.41,都市：住
RPUPMLSLJIOFFCD09CB,水交社段,23.41,都市：住
RPVOMLSLJIOFFCD09CB,水交社段,23.41,都市：住
