鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區九如四路2014巷31~60號,17.58,住,,,1080912,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710318,73.59,3,2,2,有,有,3000000,40766,,0.0,0,,RPSNMLMKJIOFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區平川街31~60號,51.0,住,,,1081014,土地1建物1車位0,全,二層,透天厝,,加強磚造,0560121,68.06,4,2,3,有,無,6850000,100646,,0.0,0,,RPTNMLMKJIOFFAE87CA
鹽埕區,房地(土地+建物),高雄市鹽埕區北端街7巷121~150號,59.61,住,,,1081018,土地6建物1車位0,三層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0650519,70.12,3,1,1,有,無,1450000,20679,,0.0,0,,RPOOMLNKJIOFFAE57CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路31~60號,51.54,住,,,1080921,土地1建物1車位2,九層,二十七層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041103,403.07,0,0,0,無,有,31250000,77530,坡道平面,39.88,0,1. 含裝潢,RPOOMLOKJIOFFAE67CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術館路1~30號,16.67,住,,,1081019,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940404,133.07,3,2,2,有,無,8900000,66882,坡道機械,13.23,0,,RPSNMLPKJIOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水二路91~120號,27.15,住,,,1081001,土地1建物1車位2,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040513,307.75,4,2,3,有,有,24000000,77985,坡道平面,39.8,0,,RPVNMLTKJIOFFAE78CA
鼓山區,土地,內惟段三小段391~420地號,176.24,其他,,,1081028,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2232700,12669,,0.0,0,道路用地,RPQNMLKLJIOFFAE47CA
鼓山區,土地,內惟段三小段421~450地號,28.7,其他,,,1081028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,351500,12247,,0.0,0,道路用地,RPRNMLKLJIOFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區正德路153巷1~30號,22.33,住,,,1081008,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840426,87.81,3,2,2,有,無,4170000,47489,,0.0,0,陽台外推,RPOPMLQLJIOFFAE08CA
