編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLNKJIOFFAE57CA,鹽北段,17.11,都市：住
RPOOMLNKJIOFFAE57CA,鹽北段,29.02,都市：住
RPOOMLNKJIOFFAE57CA,鹽北段,.16,都市：住
RPOOMLNKJIOFFAE57CA,鹽北段,.31,都市：住
RPOOMLNKJIOFFAE57CA,鹽北段,12.99,都市：住
RPOOMLNKJIOFFAE57CA,鹽北段,.01,都市：住
RPTNMLMKJIOFFAE87CA,內惟段六小段,51.00,都市：住
RPRNMLKLJIOFFAE57CA,內惟段三小段,28.70,都市：其他
RPQNMLKLJIOFFAE47CA,內惟段三小段,63.35,都市：其他
RPQNMLKLJIOFFAE47CA,內惟段三小段,112.90,都市：其他
RPPPMLQLJIOFFAE18CA,東金段,3.43,都市：商
RPVNMLTKJIOFFAE78CA,青海段,27.15,都市：住
RPQOMLSLJIOFFAE38CA,龍中段,21.86,都市：住
RPOPMLQLJIOFFAE08CA,內惟段八小段,22.33,都市：住
RPPNMLQJKIOFFAE87CA,龍中段,26.99,都市：商
RPSNMLMKJIOFFAE77CA,前峰段,17.49,都市：住
RPSNMLMKJIOFFAE77CA,前峰段,.09,都市：住
RPOOMLOKJIOFFAE67CA,龍華段三小段,51.54,都市：住
RPSNMLPKJIOFFAE08CA,龍中段,16.67,都市：住
RPQPMLNKJIOFFBE97CA,林德官段一小段,73.00,都市：住
RPSNMLQJKIOFFAE18CA,青海段,27.83,都市：住
RPRNMLRLJIOFFBE38CA,福裕段,71.00,都市：住
RPROMLNJKIOFFBE97CA,過田子段,14.77,都市：商
RPRNMLPLJIOFFBE18CA,衛武段,56.00,都市：住
RPUNMLNKJIOFFBE18CA,苓中段,8.30,都市：商
RPUNMLNKJIOFFBE18CA,苓中段,8.32,都市：商
RPUNMLNKJIOFFBE18CA,苓中段,.02,都市：其他
RPUOMLNKJIOFFBE28CA,武聖段,37.50,都市：住
RPOOMLQLJIOFFBE08CA,新興段二小段,47.50,都市：商
RPXPMLLKJIOFFCE58CA,瑞隆段一小段,18.35,都市：商
RPXPMLLKJIOFFCE58CA,瑞隆段一小段,9.66,都市：住
RPWNMLMKJIOFFCE38CA,瑞隆段一小段,22.57,都市：住
RPUNMLQJKIOFFBE48CA,苓洲段,12.59,都市：商
RPOOMLMKJIOFFCE67CA,店鎮段,66.00,都市：住
RPVPMLPKJIOFFBE68CA,林德官段,3.46,都市：商
RPWNMLTJKIOFFBE98CA,成功段,2.00,都市：住
RPWNMLTJKIOFFBE98CA,成功段,46.00,都市：商
RPROMLSKJIOFFCE58CA,莊段,76.00,都市：住
RPQOMLNKJIOFFCE97CA,愛群段,51.51,都市：商
RPTOMLNKJIOFFCE28CA,愛群段一小段,9.46,都市：住
RPUNMLTKJIOFFCE88CA,松華段,39.50,都市：住
RPVOMLMKJIOFFCE38CA,坪松段,75.94,都市：住
RPVOMLMKJIOFFCE38CA,坪松段,.22,都市：住
RPQOMLMKJIOFFCE87CA,坪松段,1328.85,都市：住
RPUNMLNKJIOFFCE28CA,愛群段,3.76,都市：商
RPSNMLQLJIOFFCE48CA,愛群段,29.92,都市：住
RPROMLOKJIOFFCE18CA,憲德段二小段,24.39,都市：商
RPUOMLTJKIOFFCE98CA,瑞隆段二小段,156.87,都市：商
RPUOMLTJKIOFFCE98CA,瑞隆段二小段,2.06,都市：其他
RPOOMLSKJIOFFCE28CA,瑞隆段三小段,82.00,都市：住
RPQQMLPLJIOFFCE48CA,光華段,25.00,都市：商
RPQPMLQLJIOFFCE48CA,瑞隆段三小段,43.56,都市：住
RPQPMLLKJIOFFDE97CA,大港段七小段,6.26,都市：商
RPXOMLKKKIOFFCE48CA,鎮昌段一小段,8.86,都市：住
RPQPMLMKJIOFFDE08CA,三塊厝段,79.00,都市：商
RPQNMLTKJIOFFCE48CA,鎮昌段一小段,11.82,都市：商
RPWNMLMKJIOFFDE48CA,大港段六小段,2.28,都市：商
RPWNMLMKJIOFFDE48CA,大港段六小段,.15,都市：其他
RPRQMLLKJIOFFDE18CA,建昌段,30.26,都市：住
RPRQMLLKJIOFFDE18CA,建昌段,.29,都市：住
RPVOMLQLJIOFFDE98CA,澄清段二小段,39.62,都市：住
RPSNMLPLJIOFFDE48CA,大豐段一小段,20.69,都市：住
RPSNMLPLJIOFFDE48CA,大豐段一小段,11.09,都市：商
RPVNMLSLJIOFFDE09CA,覆鼎金段覆鼎金小段,15.47,都市：住
RPUNMLNKJIOFFDE38CA,大順段,19.95,都市：商
RPTPMLOKJIOFFDE58CA,灣復段,23.81,都市：商
RPTOMLSLJIOFFDE98CA,三塊厝段二小段,32.61,都市：商
RPUNMLOKJIOFFDE48CA,灣復段,4.05,都市：商
