編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVNMLTKJIOFFAE78CA,坡道平面,0,19.90
RPVNMLTKJIOFFAE78CA,坡道平面,0,19.90
RPQOMLSLJIOFFAE38CA,坡道平面,0,
RPPNMLQJKIOFFAE87CA,坡道平面,0,19.76
RPPNMLQJKIOFFAE87CA,坡道平面,0,19.76
RPOOMLOKJIOFFAE67CA,坡道平面,0,19.94
RPOOMLOKJIOFFAE67CA,坡道平面,0,19.94
RPSNMLPKJIOFFAE08CA,坡道機械,0,13.23
RPSNMLQJKIOFFAE18CA,坡道平面,1700000,27.01
RPXNMLMKJIOFFCE48CA,坡道平面,900000,30.51
RPXNMLMKJIOFFCE48CA,坡道平面,900000,30.51
RPXNMLMKJIOFFCE48CA,坡道平面,900000,30.51
RPXNMLMKJIOFFCE48CA,坡道平面,900000,30.51
RPWNMLMKJIOFFCE38CA,坡道平面,0,12.81
RPROMLOKJIOFFCE18CA,坡道平面,0,
RPROMLOKJIOFFCE18CA,坡道機械,0,
RPQNMLTKJIOFFCE48CA,坡道機械,0,12.49
RPUNMLNKJIOFFDE38CA,坡道平面,1600000,28.51
RPUNMLNKJIOFFDE38CA,坡道平面,1200000,24.54
RPTOMLSLJIOFFDE98CA,坡道平面,0,
RPTOMLSLJIOFFDE98CA,坡道平面,0,
RPSPMLNKJIOFFEE48CA,坡道機械,0,14.75
RPTOMLSKJIOFFDE88CA,坡道機械,0,11.45
RPPPMLPKJIOFFEE38CA,坡道機械,0,11.89
RPPPMLPKJIOFFEE38CA,坡道機械,0,12.65
RPPOMLNKJIOFFEE08CA,坡道平面,0,
RPROMLSKJIOFFEE78CA,坡道機械,0,
RPWQMLPKJIOFFEE56CA,坡道平面,0,
RPVNMLMKJIOFFGE68CA,坡道機械,0,
RPSNMLPKJIOFFGE68CA,坡道平面,0,
RPPNMLNLJIOFFIE48CA,坡道平面,0,28.71
RPVNMLMKJIOFFLE56CA,坡道平面,0,
RPTNMLPKJIOFFIE98CA,坡道平面,0,
RPTNMLPKJIOFFIE98CA,坡道平面,0,
RPQOMLQJKIOFFIE88CA,坡道平面,1500000,35.50
RPQOMLKLJIOFFGE18CA,坡道平面,0,16.58
RPRNMLNKJIOFFGE38CA,坡道平面,0,
RPPNMLLLJIOFFEE87CA,坡道機械,980000,10.55
RPXOMLPKJIOFFEE09CA,坡道平面,0,22.88
RPXPMLLLJIOFFEE88CA,坡道機械,0,
RPUNMLPKJIOFFEE68CA,坡道平面,0,27.06
RPTOMLPKJIOFFEE68CA,坡道平面,0,
RPQQMLPKJIOFFEE58CA,坡道平面,0,29.75
RPTNMLOKJIOFFEE48CA,坡道平面,0,27.06
RPPNMLNKJIOFFEE97CA,坡道平面,0,21.52
RPUPMLNKJIOFFEE68CA,坡道平面,0,
RPPNMLOKJIOFFEE08CA,坡道平面,0,27.06
