編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRSMLMKJIOFFAF28CA,44,58.70,住家用,鋼筋混凝土造,65年1月13日,四層,一層 騎樓
RPXOMLLKJIOFFAF38CA,,90.21,住家用,鋼筋混凝土造,,五層,三層 陽台
RPVNMLNKJIOFFAF28CA,21,1365.58,見其他登記事項,鋼筋混凝土造,87年7月10日,四層,一層 二層 三層 四層 屋頂突出物 地下一層 地下二層
RPOPMLLKJIOFFAF57CA,13,24.50,住家用,鋼骨鋼筋混凝土造,95年9月14日,三十七層,九層
RPOPMLLKJIOFFAF57CA,13,8.59,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPOPMLLKJIOFFAF57CA,13,.92,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPOPMLLKJIOFFAF57CA,13,1.51,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPOPMLLKJIOFFAF57CA,13,1.27,見其他登記事項,鋼骨鋼筋混凝土造,95年9月14日,三十七層,二層 三層 地下一層 地下二層
RPOPMLLKJIOFFAF57CA,13,1.09,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPOPMLLKJIOFFAF57CA,13,.01,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPSPMLNKJIOFFAF18CA,17,71.14,住家用,鋼筋混凝土造,91年11月7日,八層,五層
RPSPMLNKJIOFFAF18CA,17,20.46,見其他登記事項,鋼筋混凝土造,91年11月7日,八層,
RPSPMLNKJIOFFAF18CA,17,11.12,見其他登記事項,鋼筋混凝土造,91年11月7日,八層,
RPOQMLLKJIOFFAF67CA,34,88.07,住家用,鋼筋混凝土造,74年8月19日,五層,四層
RPWPMLNKJIOFFAF58CA,,105.28,住家用,鋼筋混凝土造,,五層,二層 陽台
RPVQMLNKJIOFFAF58CA,41,76.95,住家用,鋼筋混凝土造,67年6月6日,三層,二層
RPUQMLMKJIOFFAF38CA,25,110.14,住家用,鋼筋混凝土造,84年3月23日,十二層,九層
RPUQMLMKJIOFFAF38CA,25,44.24,共有部份,鋼筋混凝土造,84年3月23日,十二層,
RPUQMLMKJIOFFAF38CA,25,.42,商業用,鋼筋混凝土造,84年3月23日,十二層,地下一層
RPUQMLMKJIOFFAF38CA,25,.07,共有部份,鋼筋混凝土造,84年3月23日,十二層,
RPUQMLMKJIOFFAF38CA,25,.70,見其他登記事項,鋼筋混凝土造,84年3月23日,十二層,地下一層
RPUQMLMKJIOFFAF38CA,25,.07,共有部份,鋼筋混凝土造,84年3月23日,十二層,
RPVNMLMKJIOFFAF18CA,26,81.47,住家用,鋼筋混凝土造,83年2月21日,七層,七層
RPVNMLMKJIOFFAF18CA,26,5.33,共有部份,鋼筋混凝土造,83年2月21日,七層,
RPVNMLMKJIOFFAF18CA,26,16.26,見使用執照,鋼筋混凝土造,83年2月21日,七層,地下一層
RPRQMLMKJIOFFAF08CA,4,33.86,見其他登記事項,鋼筋混凝土造,104年12月7日,七層,二層
