編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRSMLMKJIOFFAF28CA,海山段,17.25,都市：住
RPXOMLLKJIOFFAF38CA,江子翠段第二崁小段,26.00,都市：住
RPVNMLNKJIOFFAF28CA,南天母段,13.76,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLNKJIOFFAF28CA,南天母段,40.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLNKJIOFFAF28CA,南天母段,206.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLNKJIOFFAF28CA,南天母段,702.52,都市：其他
RPOPMLLKJIOFFAF57CA,幸福段,1.26,都市：住
RPSPMLNKJIOFFAF18CA,介壽段,12.65,都市：商
RPOQMLLKJIOFFAF67CA,廷寮段,26.38,都市：住
RPWPMLNKJIOFFAF58CA,幸福段,26.40,都市：住
RPVQMLNKJIOFFAF58CA,篤行段,35.50,都市：住
RPUQMLMKJIOFFAF38CA,大庭段,28.85,都市：住
RPVNMLMKJIOFFAF18CA,南天母段,42.73,都市：其他
RPRQMLMKJIOFFAF08CA,光仁段,9.70,都市：住
RPQQMLMKJIOFFAF97CA,幸福段,7.15,都市：住
RPXNMLOKJIOFFAF58CA,員和段,13.81,都市：住
RPOOMLOKJIOFFAF77CA,員和段,13.81,都市：住
RPPOMLOKJIOFFAF87CA,員和段,18.95,都市：住
RPOOMLMKJIOFFAF57CA,公館段,22.41,都市：住
RPROMLOKJIOFFAF08CA,員和段,17.60,都市：住
RPQOMLOKJIOFFAF97CA,員和段,17.60,都市：住
RPTOMLOKJIOFFAF28CA,員和段,29.91,都市：住
RPSOMLOKJIOFFAF18CA,員和段,17.60,都市：住
RPUOMLOKJIOFFAF38CA,員和段,21.25,都市：住
RPVOMLOKJIOFFAF48CA,員和段,21.25,都市：住
RPPRMLNKJIOFFAF08CA,信義段,42.00,都市：住
RPSNMLPKJIOFFAF18CA,江子翠段第一崁小段,24.25,都市：住
RPROMLPKJIOFFAF18CA,員和段,21.25,都市：住
