編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLLKJIOFFAF67CC,中山段,.00,都市：住
RPPOMLLKJIOFFBF87CC,五工段,1003.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPSOMLLKJIOFFDF38CC,智興段,.00,都市：商
RPSOMLLKJIOFFDF38CC,智興段,.00,都市：住
RPPOMLLKJIOFFDF08CC,同新段,11.99,都市：工
RPPOMLLKJIOFFDF08CC,同新段,.01,都市：其他
RPPOMLLKJIOFFDF08CC,同新段,.00,都市：其他
RPQTMLLKJIOFFBF48CC,榮富段,.00,都市：住
RPPTMLLKJIOFFBF38CC,力行段,15.08,都市：住
RPTOMLLKJIOFFGF78CC,光榮段,.00,都市：住
RPRQMLLKJIOFFEF58CC,公司田段,19.13,都市：住
RPTOMLLKJIOFFEF58CC,公司田段,.00,都市：住
RPOSMLLKJIOFFEF48CC,海鷗段,.00,都市：住
RPPRMLLKJIOFFEF48CC,公司田段,.00,都市：住
RPURMLLKJIOFFEF98CC,水仙段,.00,都市：商
RPORMLLKJIOFFAF97CC,介壽段,.00,都市：商
RPWNMLLKJIOFFHF09CC,得和段,.00,都市：住
RPROMLLKJIOFFGF58CC,富貴段,.00,都市：住
RPORMLLKJIOFFIF78CC,大學段一小段,11.48,都市：商
RPTNMLMKJIOFFIF98CC,大學段一小段,.00,都市：商
RPVQMLLKJIOFFAF78EC,海山段,.00,都市：住
RPSOMLLKJIOFFAF28EC,光華段,31.25,都市：住
RPSOMLLKJIOFFAF28EC,光華段,9.25,都市：住
RPROMLLKJIOFFAF18EC,新板段二小段,15.57,都市：其他
RPTOMLLKJIOFFAF38EC,力行段,28.39,都市：住
RPUOMLLKJIOFFAF48EC,力行段,42.44,都市：住
RPWQMLLKJIOFFIF86CC,大學段一小段,34.49,都市：住
RPOQMLMKJIOFFEF58EC,公司田段,38.13,都市：住
RPURMLMKJIOFFEF66EC,中正段,.00,都市：商
RPPRMLMKJIOFFEF78EC,淡海段,35.68,都市：住
RPPRMLMKJIOFFEF78EC,淡海段,8.46,都市：住
RPRRMLMKJIOFFEF98EC,淡海段,12.03,都市：住
RPQRMLMKJIOFFEF88EC,淡海段,.00,都市：住
RPPPMLMKJIOFFCF18CC,復興段,2157.04,都市：工
RPTNMLLKJIOFFHF78CC,中安段,8.95,都市：商
RPTNMLLKJIOFFHF78CC,中安段,79.10,都市：商
RPQNMLMKJIOFFGF48CC,永安段,.00,都市：住
RPPNMLMKJIOFFGF38CC,德新段,.00,都市：商
RPVOMLMKJIOFFGF09CC,中興段,.00,都市：工
RPOOMLLKJIOFFHF38CC,長堤段,.00,都市：住
RPRPMLMKJIOFFHF88CC,南工段,9.99,都市：商
RPXOMLMKJIOFFBF78CC,副都心段一小段,.00,都市：商
RPQNMLMKJIOFFDF18CC,同新段,6.02,都市：工
RPTPMLMKJIOFFDF68CC,昊天段,.00,都市：工
RPTPMLMKJIOFFDF68CC,同新段,.00,都市：工
RPUPMLMKJIOFFEF88CC,海天段,.32,都市：住
RPWPMLMKJIOFFHF76CC,捷運段,17.15,都市：住
RPSNMLMKJIOFFHF78CC,南山段,.00,都市：住
RPPQMLMKJIOFFHF78CC,捷運段,17.15,都市：住
RPSOMLMKJIOFFHF88CC,民權段,.00,都市：住
RPWQMLMKJIOFFHF86CC,安樂段,.00,都市：住
RPQQMLMKJIOFFBF28CC,南勢埔段南勢埔尾小段,661.15,都市：農
RPRPMLMKJIOFFBF28CC,建林段,25.81,都市：住
RPSPMLMKJIOFFDF58CC,昊天段,154.82,都市：工
RPSPMLMKJIOFFDF58CC,同新段,4.83,都市：工
RPROMLNKJIOFFBF28CC,榮富段,27.45,都市：住
RPSTMLNKJIOFFBF88CC,建林段,11.36,都市：住
RPTVMLNKJIOFFBF56CC,建林段,50.80,都市：住
RPTOMLNKJIOFFBF48CC,力行段,13.99,都市：住
RPOPMLNKJIOFFEF38CC,淡海段,23.71,都市：住
RPTPMLMKJIOFFAF38CC,光華段,.00,都市：住
RPSRMLMKJIOFFAF48CC,光仁段,.00,都市：工
RPVPMLMKJIOFFAF58CC,大庭段,.00,都市：住
RPVQMLMKJIOFFAF68CC,江子翠段溪頭小段,.00,都市：住
RPPNMLMKJIOFFAF77CC,中正段,.00,都市：住
RPVSMLMKJIOFFAF88CC,新板段三小段,.00,都市：其他
RPXPMLMKJIOFFAF78CC,文化段,2.77,都市：住
RPUOMLNKJIOFFGF09CC,大同南段,.00,都市：商
RPUOMLNKJIOFFGF09CC,大同南段,.00,都市：商
RPROMLNKJIOFFGF78CC,大同南段,.00,都市：住
RPVOMLNKJIOFFGF56CC,菜寮段,.00,都市：住
RPUOMLNKJIOFFGF09CC,大同南段,.00,都市：商
RPTNMLOKJIOFFDF88EC,環河段,.00,都市：工
RPTNMLOKJIOFFCF58CC,五峰段,.00,都市：住
RPOOMLNKJIOFFCF08CC,寶強段,19.72,都市：住
RPTOMLNKJIOFFCF58CC,民安段,.00,都市：商
RPTOMLNKJIOFFCF58CC,民安段,.00,都市：商
RPTOMLNKJIOFFCF58CC,民安段,.00,都市：商
RPTOMLNKJIOFFCF58CC,民安段,.00,都市：商
RPRNMLNKJIOFFEF48CC,公司田段,22.94,都市：住
RPSNMLNKJIOFFEF58CC,公司田段,25.51,都市：住
RPUQMLNKJIOFFEF66EC,新巿段,.00,都市：住
RPWQMLNKJIOFFEF86EC,海天段,8.50,都市：住
RPRQMLNKJIOFFEF98EC,海天段,54.97,都市：住
RPVQMLNKJIOFFEF76EC,新巿段,23.61,都市：住
RPXQMLOKJIOFFHF27DC,福祥段,108.17,都市：商
RPTQMLOKJIOFFHF76CC,中安段,.00,都市：住
RPWNMLOKJIOFFDF98CC,工建段,64.15,都市：工
RPROMLOKJIOFFEF68CC,水仙段,.00,都市：住
RPPOMLOKJIOFFDF38CC,智興段,18.60,都市：住
RPOPMLOKJIOFFHF78CC,南工段,.00,都市：住
RPXNMLOKJIOFFHF86CC,景華段,.00,都市：商
RPROMLOKJIOFFHF98CC,中正段,.00,都市：住
RPSOMLOKJIOFFDF68CC,智興段,.00,都市：住
RPXPMLOKJIOFFGF96CC,仁愛段,.00,都市：住
RPWOMLOKJIOFFGF76CC,仁愛段,.00,都市：工
RPUOMLOKJIOFFDF88CC,智興段,.00,都市：住
RPUTMLOKJIOFFBF56CC,榮富段,.00,都市：住
RPUNMLOKJIOFFHF56CC,中和段,.00,都市：住
RPPPMLOKJIOFFAF18CC,永和段,3460.76,都市：工
RPQPMLPKJIOFFAF38CC,大庭段,.00,都市：住
