編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSOMLLKJIOFFDF38CC,坡道平面,0,39.49
RPPOMLLKJIOFFDF08CC,坡道平面,0,31.51
RPPTMLLKJIOFFBF38CC,坡道平面,0,23.13
RPPRMLLKJIOFFEF48CC,坡道平面,0,27.55
RPROMLLKJIOFFGF58CC,升降平面,0,23.87
RPORMLLKJIOFFIF78CC,坡道平面,0,40.51
RPVQMLLKJIOFFAF78EC,坡道平面,5000,36.10
RPROMLLKJIOFFAF18EC,坡道平面,0,32.56
RPTOMLLKJIOFFAF38EC,坡道平面,0,31.97
RPWQMLLKJIOFFIF86CC,坡道平面,0,40.86
RPOQMLMKJIOFFEF58EC,坡道平面,0,21.77
RPOQMLMKJIOFFEF58EC,坡道平面,0,21.77
RPPRMLMKJIOFFEF78EC,坡道平面,0,15.52
RPRRMLMKJIOFFEF98EC,坡道平面,0,25.02
RPPNMLMKJIOFFGF38CC,升降機械,0,38.89
RPVOMLMKJIOFFGF09CC,坡道平面,0,28.84
RPRPMLMKJIOFFHF88CC,坡道機械,0,14.51
RPXOMLMKJIOFFBF78CC,坡道平面,0,48.65
RPUPMLMKJIOFFEF88CC,坡道機械,1700,20.61
RPWPMLMKJIOFFHF76CC,坡道平面,0,41.21
RPPQMLMKJIOFFHF78CC,坡道平面,0,41.21
RPRPMLMKJIOFFBF28CC,坡道平面,0,26.58
RPRPMLMKJIOFFBF28CC,坡道平面,0,24.52
RPSPMLMKJIOFFDF58CC,坡道平面,3500,37.10
RPSPMLMKJIOFFDF58CC,坡道平面,3500,37.10
RPSPMLMKJIOFFDF58CC,坡道平面,3500,37.10
RPSPMLMKJIOFFDF58CC,坡道平面,3500,37.10
RPSPMLMKJIOFFDF58CC,坡道平面,3500,37.10
RPSPMLMKJIOFFDF58CC,坡道平面,3500,37.10
RPSTMLNKJIOFFBF88CC,坡道平面,0,22.98
RPTVMLNKJIOFFBF56CC,坡道平面,0,21.64
RPTOMLNKJIOFFBF48CC,坡道平面,0,26.55
RPOPMLNKJIOFFEF38CC,坡道平面,0,23.51
RPVSMLMKJIOFFAF88CC,坡道平面,3000,
RPVSMLMKJIOFFAF88CC,坡道平面,3000,
RPTNMLOKJIOFFDF88EC,坡道平面,0,
RPTNMLOKJIOFFDF88EC,坡道平面,0,
RPTNMLOKJIOFFDF88EC,坡道平面,0,
RPTNMLOKJIOFFDF88EC,坡道平面,0,
RPTNMLOKJIOFFDF88EC,坡道平面,0,
RPTNMLOKJIOFFDF88EC,坡道平面,0,
RPTNMLOKJIOFFDF88EC,坡道機械,0,
RPTNMLOKJIOFFDF88EC,坡道機械,0,
RPRNMLNKJIOFFEF48CC,坡道平面,0,30.36
RPSNMLNKJIOFFEF58CC,坡道平面,0,30.36
RPUQMLNKJIOFFEF66EC,坡道平面,0,
RPWQMLNKJIOFFEF86EC,坡道平面,0,30.14
RPRQMLNKJIOFFEF98EC,坡道平面,0,37.24
RPWNMLOKJIOFFDF98CC,坡道平面,0,20.13
RPROMLOKJIOFFEF68CC,坡道平面,0,37.94
RPROMLOKJIOFFHF98CC,坡道平面,0,
RPQPMLOKJIOFFAF28CC,坡道平面,0,41.44
RPQPMLOKJIOFFAF28CC,坡道平面,0,41.44
RPVOMLPKJIOFFBF88CC,坡道平面,0,
RPVOMLPKJIOFFDF09CC,坡道機械,0,16.90
RPUOMLPKJIOFFDF98CC,坡道機械,0,23.58
RPRPMLPKJIOFFHF56CC,坡道平面,0,17.51
RPRNMLQKJIOFFBF48CC,坡道平面,0,46.27
RPQNMLQKJIOFFBF38CC,坡道平面,0,18.62
RPUOMLPKJIOFFCF88CC,坡道平面,0,
RPUNMLQKJIOFFBF78CC,坡道平面,0,35.25
RPVNMLQKJIOFFBF88CC,坡道平面,0,
RPPNMLSKJIOFFIF56CC,坡道平面,0,42.32
RPRTMLSKJIOFFIF37CC,坡道平面,0,
RPQNMLSKJIOFFGF09CC,坡道平面,0,40.13
RPUQMLSKJIOFFBF66CC,坡道平面,0,24.52
RPUQMLSKJIOFFBF66CC,坡道平面,0,24.52
RPTQMLSKJIOFFBF56CC,坡道平面,0,22.56
RPSRMLSKJIOFFBF56CC,坡道機械,0,24.57
RPUNMLSKJIOFFEF66CC,坡道機械,0,15.42
RPXNMLTKJIOFFEF07CC,坡道機械,0,24.20
RPPNMLTKJIOFFDF78CC,坡道機械,0,
RPSPMLSKJIOFFEF66CC,坡道平面,0,29.84
RPROMLSKJIOFFEF09CC,坡道平面,0,31.66
RPSOMLTKJIOFFEF66CC,坡道平面,0,26.16
RPQNMLTKJIOFFIF76CC,坡道平面,0,33.20
RPQQMLTKJIOFFHF96CC,升降機械,0,21.39
RPRPMLKLJIOFFGF68CC,坡道平面,0,23.39
RPPQMLKLJIOFFGF58CC,坡道平面,0,23.39
RPUPMLKLJIOFFGF98CC,坡道平面,0,26.99
RPRNMLKLJIOFFDF18CC,坡道平面,0,31.54
RPRNMLKLJIOFFDF18CC,坡道平面,0,31.54
RPRNMLKLJIOFFDF18CC,坡道平面,0,31.54
RPRNMLKLJIOFFDF18CC,坡道平面,0,31.54
RPSPNLKLJIOFFAF28CC,一樓平面,0,
RPPPMLLLJIOFFEF38CC,坡道平面,0,30.10
RPPVMLLLJIOFFBF68CC,坡道平面,0,
RPOPMLMLJIOFFEF38CC,坡道平面,0,36.84
RPPOMLMLJIOFFEF38CC,坡道平面,0,30.46
RPSRMLMLJIOFFBF68CC,坡道平面,0,17.29
RPRNMLNLJIOFFBF28CC,坡道平面,0,
RPTOMLMLJIOFFEF78CC,坡道平面,0,26.54
RPPNMLNLJIOFFAF97CC,坡道平面,0,23.25
RPUNMLNLJIOFFBF58CC,坡道平面,0,
RPSNMLOLJIOFFCF58CC,坡道平面,0,
RPSNMLOLJIOFFBF48CC,坡道平面,0,
RPSNMLOLJIOFFBF48CC,坡道平面,0,
RPSNMLOLJIOFFEF78CC,坡道平面,0,29.20
RPTNMLOLJIOFFBF58CC,坡道平面,0,
RPWNMLOLJIOFFEF56CC,坡道平面,0,30.10
RPUNMLOLJIOFFEF98CC,坡道平面,0,30.10
RPROMLOLJIOFFEF78CC,坡道平面,0,36.85
RPSOMLOLJIOFFEF88CC,坡道平面,0,36.85
RPWOMLOLJIOFFEF66CC,坡道平面,0,30.84
RPPPMLOLJIOFFEF68CC,坡道平面,0,30.84
RPXNMLPLJIOFFEF76CC,坡道平面,0,32.22
RPSPMLOLJIOFFEF98CC,坡道平面,0,30.84
RPROMLPLJIOFFAF48CC,坡道平面,0,39.13
RPOQMLQLJIOFFCF68CC,坡道平面,0,
RPROMLQLJIOFFGF56CC,坡道平面,0,40.13
RPTOMLQLJIOFFBF88CC,坡道平面,0,17.29
RPSPMLQLJIOFFBF88CC,坡道平面,0,
RPUPMLQLJIOFFBF09CC,坡道機械,0,
RPUPMLQLJIOFFBF09CC,坡道機械,0,
RPTPMLQLJIOFFBF98CC,坡道平面,0,
RPWPMLQLJIOFFBF66CC,坡道機械,0,
RPVQMLQLJIOFFBF66CC,坡道平面,3000,
RPPOMLRLJIOFFBF58CC,坡道平面,0,24.84
RPPOMLRLJIOFFBF58CC,坡道平面,0,24.84
RPPOMLRLJIOFFEF88CC,坡道平面,0,36.52
RPSNMLRLJIOFFGF66CC,坡道平面,0,40.13
RPUNMLSLJIOFFHF07CC,一樓平面,0,15.00
RPOOMLRLJIOFFCF58CC,坡道機械,0,17.64
RPVPMLQLJIOFFDF76CC,一樓平面,0,
RPVPMLQLJIOFFDF76CC,一樓平面,0,
RPVPMLQLJIOFFDF76CC,一樓平面,0,
RPSRMLSLJIOFFBF66CC,坡道平面,0,
RPSRMLSLJIOFFBF66CC,坡道平面,0,
RPOQMLSLJIOFFAF88EC,坡道平面,3000,33.95
RPPOMLSLJIOFFDF88CC,坡道平面,0,22.93
RPQPMLTLJIOFFEF66CC,坡道平面,0,43.56
RPSNMLTLJIOFFDF56CC,坡道平面,0,
RPVOMLSLJIOFFEF96CC,坡道平面,0,30.10
RPQPMLTLJIOFFBF98CC,坡道平面,0,35.61
RPQPMLTLJIOFFBF98CC,坡道平面,0,35.61
RPQPMLTLJIOFFBF98CC,坡道平面,0,35.61
RPTOMLTLJIOFFCF66CC,坡道平面,3500,
RPQNMLTLJIOFFGF66CC,坡道平面,0,32.39
RPVOMLTLJIOFFDF17EC,坡道機械,2000,21.35
RPPNMLKMJIOFFCF97CC,坡道平面,2000,40.79
RPQNMLLJKIOFFEF18CC,坡道平面,0,33.53
RPUNMLLJKIOFFBF28CC,坡道平面,0,
RPUNMLLJKIOFFEF58CC,坡道平面,0,34.83
RPUOMLMJKIOFFEF78CC,坡道平面,0,30.10
RPTOMLMJKIOFFEF68CC,坡道平面,0,30.10
RPOPMLMJKIOFFEF28CC,坡道平面,0,
RPQSMLMJKIOFFBF48CC,坡道平面,0,23.16
RPWRMLMJKIOFFBF98CC,坡道平面,0,
RPWRMLMJKIOFFBF98CC,坡道平面,0,
RPXNMLNJKIOFFIF86CC,坡道機械,0,6.50
RPQOMLNJKIOFFCF28CC,坡道平面,0,
RPPOMLNJKIOFFCF18CC,坡道平面,0,
RPRPMLNJKIOFFEF88EC,坡道平面,0,30.48
RPQPMLNJKIOFFEF58CC,坡道平面,0,27.39
RPPOMLNJKIOFFDF28CC,坡道平面,0,23.03
