鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路460巷56弄1~30號,78.02,,特定農業區,甲種建築用地,1081007,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701231,83.82,4,2,2,有,無,4300000,51300,,0.0,0,含增建或未登記建物。;,RPXNMLLKJIOFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路三段391巷1~30號,20.6,商,,,1081012,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850111,89.56,0,0,0,無,無,3450000,38522,,0.0,0,含增建或未登記建物。;,RPOOMLLKJIOFFAG57CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮公正路61~90號,115.0,商,,,1081014,土地1建物1車位0,一層，二層，三層，四層，騎樓,四層,店面(店鋪),住商用,鋼筋混凝土造,0741218,454.39,8,2,8,有,無,56000000,123242,,0.0,0,權利人兩位現況出租中,RPQNMLMKJIOFFAG77CA
南澳鄉,土地,澳花段631~660地號,175.0,,鄉村區,乙種建築用地,1081001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,1714,,0.0,0,,RPWNMLMKJIOFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮敬業路1~30號,25.2,住,,,1080927,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831114,103.85,2,2,2,有,有,6000000,57776,,0.0,0,,RPPOMLMKJIOFFAG77CA
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮純精路三段151~180號,24.26,住,,,1081021,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080122,123.12,1,1,1,有,有,9400000,90183,坡道平面,35.52,1500000,,RPSOMLMKJIOFFAG08CA
蘇澳鎮,土地,永樂段601~630地號,837.42,,工業區,農牧用地,1080917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2279880,2723,,0.0,0,"原擬訂先申請農業設施後再移轉,後改由賣方補貼買方現金十萬,由買方自行申請",RPPNMLNKJIOFFAG77CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉順安路163巷1~30號,93.07,,特定農業區,甲種建築用地,1080929,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030723,133.17,4,2,3,有,無,7000000,52564,,0.0,0,,RPRNMLNKJIOFFAG97CA
冬山鄉,土地,內城段241~270地號,3397.54,,一般農業區,農牧用地,1080902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7708200,2269,,0.0,0,,RPWNMLNKJIOFFAG48CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉季水路清水一巷1弄61~90號,51.76,,鄉村區,乙種建築用地,1081009,土地1建物1車位1,一層，二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870602,148.27,2,1,2,有,無,2650000,17873,一樓平面,0.0,0,重疊別墅,RPRNMLMLJIOFFAG97CA
蘇澳鎮,土地,中央段661~690地號,379.93,其他,,,1080716,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2068650,5445,,0.0,0,,RPRQMLRLJIOFFAG78CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光明街121~150號,108.0,住,,,1081004,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940128,183.95,4,2,2,有,無,14800000,80457,,0.0,0,,RPPNMLPJKIOFFAG97CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮朝陽路1~30號,24.95,住,,,1080927,土地1建物1車位0,二十三層,二十九層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,1061221,98.7,0,0,1,有,有,9595000,97214,,0.0,0,,RPTNMLMKJIOFFBG18CA
員山鄉,土地,東德段181~210地號,1203.53,,特定農業區,農牧用地,1081015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8555500,7109,,0.0,0,,RPOOMLMKJIOFFBG77CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮文雅路57巷1~30號,24.21,住,,,1081009,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060814,83.96000000000001,0,0,0,無,有,7000000,83373,,0.0,0,,RPPNMLNKJIOFFBG87CA
礁溪鄉,土地,龍潭湖段691~720地號,693.02,其他,,,1081029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,721,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLNKJIOFFBG28CA
壯圍鄉,土地,壯濱二段151~180地號,757.1,,一般農業區,農牧用地,1081024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1259610,1664,,0.0,0,,RPSOMLNKJIOFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市黎明一路130巷1~30號,112.76,農,,,1080923,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080107,164.86,3,2,4,有,無,9600000,58231,,0.0,0,,RPPOMLQLJIOFFBG38CA
三星鄉,土地,石圍段91~120地號,758.0,,特定農業區,農牧用地,1081021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2980000,3931,,0.0,0,,RPPOMLOKJIOFFAG18EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南興街1~30號,92.0,住,,,1081018,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630429,113.97,3,2,2,有,無,7780000,68264,,0.0,0,,RPQOMLOKJIOFFAG28EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮建福路31~60號,83.11,,鄉村區,乙種建築用地,1081028,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690118,129.48,2,1,2,有,無,2800000,21625,,0.0,0,增值稅和過戶費用由買方負擔,RPWNMLKLJIOFFAG48EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市泰山路86巷31~60號,89.19,住,,,1081024,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680508,122.98,4,1,2,有,無,8200000,66678,,0.0,0,頂樓加蓋鐵皮屋,RPPNMLMKJIOFFBG97EA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市國榮路151~180號,28.48,住,,,1080928,土地2建物1車位1,一層，騎樓,四層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0930927,139.68,0,0,1,有,有,3650000,26131,坡道平面,0.0,0,,RPVOMLNKJIOFFBG58CA
頭城鎮,車位,宜蘭縣頭城鎮文雅路57巷1~30號,0.01,住,,,1081009,土地0建物0車位1,,,其他,,,,24.8,0,0,0,有,有,800000,,坡道平面,24.8,800000,建商與地主合建案。;單獨車位交易。;土地及建物分次登記案件。車位土地交易總價為48萬元整，車位建物交易總價為32萬元整。,RPRNMLNKJIOFFBG08CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路三段421~450號,17.99,住,,,1080921,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840125,96.32,2,2,2,有,有,3800000,39452,,0.0,0,,RPROMLMKJIOFFBG08CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉武暖路151~180號,119.5,,特定農業區,甲種建築用地,1080920,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071023,218.07,5,2,5,有,無,11600000,53194,,0.0,0,,RPUNMLPKJIOFFBG58CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉玉龍路二段370巷31~60號,161.94,,特定農業區,甲種建築用地,1081019,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080102,183.83,4,2,3,有,無,9000000,48958,,0.0,0,,RPRNMLQKJIOFFBG38CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市和睦路61~90號,21.21,商,,,1081012,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670830,80.44,3,2,1,有,無,2500000,31079,,0.0,0,陽台外推；未保存之地下室持分1/5不計價所有權人四人,RPSOMLPKJIOFFBG48CA
