編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLMKJIOFFAG38CA,澳花段,175.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLMKJIOFFAG08CA,公正段,24.26,都市：住
RPPOMLMKJIOFFAG77CA,北成段,25.20,都市：住
RPRQMLRLJIOFFAG78CA,中央段,2.06,都市：其他
RPRQMLRLJIOFFAG78CA,中央段,377.87,都市：其他
RPQNMLMKJIOFFAG77CA,信義段,115.00,都市：商
RPWNMLNKJIOFFAG48CA,內城段,3397.54,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKJIOFFAG77CA,永樂段,837.42,非都市：工業區 ; 非都市編定：農牧用地
RPPNMLPJKIOFFAG97CA,國華段,108.00,都市：住
RPRNMLNKJIOFFAG97CA,鹿安一段,29.48,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNKJIOFFAG97CA,鹿安一段,.31,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNKJIOFFAG97CA,鹿安一段,49.49,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNKJIOFFAG97CA,鹿安一段,13.80,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLLKJIOFFAG38CA,鹿埔新段,78.02,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLNKJIOFFBG28CA,龍潭湖段,693.02,都市：其他
RPOOMLLKJIOFFAG57CA,東光段,20.60,都市：商
RPRNMLMLJIOFFAG97CA,季新段,51.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMKJIOFFBG18CA,烏石港段,24.95,都市：住
RPOOMLMKJIOFFBG77CA,東德段,1203.53,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLNKJIOFFBG28CA,壯濱二段,757.10,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLKLJIOFFAG48EA,猴猴段,83.11,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNKJIOFFBG87CA,拔雅林三段,24.21,都市：住
RPROMLMKJIOFFBG08CA,金六結段金結小段,17.28,都市：住
RPROMLMKJIOFFBG08CA,金六結段金結小段,.72,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMKJIOFFBG97EA,坤門五段,89.19,都市：住
RPPOMLOKJIOFFAG18EA,石圍段,758.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLQLJIOFFBG38CA,振興段,12.47,都市：農
RPPOMLQLJIOFFBG38CA,振興段,15.00,都市：農
RPPOMLQLJIOFFBG38CA,振興段,80.00,都市：農
RPPOMLQLJIOFFBG38CA,振興段,5.00,都市：農
RPPOMLQLJIOFFBG38CA,振興段,.29,都市：農
RPRNMLNKJIOFFBG08CA,拔雅林三段,.01,都市：住
RPQOMLOKJIOFFAG28EA,南昌段,92.00,都市：住
RPVOMLNKJIOFFBG58CA,金六結一段,.09,都市：住
RPVOMLNKJIOFFBG58CA,金六結一段,28.39,都市：住
RPROMLNKJIOFFBG18CA,金泰段,55.48,都市：住
RPROMLNKJIOFFBG18CA,金泰段,74.47,都市：住
RPSOMLPKJIOFFBG48CA,巽門一段,2.80,都市：商
RPSOMLPKJIOFFBG48CA,大東段,18.41,都市：商
RPUNMLPKJIOFFBG58CA,玉光一段,87.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLPKJIOFFBG58CA,玉光一段,32.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLQKJIOFFBG38CA,協民段,53.69,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLQKJIOFFBG38CA,協民段,24.56,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLQKJIOFFBG38CA,協民段,63.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLQKJIOFFBG38CA,協民段,20.69,非都市：特定農業區 ; 非都市編定：農牧用地
RPTPMLLLJIOFFBG38CA,吉祥一段,518.18,都市：農
RPPNMLPKJIOFFAG97CA,東榮一段,91.53,都市：商
RPXNMLMKJIOFFAG48CA,和平段,11.70,都市：其他
RPXNMLMKJIOFFAG48CA,和平段,46.26,都市：其他
RPXNMLMKJIOFFAG48CA,和平段,6.21,都市：其他
RPQQMLTKJIOFFBG88CA,壯濱一段,95.94,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPOMLLLJIOFFBG87CA,五峰段,23.54,都市：住
RPXNMLQJKIOFFAG88CA,國華段,115.50,都市：住
RPOOMLNKJIOFFAG77CA,北成一段,73.75,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLTLJIOFFAG09CA,廣安段,1.70,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLTLJIOFFAG09CA,廣安段,9.86,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLNKJIOFFAG87CA,蘇港段,3.42,都市：商
RPPOMLNKJIOFFAG87CA,蘇港段,.02,都市：其他
RPVNMLNKJIOFFAG38CA,武淵二段,11.18,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,3.21,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,10.03,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,75.41,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,2.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,2.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,1.35,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,1.32,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLNKJIOFFAG38CA,武淵二段,2.68,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLSKJIOFFAG28CA,南昌段,178.00,都市：商
RPUNMLTKJIOFFAG88CA,興東段,75.00,都市：商
RPXNMLPKJIOFFAG78CA,義成三段,10.08,都市：其他
RPXNMLTKJIOFFAG56CA,安平段,955.12,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOKJIOFFAG97CA,龍德段,83.50,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLOKJIOFFAG08CA,北成段,.57,都市：商
RPRNMLOKJIOFFAG08CA,北成段,3.19,都市：商
RPPOMLPKJIOFFAG08CA,東安段,95.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLPKJIOFFAG08CA,東安段,2.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLPKJIOFFAG28CA,香和段,90.99,都市：住
RPTNMLPKJIOFFAG38CA,香和段,90.99,都市：住
RPRNMLPKJIOFFAG18CA,香和段,90.99,都市：住
RPQNMLKLJIOFFBG77CA,金六結段七結小段,28.12,都市：住
RPPNMLPLJIOFFAG08CA,香和段,62.96,都市：住
RPPNMLPLJIOFFAG08CA,香和段,29.85,都市：住
RPPNMLPLJIOFFAG08CA,香和段,30.34,都市：農
SPQNMLOKJIOFFBG18CA,員山段,5.59,都市：住
SPQNMLOKJIOFFBG18CA,員山段,23.52,都市：住
RPQNMLOKJIOFFBG08CA,員山段,1.53,都市：住
RPQNMLOKJIOFFBG08CA,員山段,29.72,都市：住
RPQNMLOKJIOFFBG08CA,員山段,11.55,都市：住
RPQOMLTKJIOFFAG58CA,國華段,119.00,都市：住
RPOOMLTKJIOFFAG38CA,義成八段,89.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMJKIOFFAG77CA,孝威段,100.80,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLMJKIOFFAG87CA,孝威段,107.90,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPPMLLLJIOFFBG97CA,珍子滿力段擺厘小段,978.00,都市：住
RPQOMLPKJIOFFBG28CA,新洲子段,2719.79,非都市：特定農業區 ; 非都市編定：農牧用地
