編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLMKJIOFFAG08EC,中華段,173.00,都市：商
RPXNMLSLJIOFFBG86CC,雙福段,.00,都市：工
RPWOMLNJKIOFFBG09EC,協天段,.00,都市：住
RPRNMLLLJIOFFAG08CC,信義段,548.00,都市：商
RPPNMLQLJIOFFBG48CC,公園段,705.73,都市：其他
RPVOMLRLJIOFFAG56CC,南安段,33.00,都市：住
RPSNMLTKJIOFFBG98CC,金六結段七結小段,.00,都市：商
RPSNMLTKJIOFFBG98CC,金六結段七結小段,.00,都市：商
RPXNMLOKJIOFFAG88CC,公正段,108.00,都市：住
RPUNMLSLJIOFFBG56CC,金六結段金結小段,81.00,都市：住
RPSNMLPJKIOFFBG78EC,玉石段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQRMLKKKIOFFAG28CC,國華段,300.00,都市：住
RPQRMLKKKIOFFAG28CC,國華段,95.50,都市：住
RPQNMLTLJIOFFBG88CC,慈安段,.00,都市：住
RPQNMLTLJIOFFBG88CC,慈安段,.00,都市：住
RPVNMLKLKIOFFBG58CC,和睦段,.00,都市：工
RPQOMLKLKIOFFAG28EC,國華段,.00,都市：住
RPXNMLRKKIOFFBG76CC,新張段,.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLRKKIOFFBG68CC,和睦段,.00,都市：住
RPQOMLOLKIOFFAG48CC,興東段,14.00,都市：住
RPVNMLSKKIOFFAG56CC,羅莊段,.00,都市：住
RPRNMLSKKIOFFAG78CC,中華段,.00,都市：住
RPRNMLSKKIOFFAG78CC,中華段,.00,都市：住
RPSOMLMLJHPFFAG38CC,隘城段,205.01,都市：工
RPTNMLKLKIOFFBG48DC,金六結三段,.00,都市：住
RPUNMLKLKIOFFBG58DC,新生段,.00,都市：住
RPOOMLOLKIOFFAG28CC,中華段,207.00,都市：商
RPSNMLKMJHPFFBG28CC,慈安段,.00,都市：住
RPSNMLKMJHPFFBG28CC,慈安段,.00,都市：住
