編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQQMLMKJIOFFAH18CA,大興段,23.59,都市：住
RPTPMLMKJIOFFAH38CA,大樹林段,53.00,都市：工
RPQPMLLKJIOFFAH97CA,會稽段,.67,都市：其他
RPQPMLLKJIOFFAH97CA,會稽段,12.92,都市：其他
RPQPMLLKJIOFFAH97CA,會稽段,19.85,都市：其他
RPTNMLMKJIOFFAH18CA,三元段,5.96,都市：住
RPVTMLMKJIOFFAH98CA,中路二段,1.06,都市：住
RPSRMLMKJIOFFAH48CA,中正段,23.55,都市：住
RPSRMLMKJIOFFAH48CA,中正段,4.14,都市：住
RPQRMLMKJIOFFAH28CA,大樹林段,3.35,都市：商
RPSOMLMKJIOFFAH18CA,大有段,6.57,都市：住
RPOTMLNKJIOFFAH38CA,慈文段,15.82,都市：住
RPUOMLNKJIOFFAH48CA,富國段,23.72,都市：住
RPSTMLNKJIOFFAH78CA,慈文段,11.04,都市：住
RPUTMLNKJIOFFAH98CA,和平段,82.51,都市：住
RPTRMLLLJIOFFAH58CA,和平段,18.02,都市：住
RPTQMLTKJIOFFAH56CA,龍安段,176.00,都市：住
RPWOMLTKJIOFFAH66CA,同安段,.17,都市：住
RPWOMLTKJIOFFAH66CA,同安段,9.34,都市：住
RPWOMLTKJIOFFAH66CA,同安段,.36,都市：住
RPSPMLTLJIOFFAH09CA,中路三段,19.84,都市：住
RPTPMLTLJIOFFAH56CA,中路三段,27.07,都市：住
RPWSMLOKJIOFFAH56CA,桃園段長美小段,3.78,都市：商
RPTRMLTKJIOFFAH66CA,三民段,606.39,都市：住
RPURMLTKJIOFFAH76CA,三民段,983.23,都市：住
RPVRMLPJKIOFFAH09CA,有恒段,19.72,都市：工
RPVRMLPJKIOFFAH09CA,有恒段,.69,都市：其他
RPOSMLLKJIOFFBH18CA,復興段,33.47,都市：其他
RPXNMLPKJIOFFAH88CA,桃園段武陵小段,4.51,都市：商
RPURMLLKJIOFFBH68CA,三民段,84.00,都市：其他
RPTQMLMKJIOFFBH58CA,上嶺段,3136.83,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWQMLMKJIOFFBH88CA,健行段,12.00,都市：住
RPWQMLMKJIOFFBH88CA,健行段,15.60,都市：住
RPXQMLNJKIOFFAH98CA,福元段,12.39,都市：住
RPPPMLPLJIOFFAH38CA,法政段,32.40,都市：住
RPQPMLMKJIOFFBH18CA,上嶺段,78.72,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLMKJIOFFBH97CA,興南段興南小段,4.45,都市：商
RPVPMLMKJIOFFBH68CA,忠孝段,20.79,都市：住
RPWPMLMKJIOFFBH78CA,洽溪段,2.15,非都市：特定農業區 ; 非都市編定：農牧用地
RPWPMLMKJIOFFBH78CA,洽溪段,34.38,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRPMLMKJIOFFBH28CA,仁美段,14.58,都市：其他
RPUQMLMKJIOFFBH68CA,環東段,10.22,都市：住
RPOPMLMKJIOFFBH97CA,廣興段,83.01,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLNKJIOFFBH97CA,中壢埔頂段,92.00,都市：住
RPTOMLOKJIOFFBH58CA,青昇段,100.00,都市：住
RPSNMLNKJIOFFBH28CA,平寮段,67.66,都市：住
RPUOMLOKJIOFFBH68CA,青昇段,100.00,都市：住
RPQTMLNKJIOFFBH68CA,青昇段,18.36,都市：住
RPVOMLOKJIOFFBH78CA,老街溪段,8.99,都市：住
RPVOMLOKJIOFFBH78CA,老街溪段,3.77,都市：住
RPQSMLNKJIOFFBH58CA,富強段,37.50,都市：住
RPQSMLNKJIOFFBH58CA,富強段,37.50,都市：住
RPQSMLNKJIOFFBH58CA,富強段,7.26,都市：住
RPQSMLNKJIOFFBH58CA,富強段,7.26,都市：住
RPQSMLNKJIOFFBH58CA,富強段,6.43,都市：住
RPQSMLNKJIOFFBH58CA,富強段,6.43,都市：住
RPWTMLNKJIOFFBH66CA,青昇段,23.75,都市：住
RPUTMLNKJIOFFBH09CA,青昇段,23.43,都市：住
RPUNMLOKJIOFFBH58CA,青昇段,18.36,都市：住
RPSOMLOKJIOFFBH48CA,中興段,23.17,都市：住
RPQPMLOKJIOFFBH38CA,老街溪段,10.27,都市：住
RPQPMLOKJIOFFBH38CA,老街溪段,27.09,都市：住
RPXQMLOKJIOFFBH56CA,白沙屯段白沙屯小段,4528.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWVMLMLJIOFFBH86CA,華興段,4.39,都市：其他
RPXNMLKLJIOFFBH58CA,復興段,2.75,都市：住
RPXNMLKLJIOFFBH58CA,復興段,3.25,都市：住
RPXNMLKLJIOFFBH58CA,復興段,15.90,都市：商
RPVRMLSKJIOFFBH86CA,興南段興南小段,4.45,都市：商
RPVOMLSKJIOFFBH56CA,前寮段,29.85,都市：住
RPVOMLSKJIOFFBH56CA,前寮段,29.85,都市：住
RPVOMLSKJIOFFBH56CA,前寮段,1.95,都市：其他
RPVOMLSKJIOFFBH56CA,前寮段,1.95,都市：其他
RPVOMLSKJIOFFBH56CA,前寮段,1.95,都市：其他
RPVOMLSKJIOFFBH56CA,前寮段,29.85,都市：住
RPWOMLMLJIOFFBH78CA,後興段,162.98,都市：農
RPWOMLMLJIOFFBH78CA,後興段,316.26,都市：農
RPWOMLMLJIOFFBH78CA,華興段,302.72,都市：農
RPWOMLLLJIOFFBH68CA,忠福段,102.00,都市：其他
RPWPMLMLJIOFFBH88CA,華興段,214.42,都市：農
RPOQMLMLJIOFFBH18CA,後興段,116.95,都市：農
RPOQMLMLJIOFFBH18CA,後興段,410.48,都市：農
RPTPMLMLJIOFFBH58CA,後興段,162.98,都市：農
RPTPMLMLJIOFFBH58CA,後興段,316.26,都市：農
RPTPMLMLJIOFFBH58CA,華興段,302.72,都市：農
RPSWMLMLJIOFFBH56CA,後興段,1.52,都市：農
RPSWMLMLJIOFFBH56CA,後興段,18.17,都市：農
RPPWMLMLJIOFFBH88CA,後興段,6.67,都市：農
RPPWMLMLJIOFFBH88CA,華興段,2.48,都市：農
RPPWMLMLJIOFFBH88CA,華興段,.25,都市：農
RPPWMLMLJIOFFBH88CA,華興段,21.78,都市：農
RPPWMLMLJIOFFBH88CA,華興段,.55,都市：農
RPPWMLMLJIOFFBH88CA,華興段,.02,都市：農
RPPWMLMLJIOFFBH88CA,華興段,11.59,都市：農
RPPWMLMLJIOFFBH88CA,華興段,12.78,都市：農
RPPWMLMLJIOFFBH88CA,華興段,.12,都市：其他
RPPWMLMLJIOFFBH88CA,華興段,.30,都市：其他
RPPWMLMLJIOFFBH88CA,後興段,.33,都市：農
RPPWMLMLJIOFFBH88CA,華興段,3.94,都市：農
RPSSMLMLJIOFFBH78CA,後興段,6.67,都市：農
RPSSMLMLJIOFFBH78CA,華興段,2.48,都市：農
RPSSMLMLJIOFFBH78CA,華興段,.25,都市：農
RPSSMLMLJIOFFBH78CA,華興段,21.78,都市：農
RPSSMLMLJIOFFBH78CA,華興段,.55,都市：農
RPSSMLMLJIOFFBH78CA,華興段,.02,都市：農
RPSSMLMLJIOFFBH78CA,華興段,11.59,都市：農
RPSSMLMLJIOFFBH78CA,華興段,12.78,都市：農
RPSSMLMLJIOFFBH78CA,華興段,.12,都市：其他
RPSSMLMLJIOFFBH78CA,華興段,.30,都市：其他
RPSSMLMLJIOFFBH78CA,後興段,.33,都市：農
RPSSMLMLJIOFFBH78CA,華興段,3.94,都市：農
RPTUMLOLJIOFFBH66CA,三座屋段舊社小段,17.67,都市：其他
RPUUMLOLJIOFFBH76CA,三座屋段舊社小段,206.00,都市：其他
RPUUMLOLJIOFFBH76CA,三座屋段舊社小段,4.50,都市：其他
RPVUMLOLJIOFFBH86CA,興和段,139.32,都市：其他
RPVUMLOLJIOFFBH86CA,興和段,132.09,都市：其他
RPXUMLOLJIOFFBH07CA,興和段,244.87,都市：其他
RPXUMLOLJIOFFBH07CA,興和段,150.03,都市：其他
RPXUMLOLJIOFFBH07CA,興和段,149.41,都市：其他
RPXUMLOLJIOFFBH07CA,興和段,149.60,都市：其他
RPWUMLOLJIOFFBH96CA,興和段,5.24,都市：其他
RPWUMLOLJIOFFBH96CA,興和段,1181.79,都市：其他
RPWUMLOLJIOFFBH96CA,興和段,2642.33,都市：其他
RPWUMLOLJIOFFBH96CA,興和段,561.47,都市：其他
RPPPMLPLJIOFFBH48CA,大路段,13.08,都市：其他
RPPPMLPLJIOFFBH48CA,大路段,33.00,都市：其他
RPPPMLPLJIOFFBH48CA,大路段,16.13,都市：其他
RPSTMLTLJIOFFBH96CA,草新段,66.35,都市：住
RPSTMLTLJIOFFBH96CA,草新段,33.73,都市：住
RPRNNLMLJIOFFBH28CA,中壢埔頂段,15.47,都市：住
RPTRMLQLJIOFFBH56CA,中壢埔頂段,4.62,都市：住
RPPRMLQLJIOFFBH78CA,工業區段二小段,78.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPTPMLLKKIOFFBH48CA,中寮段,76.16,都市：其他
RPPNMLQJKIOFFBH28CA,榮民段,31.00,都市：其他
