編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLTKJIOFFGH66CB,金鍊段,17.53,都市：住
RPVOMLMKJIOFFGH56CB,金鍊段,17.53,都市：住
RPWOMLMKJIOFFGH66CB,金鍊段,17.53,都市：住
RPPNMLPLJIOFFBH48DB,雙嶺段,16.03,都市：住
RPSSMLTKJIOFFBH96DB,雙嶺段,16.22,都市：住
RPTSMLTKJIOFFBH07DB,雙嶺段,16.22,都市：住
RPUSMLTKJIOFFBH17DB,雙嶺段,14.71,都市：住
RPQOMLTKJIOFFGH76CB,金鍊段,17.53,都市：住
RPROMLTKJIOFFGH86CB,金鍊段,17.53,都市：住
RPXOMLTKJIOFFGH47CB,金鍊段,17.53,都市：住
RPSOMLTKJIOFFGH96CB,金鍊段,17.53,都市：住
RPUOMLTKJIOFFGH17CB,金鍊段,17.53,都市：住
RPOOMLRLJIOFFGH09CB,廣豐段,31.44,都市：住
RPPOMLRLJIOFFGH56CB,廣豐段,31.44,都市：住
RPSOMLRLJIOFFGH86CB,廣豐段,24.85,都市：住
RPQOMLRLJIOFFGH66CB,廣豐段,31.44,都市：住
RPTOMLRLJIOFFGH96CB,廣豐段,24.85,都市：住
RPVOMLRLJIOFFGH17CB,廣豐段,24.85,都市：住
RPROMLRLJIOFFGH76CB,廣豐段,24.85,都市：住
RPWOMLRLJIOFFGH27CB,廣豐段,24.85,都市：住
RPXOMLRLJIOFFGH37CB,廣豐段,24.85,都市：住
RPOPMLRLJIOFFGH56CB,廣豐段,24.85,都市：住
RPPPMLRLJIOFFGH66CB,廣豐段,24.85,都市：住
RPQPMLRLJIOFFGH76CB,廣豐段,23.36,都市：住
RPUOMLRLJIOFFGH07CB,廣豐段,24.85,都市：住
RPRPMLRLJIOFFGH86CB,廣豐段,23.36,都市：住
RPPQMLRLJIOFFGH76CB,廣豐段,17.07,都市：住
RPRQMLRLJIOFFGH96CB,廣豐段,23.95,都市：住
RPOQMLRLJIOFFGH66CB,廣豐段,23.36,都市：住
RPSPMLRLJIOFFGH96CB,廣豐段,23.36,都市：住
RPXPMLRLJIOFFGH47CB,廣豐段,23.36,都市：住
RPUPMLRLJIOFFGH17CB,廣豐段,23.36,都市：住
RPVPMLRLJIOFFGH27CB,廣豐段,23.36,都市：住
RPTPMLRLJIOFFGH07CB,廣豐段,23.36,都市：住
RPWPMLRLJIOFFGH37CB,廣豐段,23.36,都市：住
RPUQMLRLJIOFFGH27CB,廣豐段,23.95,都市：住
RPSQMLRLJIOFFGH07CB,廣豐段,23.95,都市：住
RPTQMLRLJIOFFGH17CB,廣豐段,23.95,都市：住
RPWQMLRLJIOFFGH47CB,廣豐段,23.95,都市：住
RPVQMLRLJIOFFGH37CB,廣豐段,23.95,都市：住
RPORMLRLJIOFFGH76CB,廣豐段,23.95,都市：住
RPXQMLRLJIOFFGH57CB,廣豐段,23.95,都市：住
RPRRMLRLJIOFFGH07CB,廣豐段,23.36,都市：住
RPQRMLRLJIOFFGH96CB,廣豐段,23.36,都市：住
