編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTOMLLKJIOFFFH88CC,坡道平面,0,20.13
RPXNMLMKJIOFFBH98DC,坡道平面,0,27.82
RPUNMLLKJIOFFGH98CC,升降機械,0,
RPWNMLMKJIOFFDH98CC,坡道平面,0,31.70
RPWNMLMKJIOFFDH98CC,坡道平面,0,31.70
RPSNMLMKJIOFFHH98CC,坡道平面,0,23.78
RPUOMLMKJIOFFGH56CC,坡道平面,0,
RPVOMLMKJIOFFEH56DC,坡道平面,0,31.26
RPXNMLMKJIOFFDH09CC,坡道平面,0,31.70
RPTOMLMKJIOFFAH48CC,一樓平面,0,
RPOPMLNKJIOFFAH38EC,坡道平面,0,21.22
RPPQMLNKJIOFFAH58EC,坡道平面,0,31.88
RPRNMLOKJIOFFBH48CC,坡道平面,0,32.60
RPPNMLSKJIOFFGH56CC,坡道平面,0,38.69
RPROMLSKJIOFFFH76CC,坡道平面,0,34.40
RPWOMLTKJIOFFFH37CC,坡道平面,0,
RPTNMLTKJIOFFFH07DC,坡道平面,0,35.87
RPXOMLTKJIOFFFH47CC,坡道平面,0,
RPWOMLTKJIOFFCH07CC,坡道平面,0,
RPXNMLKLJIOFFFH56CC,坡道平面,0,37.29
RPSQMLLLJIOFFAH58CC,坡道平面,0,
RPXUMLMLJIOFFBH07CC,坡道平面,0,30.76
RPWNMLQLJIOFFFH07CC,坡道平面,0,
RPSOMLPLJIOFFEH56CC,坡道平面,0,45.59
RPXOMLPLJIOFFAH66CC,坡道平面,0,25.05
RPXRMLPLJIOFFBH07CC,坡道平面,0,26.47
RPSUMLRLJIOFFHH67CC,坡道平面,0,45.16
RPQOMLSLJIOFFFH76CC,坡道平面,0,
RPPOMLQLJIOFFBH68CC,坡道平面,0,29.99
RPUPMLSLJIOFFEH17CC,坡道平面,0,31.67
RPQOMLSLJIOFFDH56CC,坡道平面,0,36.38
RPRVMLTLJIOFFBH27CC,坡道平面,0,
RPPSMLMJKIOFFBH58CC,坡道平面,0,21.34
RPWNMLMJKIOFFFH56CC,坡道平面,0,32.74
RPVOMLMJKIOFFEH66EC,坡道平面,0,30.40
RPQSMLMJKIOFFBH68CC,坡道平面,0,21.34
RPWOMLNJKIOFFEH66CC,坡道平面,0,
RPPNMLMJKIOFFAH97CC,坡道平面,0,
RPPRMLNJKIOFFGH09CC,坡道平面,0,32.41
RPTOMLNJKIOFFCH78CC,坡道平面,0,36.45
RPTPMLOJKIOFFAH78CC,坡道平面,0,27.14
RPSOMLOJKIOFFDH88CC,坡道平面,0,36.43
RPQOMLPJKIOFFAH48CC,坡道平面,0,
RPQOMLPJKIOFFAH48CC,坡道平面,0,
RPOOMLQJKIOFFHH09CC,坡道平面,0,36.39
RPVSMLQJKIOFFBH96CC,坡道平面,0,
RPSOMLPJKIOFFBH78CC,坡道平面,0,29.62
RPWNMLTJKIOFFEH17CC,坡道平面,0,24.22
RPPOMLTJKIOFFGH76CC,坡道平面,0,
RPQNMLTJKIOFFAH78CC,坡道平面,0,24.78
RPQSMLTJKIOFFBH76CC,坡道平面,0,
RPVSMLTJKIOFFEH57CC,坡道平面,0,39.69
RPSNMLKKKIOFFHH98DC,塔式車位,0,
RPSPMLTJKIOFFAH66DC,升降平面,0,
RPXNMLKKKIOFFHH76CC,坡道平面,0,26.14
RPSOMLTJKIOFFHH17CC,坡道平面,0,23.78
RPXSMLTJKIOFFFH97DC,坡道平面,0,
RPXOMLLKKIOFFBH98CC,坡道平面,0,
RPROMLKKKIOFFGH78CC,坡道平面,0,
RPXNMLLKKIOFFFH66CC,坡道平面,0,32.24
RPOPMLLKKIOFFCH28CC,坡道平面,0,40.33
RPQNMLMKKIOFFFH68CC,坡道平面,0,32.74
RPRNMLLKKIOFFFH78DC,坡道平面,0,32.21
