鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,土地,東海窟段東海窟小段31~60地號,423.08,,特定農業區,農牧用地,1081011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10494000,24804,,0.0,0,,RPSOMLNKJIOFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政八街68巷1~30號,21.4,商,,,1080912,土地1建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960731,263.78,4,2,2,有,有,14500000,54972,坡道平面,0.0,0,,RPXOMLNKJIOFFBJ09CA
竹北市,土地,華城段421~450地號,1750.11,,山坡地保育區,農牧用地,1080924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,5143,,0.0,0,,RPQOMLLKJIOFFBJ18CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十二街31~60號,49.01,住,,,1081009,土地1建物1車位2,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020513,307.84000000000003,4,2,2,有,有,23000000,74714,坡道平面,66.12,0,,RPSOMLLKJIOFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路91~120號,20.09,商,,,1081006,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931228,193.85000000000002,3,2,2,有,有,13880000,71602,坡道平面,30.17,0,,RPPNMLMKJIOFFBJ08CA
新埔鎮,房地(土地+建物),新竹縣新埔鎮文山路?頭山段891巷6弄1~30號,80.23,,鄉村區,乙種建築用地,1080928,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690118,115.2,5,3,2,有,無,9000000,78125,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLOKJIOFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市新泰路53巷1~30號,13.53,商,,,1081005,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941116,103.55,2,2,1,有,有,5430000,52438,坡道機械,0.0,0,,RPUNMLSKJIOFFBJ56CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政三街31~60號,31.11,商,,,1080921,土地1建物1車位1,一層，二層，騎樓,九層,店面(店鋪),商業用,鋼筋混凝土造,0861104,210.85999999999999,0,0,0,無,有,11750000,55724,坡道平面,0.0,0,,RPOOMLSKJIOFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉政五街1~30號,40.78,住,,,1080924,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020329,258.08,3,2,2,有,有,20500000,79433,坡道平面,43.04,0,,RPRNMLTKJIOFFBJ98CA
