編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLOKJIOFFBJ88CA,仰德段,80.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMKJIOFFBJ08CA,大學段,20.09,都市：商
RPVNMLQLJIOFFBJ56CA,東興段,25.38,都市：住
RPXOMLNKJIOFFBJ09CA,縣福段,21.40,都市：商
RPQOMLLKJIOFFBJ18CA,華城段,1750.11,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLNKJIOFFBJ58CA,東海窟段東海窟小段,423.08,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLLKJIOFFBJ38CA,自強段,49.01,都市：住
RPVOMLQLJIOFFBJ66CA,豆子埔段,10.79,都市：住
RPVOMLQLJIOFFBJ66CA,豆子埔段,15.54,都市：住
RPVOMLQLJIOFFBJ66CA,豆子埔段,4.28,都市：住
RPOSMLSLJIOFFBJ56CA,莊敬段,9.00,都市：住
RPRNMLTKJIOFFBJ98CA,家興段,40.78,都市：住
RPOOMLSKJIOFFBJ68CA,縣福段,31.11,都市：商
RPUOMLRLJIOFFBJ66CA,中興段,430.49,都市：住
RPUOMLRLJIOFFBJ66CA,中興段,969.84,都市：住
RPUNMLSKJIOFFBJ56CA,站後段,13.53,都市：商
RPVNMLRLJIOFFCJ76CA,富貴段,4.16,都市：農
RPVNMLRLJIOFFCJ76CA,富貴段,1.10,都市：農
RPVNMLRLJIOFFCJ76CA,富貴段,.02,非都市：特定農業區 ; 非都市編定：交通用地
RPVNMLRLJIOFFCJ76CA,富貴段,.66,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLRLJIOFFCJ76CA,富貴段,.94,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSTMLPLJIOFFCJ86CA,園區段,1.37,都市：其他
RPVOMLNKJIOFFCJ98CA,大雅段,7.60,都市：其他
RPVOMLNKJIOFFCJ98CA,大雅段,352.50,都市：其他
RPVOMLNKJIOFFCJ98CA,大雅段,7.72,都市：其他
RPVOMLNKJIOFFCJ98CA,大雅段,10.31,都市：其他
RPVOMLNKJIOFFCJ98CA,大雅段,269.95,都市：其他
RPOQMLNJKIOFFBJ38CA,莊敬段,21.75,都市：商
RPRPMLNJKIOFFBJ58CA,莊敬段,21.75,都市：商
RPSQMLNKJIOFFCJ88CA,大雅段,513.12,都市：其他
RPPPMLNKJIOFFCJ48CA,園區段,134.37,都市：其他
RPPPMLNKJIOFFCJ48CA,園區段,1932.45,都市：其他
RPTOMLTJKIOFFCJ76CA,竹東段竹東小段,51.59,都市：住
RPOOMLTJKIOFFCJ88CA,竹東段竹東小段,41.54,都市：住
RPWNMLTJKIOFFCJ96CA,竹東段竹東小段,28.81,都市：住
RPSOMLTJKIOFFCJ66CA,竹東段竹東小段,41.54,都市：住
RPROMLTJKIOFFCJ56CA,竹東段竹東小段,42.21,都市：住
RPPOMLTJKIOFFCJ98CA,竹東段竹東小段,52.26,都市：住
RPQOMLTJKIOFFCJ09CA,竹東段竹東小段,28.81,都市：住
RPXNMLTJKIOFFCJ07CA,竹東段竹東小段,42.21,都市：住
RPPOMLNKJIOFFCJ38CA,綠獅段,15.97,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLNKJIOFFCJ38CA,綠獅段,55.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTJKIOFFCJ56CA,竹東段竹東小段,42.21,都市：住
RPTNMLTJKIOFFCJ66CA,竹東段竹東小段,41.54,都市：住
RPTPMLTJKIOFFCJ86CA,竹東段竹東小段,34.84,都市：住
RPUNMLTJKIOFFCJ76CA,竹東段竹東小段,52.26,都市：住
RPRPMLTJKIOFFCJ66CA,竹東段竹東小段,57.62,都市：住
RPVOMLTJKIOFFCJ96CA,竹東段竹東小段,42.21,都市：住
RPWOMLTJKIOFFCJ07CA,竹東段竹東小段,41.54,都市：住
RPQOMLNKJIOFFDJ58CA,長威段,156.71,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLOKJIOFFDJ56CA,中義段,16.65,都市：商
RPVNMLNKJIOFFDJ98CA,福興段後湖子小段,2502.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOKJIOFFDJ98CA,重興段,18.31,都市：住
RPUNMLOKJIOFFDJ98CA,重興段,9.75,都市：商
RPTNMLPKJIOFFDJ98CA,湖南段,783.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLPKJIOFFDJ98CA,湖南段,668.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLPKJIOFFDJ98CA,湖南段,553.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLPKJIOFFDJ98CA,湖南段,1427.00,非都市：特定農業區 ; 非都市編定：農牧用地
