編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVPMLLLJHPFFBJ98CB,水瀧段,11.61,都市：商
RPOPMLLLJHPFFBJ28CB,水瀧段,16.10,都市：商
RPXOMLLLJHPFFBJ09CB,水瀧段,15.73,都市：商
RPTPMLLLJHPFFBJ78CB,水瀧段,11.61,都市：商
RPQPMLLLJHPFFBJ48CB,水瀧段,12.73,都市：商
RPOQMLLLJHPFFBJ38CB,水瀧段,11.61,都市：商
RPSPMLLLJHPFFBJ68CB,水瀧段,11.61,都市：商
RPUPMLLLJHPFFBJ88CB,水瀧段,11.61,都市：商
RPPQMLLLJHPFFBJ48CB,水瀧段,11.61,都市：商
RPXPMLLLJHPFFBJ56CB,水瀧段,11.61,都市：商
RPQQMLLLJHPFFBJ58CB,水瀧段,15.73,都市：商
RPSQMLLLJHPFFBJ78CB,水瀧段,15.73,都市：商
RPUQMLLLJHPFFBJ98CB,水瀧段,16.10,都市：商
RPTQMLLLJHPFFBJ88CB,水瀧段,15.73,都市：商
RPVQMLLLJHPFFBJ09CB,水瀧段,16.10,都市：商
RPWQMLLLJHPFFBJ56CB,水瀧段,16.10,都市：商
RPRQMLLLJHPFFBJ68CB,水瀧段,15.73,都市：商
RPXQMLLLJHPFFBJ66CB,水瀧段,16.10,都市：商
RPORMLLLJHPFFBJ48CB,水瀧段,16.10,都市：商
RPPRMLLLJHPFFBJ58CB,水瀧段,16.10,都市：商
RPRRMLLLJHPFFBJ78CB,水瀧段,13.48,都市：商
RPSRMLLLJHPFFBJ88CB,水瀧段,9.36,都市：商
RPVRMLLLJHPFFBJ56CB,水瀧段,9.36,都市：商
RPOSMLLLJHPFFBJ58CB,水瀧段,9.36,都市：商
RPURMLLLJHPFFBJ09CB,水瀧段,8.99,都市：商
RPPSMLLLJHPFFBJ68CB,水瀧段,9.36,都市：商
RPQSMLLLJHPFFBJ78CB,水瀧段,9.36,都市：商
RPOTMLLLJHPFFBJ68CB,水瀧段,16.10,都市：商
RPXSMLLLJHPFFBJ86CB,水瀧段,16.10,都市：商
RPRSMLLLJHPFFBJ88CB,水瀧段,16.10,都市：商
RPWSMLLLJHPFFBJ76CB,水瀧段,16.10,都市：商
RPPTMLLLJHPFFBJ78CB,水瀧段,16.10,都市：商
RPRTMLLLJHPFFBJ98CB,水瀧段,9.36,都市：商
RPQTMLLLJHPFFBJ88CB,水瀧段,9.36,都市：商
RPSTMLLLJHPFFBJ09CB,水瀧段,9.36,都市：商
RPTTMLLLJHPFFBJ56CB,水瀧段,16.10,都市：商
RPUTMLLLJHPFFBJ66CB,水瀧段,16.10,都市：商
RPXTMLLLJHPFFBJ96CB,水瀧段,16.10,都市：商
RPWTMLLLJHPFFBJ86CB,水瀧段,16.10,都市：商
RPOUMLLLJHPFFBJ78CB,水瀧段,16.10,都市：商
RPPUMLLLJHPFFBJ88CB,水瀧段,9.36,都市：商
RPQUMLLLJHPFFBJ98CB,水瀧段,11.61,都市：商
