編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLSKJIOFFCJ07CC,二坪段,247.79,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLSKJIOFFBJ86CC,世興段,.00,都市：商
RPTOMLSKJIOFFBJ76CC,家興段,.00,都市：住
RPSOMLQLJIOFFBJ56CC,家興段,.00,都市：住
RPSOMLOKJIOFFBJ88CC,大學段,.00,都市：住
RPPQMLNKJIOFFBJ68CC,大學段,.00,都市：住
RPSNMLSKJIOFFBJ56CC,家興段,.00,都市：住
RPOOMLOKJIOFFBJ48CC,永興段,.00,都市：住
RPTOMLOKJIOFFBJ98CC,隘興段,.00,都市：商
RPORMLSLJIOFFBJ66CC,永興段,.00,都市：住
RPVQMLSLJIOFFBJ27CC,公園段,.00,都市：商
RPXQMLSLJIOFFBJ47CC,公園段,.00,都市：住
RPWQMLSLJIOFFBJ37CC,隘興段,.00,都市：住
RPPRMLSLJIOFFBJ76CC,公園段,.00,都市：商
RPTNMLTLJIOFFDJ07CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLTLJIOFFDJ27CC,忠信段,.00,非都市： ; 非都市編定：
RPUNMLTLJIOFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLTLJIOFFDJ07CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLTLJIOFFDJ86CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLTLJIOFFDJ86CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLTLJIOFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLTLJIOFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLTLJIOFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLTLJIOFFDJ96CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLTLJIOFFDJ37CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRSMLNJKIOFFBJ09CC,公園段,.00,都市：住
RPSQMLOJKIOFFBJ09CC,世興段,.00,都市：商
RPWNMLMKKIOFFDJ66CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLMKKIOFFDJ98CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLQJKIOFFCJ86CC,重光段,.00,都市：住
RPXQMLPJKIOFFBJ07CC,永興段,.00,都市：商
RPVNMLLKKIOFFBJ88CC,台元段,1897.64,都市：工
RPVNMLLKKIOFFBJ88CC,台元段,85.83,都市：工
RPWQMLPJKIOFFBJ96CC,大學段,.00,都市：住
RPSOMLQKKIOFFBJ56CC,家興段,.00,都市：商
RPQOMLSKKIOFFBJ56CC,縣華段,.00,都市：商
