鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
彰化市,房地(土地+建物)+車位,彰化縣彰化市延平路63巷1~30號,44.95,住,,,1081021,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070920,283.17999999999995,3,2,3,有,有,20200000,71333,坡道平面,0.0,0,,RPSNMLNKJIOFFAN78CA
彰化市,房地(土地+建物),彰化縣彰化市民權路74巷1~30號,70.0,商,,,1080926,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0491001,64.4,4,2,1,有,無,3000000,46584,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLNKJIOFFAN98CA
彰化市,房地(土地+建物)+車位,彰化縣彰化市金馬路三段141巷1~30號,20.16,住,,,1081008,土地1建物2車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830623,142.67,3,2,2,有,有,5750000,40303,坡道平面,15.29,0,,RPPNMLOKJIOFFAN58CA
彰化市,土地,三民段451~480地號,46.07,其他,,,1081015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,910000,19753,,0.0,0,包含公共設施保留地之交易。;,RPTOMLSKJIOFFAN86CA
花壇鄉,土地,明德段721~750地號,1407.0,農,,,1080424,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31800000,22601,,0.0,0,含增建或未登記建物。;,RPPNMLTKJIOFFAN09CA
花壇鄉,房地(土地+建物),彰化縣花壇鄉中山路二段841~870號,88.07,住,,,1081021,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0641101,58.08,3,2,1,有,無,3400000,58540,,0.0,0,,RPVNMLKLJIOFFAN88CA
彰化市,房地(土地+建物),彰化縣彰化市平和十二街31~60號,83.0,住,,,1081018,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0790912,180.77,4,2,3,有,無,10000000,55319,,0.0,0,,RPTNMLQJKIOFFAN56CA
秀水鄉,房地(土地+建物),彰化縣秀水鄉平安五街61~90號,97.75,住,,,1081029,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0970624,206.18,5,1,4,有,無,12500000,60627,,0.0,0,含增建或未登記建物。;,RPPNMLTJKIOFFAN09CA
和美鎮,房地(土地+建物),彰化縣和美鎮和東里仁安路125巷1~30號,83.0,住,,,1081031,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0700727,148.8,4,2,3,有,無,6660000,44758,,0.0,0,,RPQOMLLKJIOFFBN58CA
線西鄉,土地,重振段91~120地號,41.58,住,,,1081008,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,817050,19650,,0.0,0,,RPQNMLNKJIOFFBN68CA
線西鄉,土地,重振段91~120地號,41.58,住,,,1081008,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,817050,19650,,0.0,0,,RPSNMLNKJIOFFBN88CA
和美鎮,土地,和中段1291~1320地號,30.0,商,,,1071024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,50000,,0.0,0,,RPPNMLRKJIOFFBN98CA
和美鎮,土地,大霞段391~420地號,927.03,,特定農業區,農牧用地,1080911,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9872400,10649,,0.0,0,,RPVNMLPKJIOFFBN76CA
和美鎮,房地(土地+建物),彰化縣和美鎮糖東一街230巷1~30號,100.42,,特定農業區,甲種建築用地,1081011,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0880427,159.43,5,1,3,有,無,6500000,40770,,0.0,0,增值稅等一切費用由買方負擔,RPQNMLNJKIOFFBN68CA
伸港鄉,土地,泰平段1141~1170地號,191.33,,特定農業區,農牧用地,1080920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,578773,3025,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLOJKIOFFBN09CA
福興鄉,土地,福新段841~870地號,134.7,,鄉村區,乙種建築用地,1081029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2037500,15126,,0.0,0,,RPPNMLMKJIOFFCN58CA
鹿港鎮,土地,海埔段751~780地號,2323.03,,一般農業區,養殖用地,1081031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,2583,,0.0,0,備註：增值稅稅金47429元由承買人負擔。,RPRNMLMKJIOFFCN78CA
大村鄉,房地(土地+建物),彰化縣大村鄉中山路一段34巷31~60號,130.46,,鄉村區,乙種建築用地,1081007,土地6建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041126,182.88,4,2,5,有,無,8600000,47025,,0.0,0,,RPQNMLMKJIOFFDN78CA
永靖鄉,土地,永泰段1021~1050地號,19.43,,特定農業區,甲種建築用地,1081022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,91250,4696,,0.0,0,,RPROMLMKJIOFFDN98CA
大村鄉,房地(土地+建物),彰化縣大村鄉大智路一段91~120號,89.01,住,,,1080103,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070319,183.53,4,3,3,有,無,10980000,59827,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPTOMLMKJIOFFDN56CA
永靖鄉,土地,永昌段241~270地號,217.95,,鄉村區,乙種建築用地,1080922,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1169614,5366,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLNKJIOFFDN78CA
永靖鄉,土地,永北段571~600地號,170.0,,特定農業區,甲種建築用地,1081021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,26471,,0.0,0,,RPPNMLPKJIOFFDN98CA
員林市,土地,溝皂段301~330地號,1811.88,,特定農業區,甲種建築用地,1080330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,93175980,51425,,0.0,0,本買賣價含地上未保存建物,RPTOMLSKJIOFFDN17CA
員林市,土地,溝皂段301~330地號,112.08,,特定農業區,甲種建築用地,1080330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5763510,51423,,0.0,0,本買賣價含地上未保存建物，本案交易日期108.06.03,SPTOMLSKJIOFFDN27CA
員林市,土地,溝皂段301~330地號,149.43,,特定農業區,甲種建築用地,1080330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7684680,51427,,0.0,0,本買賣價含地上未保存建物，本案交易日期108.10.04,TPTOMLSKJIOFFDN37CA
員林市,土地,溝皂段301~330地號,112.08,,特定農業區,甲種建築用地,1080415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5763510,51423,,0.0,0,本買賣價含地上未保存建物,RPVOMLSKJIOFFDN37CA
員林市,土地,溝皂段301~330地號,56.04,,特定農業區,甲種建築用地,1080603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2881670,51422,,0.0,0,本買賣價含地上未保存建物,RPWOMLSKJIOFFDN47CA
員林市,土地,溝皂段301~330地號,373.58,,特定農業區,甲種建築用地,1080330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19211360,51425,,0.0,0,本買賣價含地上未保存建物,RPOPMLSKJIOFFDN76CA
員林市,房地(土地+建物)+車位,彰化縣員林市興學一街31~60號,24.06,住,,,1081025,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070504,138.89,3,2,2,有,有,7680000,55296,坡道平面,0.0,0,,RPPQMLSKJIOFFDN96CA
員林市,土地,饒明段421~450地號,986.13,,特定農業區,農牧用地,1081008,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,9127,,0.0,0,含增建或未登記建物。;,RPPNMLTKJIOFFDN76CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉邱厝巷1~30號,73.0,,特定農業區,甲種建築用地,1081015,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080828,152.88,4,2,3,有,無,5800000,37938,,0.0,0,,RPXPMLKLJIOFFDN96CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉邱厝巷1~30號,114.0,,特定農業區,甲種建築用地,1081015,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080828,156.46,4,2,3,有,無,6000000,38348,,0.0,0,,RPQQMLKLJIOFFDN98CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉邱厝巷1~30號,72.0,,特定農業區,甲種建築用地,1081015,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080828,150.2,4,2,3,有,無,5980000,39814,,0.0,0,,RPSQMLKLJIOFFDN56CA
員林市,房地(土地+建物)+車位,彰化縣員林市興學一街91~120號,27.67,住,,,1081016,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080806,122.32999999999998,2,2,2,有,有,6200000,49041,升降機械,10.18,700000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTQMLKLJIOFFDN66CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉邱厝巷1~30號,69.0,,特定農業區,甲種建築用地,1081015,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080828,150.2,4,2,3,有,無,5850000,38948,,0.0,0,,RPUQMLKLJIOFFDN76CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉邱厝巷1~30號,85.0,,特定農業區,甲種建築用地,1081015,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080828,153.76,4,2,3,有,無,5600000,36420,,0.0,0,,RPWQMLKLJIOFFDN96CA
員林市,土地,南潭段1201~1230地號,66.39,,特定農業區,農牧用地,1081015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,18075,,0.0,0,因母親生前債務，於賣方繼承後過戶予買方，互抵債務。,RPSNMLMLJIOFFDN09CA
大村鄉,土地,慈祥段961~990地號,100.07,,鄉村區,乙種建築用地,1080929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660462,6600,,0.0,0,權利人共4人。本土地現為供公眾通行之私設道路。,RPTNMLMLJIOFFDN56CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉邱厝巷1~30號,78.0,,特定農業區,甲種建築用地,1081015,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080828,153.95,4,2,3,有,無,6050000,39298,,0.0,0,,RPTNMLLLJIOFFDN09CA
員林市,房地(土地+建物),彰化縣員林市員林大道五段91~120號,13.22,住,,,1081003,土地1建物1車位0,一層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1061122,74.33,1,0,1,有,有,12000000,161442,,0.0,0,,RPROMLMLJIOFFDN09CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉邱厝巷1~30號,86.0,,特定農業區,甲種建築用地,1081015,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080828,156.46,4,2,3,有,無,5880000,37581,,0.0,0,,RPRNMLQLJIOFFDN76CA
員林市,房地(土地+建物),彰化縣員林市惠明街311巷1~30號,17.91,住,,,1081003,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,96.7,3,1,2,有,有,3360000,34747,,0.0,0,,RPXNMLRLJIOFFDN47CA
大村鄉,土地,慶安段1711~1740地號,74.44,,鄉村區,乙種建築用地,1081031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,9404,,0.0,0,向政府機關承購之案件。;,RPUNMLSLJIOFFDN27CA
員林市,房地(土地+建物)+車位,彰化縣員林市新生路588巷11弄1~30號,71.13,住,,,1081018,土地1建物1車位1,全,二層,透天厝,住家用,鋼筋混凝土造,0780130,188.73,6,2,3,有,無,6990000,37037,其他,0.0,0,含增建或未登記建物。;,RPTPMLKKKIOFFDN56CA
