編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLNLJIOFFAN78CC,東興段,265.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLLLJIOFFAN56CC,彰泰段,.00,都市：住
RPVNMLLLJIOFFAN56CC,彰泰段,.00,都市：住
RPPPMLPLJIOFFAN56CC,福元段,1190.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPQNMLNKJIOFFDN09CC,三多段,77.60,都市：住
RPQNMLNKJIOFFDN09CC,三多段,10.39,都市：住
RPQNMLNKJIOFFDN09CC,三多段,10.39,都市：住
RPSNMLLLJIOFFAN88CC,秀水段,447.00,都市：住
RPRNMLNKJIOFFDN56CC,三多段,77.60,都市：住
RPRNMLNKJIOFFDN56CC,三多段,10.39,都市：住
RPRNMLNKJIOFFDN56CC,三多段,10.39,都市：住
RPUNMLTKJIOFFAN17CC,彰化段西門小段,.00,都市：商
RPPOMLKKKIOFFDN88CC,員林段,42.00,都市：商
RPSNMLQLJIOFFAN76CC,福竹段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPLJIOFFAN56CC,南郭段南郭小段,.00,都市：住
RPUOMLMKJIOFFAN66DC,三民段,63.00,都市：商
RPRNMLTLJIOFFAN96CC,西勢子段過溝子小段,.00,都市：住
RPSNMLKKKIOFFAN88DC,西勢子段過溝子小段,178.00,都市：住
RPSNMLRLJIOFFCN07CC,永福段,165.00,都市：住
RPQNMLMJKIOFFCN98DC,埔崙段,85.00,都市：住
RPVOMLKKKIOFFDN86CC,員林段,42.00,都市：商
RPOOMLQJJHPFFAN88CC,古寶段,231.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLQLJIOFFHN47CC,瓦窯中段,29.81,都市：住
RPSNMLMJJHPFFDN09CC,靜修段,171.30,都市：住
RPUNMLRKKIOFFBN27DC,伸股段,94.15,都市：住
RPQOMLLMKIOFFDN66CC,三義段,6.64,都市：商
RPQOMLLMKIOFFDN66CC,三義段,13.13,都市：商
RPQOMLLMKIOFFDN66CC,三義段,1.02,都市：商
RPQOMLLMKIOFFDN66CC,三義段,63.33,都市：商
RPVNMLMKKIOFFAN66CC,延平段,.00,都市：住
RPVNMLMKKIOFFAN66CC,延平段,.00,都市：住
RPPNMLLKKIOFFHN66CC,瓦窯中段,29.81,都市：住
RPPNMLOKJHPFFCN98CC,新生段,78.00,都市：住
RPSNMLQJJHPFFCN86DC,順興段,62.00,都市：住
RPOOMLKKJHPFFAN38CC,南郭段南郭小段,41.00,都市：住
RPUPMLPKJHPFFAN96CC,南郭段南郭小段,.00,都市：住
RPRNMLSJJHPFFBN76CC,福馬段,.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPRNMLKLJHPFFAN68CC,福岩段,148.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLKLJHPFFAN68CC,福岩段,110.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLKLJHPFFAN68CC,福岩段,110.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLRKJHPFFBN86CC,福馬段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKLJHPFFAN78CC,福岩段,4749.56,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPKJHPFFCN66DC,新宮段,51.55,都市：住
RPVNMLLMJHPFFDN96CC,員林段,101.00,都市：住
RPTOMLLLJHPFFDN76CC,南潭段,65.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLKMJHPFFAN68CC,南郭段南郭小段,.00,都市：住
RPUOMLLLJHPFFDN86CC,南潭段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLNJKHPFFDN07CC,員林段,22.00,都市：住
RPVOMLNJKHPFFDN07CC,員林段,61.00,都市：住
RPVNMLOJKHPFFBN86CC,糖友段,68.12,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLKKKHPFFAN78CC,三民段,.00,都市：商
RPSNMLKLKIOFFCN09CC,景福段,28.03,都市：住
