編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXPMLNKJIOFFAO17CC,中隘段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOOMLPKJIOFFAO09DC,自由段,99.00,都市：住
RPSQMLPKJIOFFAO07DC,長春段,.00,都市：其他
RPTOMLQLJIOFFAO07CC,長春段,.00,都市：住
RPSNMLOKJIOFFAO56CC,光武段,.00,都市：商
RPSNMLRLJIOFFAO96CC,南門段二小段,.00,都市：商
RPWPMLTLJIOFFAO77CC,東山段一小段,.00,都市：住
RPTPMLTLJIOFFAO47CC,自由段,.00,都市：住
RPROMLKMJIOFFAO98CC,古峰段,.00,非都市： ; 非都市編定：
RPVPMLTLJIOFFAO67CC,復中段,.00,都市：商
RPPPMLQLJIOFFAO76CC,東橋段,.00,都市：住
RPPPMLQLJIOFFAO76CC,東橋段,.00,都市：住
RPQOMLPJKIOFFAO56CC,武陵段,.00,都市：住
RPSOMLKMJIOFFAO09CC,忠孝段,.00,非都市： ; 非都市編定：
RPUPMLKLJIOFFAO66CC,民富段,.00,都市：住
RPPOMLMKKIOFFAO88CC,聚吉段,.00,都市：其他
RPQQMLMJKIOFFAO09CC,建華段,.00,都市：住
RPXQMLLKKIOFFAO17CC,金山段,.00,都市：住
RPOOMLRKKIOFFAO76DC,中央段,121.00,都市：住
RPOOMLRKKIOFFAO76DC,中央段,14.00,都市：住
RPTNMLNJKIOFFAO56CC,聚吉段,.00,都市：商
RPRNMLTJKIOFFAO96CC,南門段三小段,64.00,都市：商
RPRNMLTJKIOFFAO96CC,南門段三小段,19.00,都市：商
RPSOMLTJKIOFFAO17CC,新港段,.00,都市：住
RPSRMLOLKIOFFAO17CC,中華段,.00,都市：其他
RPQOMLMKKIOFFAO98CC,大庄段,.00,都市：住
RPROMLNKKIOFFAO56CC,榮光段一小段,.00,都市：商
RPXPMLSKKIOFFAO87DC,中雅段,.00,都市：商
RPXPMLSKKIOFFAO87DC,崙子段,.00,都市：商
RPSOMLNKKIOFFAO66CC,自由段,.00,都市：住
RPVQMLRLKIOFFAO67CC,光復段,63.68,都市：住
RPWOMLKMKIOFFAO96CC,光武段,.00,都市：工
RPXOMLKMKIOFFAO07CC,金山段,23.35,都市：住
RPVPMLSKKIOFFAO57CC,光復段,.00,都市：住
RPTOMLQKKIOFFAO07CC,三姓段,.00,都市：商
RPTOMLQKKIOFFAO07CC,三姓段,.00,都市：工
RPVOMLKMKIOFFAO86CC,康朗段,.00,都市：住
RPSPMLRLKIOFFAO27CC,國道段,.00,都市：住
RPVOMLQLKIOFFAO37CC,東山段二小段,.00,都市：住
RPQNMLSLKIOFFAO96CC,光復段,.00,都市：住
RPSOMLNJJHPFFAO09CC,西門段一小段,.00,都市：商
RPRNMLQJJHPFFAO56CC,東光段,22.77,都市：商
RPSPMLNJJHPFFAO56CC,光武段,.00,都市：商
