編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSQMLPKJIOFFAO07DC,坡道平面,0,23.26
RPTOMLQLJIOFFAO07CC,坡道平面,0,
RPSNMLOKJIOFFAO56CC,坡道平面,0,
RPXQMLLKKIOFFAO17CC,坡道機械,0,
RPTNMLNJKIOFFAO56CC,坡道機械,0,
RPSRMLOLKIOFFAO17CC,坡道平面,0,
RPXPMLSKKIOFFAO87DC,坡道平面,0,
RPRNMLQJJHPFFAO56CC,坡道平面,0,
RPPNMLPJJHPFFAO88CC,坡道平面,0,
RPQOMLNJJHPFFAO09EC,升降機械,0,15.32
RPVSMLSJJHPFFAO87EC,坡道平面,0,
RPOTMLOKJHPFFAO76CC,坡道機械,0,16.27
RPVNMLRKJHPFFAO17CC,坡道平面,0,
RPQOMLRKJHPFFAO96EC,坡道機械,0,
RPURMLLLJHPFFAO96CC,坡道平面,0,23.00
RPPPMLNJKHPFFAO98CC,坡道平面,0,
RPXNMLRJKHPFFAO37CC,升降機械,0,
RPOPMLPJKHPFFAO56DC,坡道平面,0,19.98
