編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLLKKIOFFEP27CC,下寮段,1923.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLKLJHPFFAP68CC,海豐崙段海豐崙小段,126.00,都市：住
RPWNMLKLJHPFFAP76CC,大崙段大崙小段,58.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLLMKIOFFAP07CC,大潭段社口小段,7.17,都市：住
RPVNMLRLJIOFFAP37CC,明德段,79.93,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLKLJHPFFAP86CC,林頭段,23.75,都市：住
RPQOMLKLJHPFFAP88CC,斗六段,17.66,都市：商
RPUNMLKLKIOFFAP76DC,斗六段,110.06,都市：住
RPRNMLMKKIOFFDP76CC,博愛段,86.96,都市：住
RPPNMLPJKIOFFDP76CC,高北段,117.00,都市：住
RPQNMLOJKHPFFAP09CC,海豐崙段朱丹灣小段,14.00,都市：住
RPQNMLOJKHPFFAP09CC,海豐崙段朱丹灣小段,48.00,都市：住
RPQNMLOJKHPFFAP09CC,海豐崙段朱丹灣小段,36.00,都市：住
RPQNMLPLKIOFFAP76CC,咬狗庄段,93.66,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPLKIOFFAP76CC,咬狗庄段,24.89,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMLJIOFFAP66CC,海豐崙段朱丹灣小段,15.69,都市：商
