鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
朴子市,土地,安福段1231~1260地號,168.64,住,,,1081024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,12000,71,,0.0,0,,RPUNMLOKJIOFFBQ07CC
朴子市,房地(土地+建物),嘉義縣朴子市光復新路61~90號,90.94,住,,,1081020,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,見其他登記事項,0821229,178.0,5,2,3,有,無,有,10000,56,,0.0,0,,RPWNMLSKJIOFFBQ67CC
朴子市,房地(土地+建物),嘉義縣朴子市祥和一路西段1~30號,36.9,商,,,1081201,土地1建物3車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0941003,89.02,0,0,0,無,無,有,8500,95,,0.0,0,本約起始日為109年1月1日,RPPNMLRKKIOFFBQ96CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,26.48,住,,,1081201,土地1建物2車位0,一層,8,店面(店鋪),商業用,鋼筋混凝土造,0950828,107.64,0,0,0,無,無,有,8500,79,,0.0,0,,RPQNMLRKKIOFFBQ07CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1081205,土地1建物3車位0,八層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.200000000000003,1,0,1,有,無,有,3200,103,,0.0,0,,RPRNMLRKKIOFFBQ17CC
太保市,房地(土地+建物),嘉義縣太保市北港路二段181~210號,939.76,住,,,1081213,土地1建物1車位0,見其他登記事項,1,店面(店鋪),商業用,鋼造,0870407,326.0,0,0,0,無,無,無,56000,172,,0.0,0,,RPQNMLOLKIOFFDQ07CC
朴子市,房地(土地+建物),嘉義縣朴子市朴子七路181~210號,85.0,住,,,1080102,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920922,176.07,5,2,3,有,無,有,16000,91,,0.0,0,,RPPNMLRJJHPFFBQ76CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,11.74,住,,,1090101,土地1建物2車位0,,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,50.06,1,1,1,有,無,有,5500,110,,0.0,0,,RPQNMLRJJHPFFBQ86CC
水上鄉,房地(土地+建物),嘉義縣水上鄉柳新村柳子林1561~1590號,63.45,,鄉村區,乙種建築用地,1090130,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0701220,107.48,4,2,3,有,無,無,7500,70,,0.0,0,,RPTNMLNJKHPFFDQ07CC
太保市,房地(土地+建物),嘉義縣太保市舊埤里新埤1~30號,101.0,,鄉村區,乙種建築用地,1090122,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0860305,170.44,4,2,3,有,無,有,7500,44,,0.0,0,,RPPNMLOJKHPFFDQ76CC
太保市,房地(土地+建物),嘉義縣太保市祥和三路東段271~300號,98.25,其他,,,1090117,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0970703,215.51,4,3,6,有,無,有,20000,93,,0.0,0,,RPQNMLOJKHPFFDQ86CC
