編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLOKJIOFFAT96CA,20,53.77,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPTNMLOKJIOFFAT96CA,20,91.43,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十二層
RPQNMLLLJIOFFAT09CA,20,21.08,住家用,鋼筋混凝土造,89年3月31日,六層,五層
RPQNMLLLJIOFFAT09CA,20,9.07,見其他登記事項,鋼筋混凝土造,89年3月31日,六層,
RPOPMLPKJIOFFAT76CA,26,81.45,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,五層
RPOPMLPKJIOFFAT76CA,26,24.75,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,
RPVNMLNKJIOFFAT07CA,24,53.73,住家用,鋼筋混凝土造,84年11月9日,十二層,五層
RPVNMLNKJIOFFAT07CA,24,17.59,見其他登記事項,鋼筋混凝土造,84年11月9日,十二層,
RPRPMLMKJIOFFAT76CA,36,72.08,住家用,鋼筋混凝土造,72年3月30日,五層,二層
RPRPMLMKJIOFFAT76CA,36,.00,見其他登記事項,鋼筋混凝土造,72年3月30日,,
RPSPMLMKJIOFFAT86CA,26,171.84,住商用,鋼筋混凝土造,82年6月10日,三層,一層 二層 三層
RPPNMLNKJIOFFBT56CA,27,179.68,住家用,鋼筋混凝土造,81年11月6日,三層,一層 二層 三層
RPOOMLPLJIOFFAT76CA,24,80.85,見其他登記事項,鋼筋混凝土造,84年6月13日,九層,二層
RPOOMLPLJIOFFAT76CA,24,26.90,見其他登記事項,鋼筋混凝土造,84年6月13日,九層,
RPQOMLPLJIOFFAT96CA,24,37.34,住家用,鋼筋混凝土造,84年10月6日,十二層,十一層
RPQOMLPLJIOFFAT96CA,24,14.22,見其他登記事項,鋼筋混凝土造,84年10月6日,十二層,
RPPNMLMJKIOFFAT98CA,1,175.14,見其他登記事項,鋼筋混凝土造,108年1月22日,四層,一層 二層 三層 四層
RPWNMLPKJIOFFCT57CA,43,89.26,住家用,加強磚造,65年12月29日,二層,一層 二層
RPXNMLOJKIOFFAT37CA,4,238.07,住家用,鋼筋混凝土造,105年2月2日,三層,一層 二層 三層 屋頂突出物
