編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLOKJIOFFAT96CA,勝興段,17.40,都市：住
RPSPMLNKJIOFFAT96CA,田厝段,65.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLOKJIOFFAT07CA,瑞光段,186.00,都市：住
RPRNMLMKJIOFFAT56CA,新街段三小段,84.00,都市：住
RPQNMLLLJIOFFAT09CA,檳榔腳段二小段,6.36,都市：住
RPTPMLMKJIOFFAT96CA,民生段,56.00,都市：住
RPOPMLPKJIOFFAT76CA,豐田段,15.74,都市：住
RPVNMLNKJIOFFAT07CA,勝興段,9.04,都市：住
RPPOMLQLJIOFFAT96CA,萬惠段,83.00,都市：住
RPPOMLQLJIOFFAT96CA,萬惠段,41.00,都市：住
RPRPMLMKJIOFFAT76CA,萬年段,23.64,都市：住
RPSPMLMKJIOFFAT86CA,繁華段,95.74,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLMKJIOFFBT56CA,新二段,82.24,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLNKJIOFFBT56CA,永春段,92.00,都市：住
RPSNMLMKJIOFFBT76CA,彭新段,1528.69,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLMKJIOFFBT76CA,彭新段,192.02,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLPLJIOFFAT76CA,勝興段,20.56,都市：住
RPQOMLPLJIOFFAT96CA,長治段,.26,都市：商
RPQOMLPLJIOFFAT96CA,長治段,3.64,都市：商
RPQOMLPLJIOFFAT96CA,長治段,.00,都市：商
RPQOMLPLJIOFFAT96CA,長治段,.00,都市：商
RPPNMLMJKIOFFAT98CA,社上段,52.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMJKIOFFAT98CA,社上段,37.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMJKIOFFAT98CA,社上段,.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLLKKIOFFAT09CA,番子寮段,2330.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLPKJIOFFCT57CA,新五魁段,68.50,都市：住
RPQNMLOLJIOFFCT96CA,新田段,261.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLNLJIOFFBT66CA,新日段,3906.82,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLOJKIOFFAT37CA,社上段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLTJKIOFFDT77CA,船頭段,113.50,都市：住
RPXNMLPKJIOFFCT67CA,三星段,19.50,都市：住
RPQNMLPLJIOFFCT07CA,光明段,112.45,都市：住
RPVNMLPKJIOFFDT57CA,仁和段,100.38,都市：住
RPPNMLPLJIOFFCT96CA,光明段,138.57,都市：住
RPSOMLMKJIOFFAT86DA,萬年段,32.15,都市：住
RPOOMLOJKIOFFDT86CA,新帝段,118.07,都市：住
RPPNMLLLJIOFFFT86CA,德興段,156.35,都市：住
RPWNMLKLJIOFFCT17CA,富春段,46.18,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLKLJIOFFCT17CA,富春段,.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLNKJIOFFAT76DA,大埔段一小段,4.00,都市：住
RPQOMLNKJIOFFAT76DA,大埔段一小段,1.00,都市：住
RPRNMLNKJIOFFCT96DA,赤山段一小段,2910.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLOLKIOFFFT67CA,南山段,34.65,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMKJIOFFDT86CA,花矸段,155.23,都市：其他
RPPOMLOJKIOFFDT96CA,東新段,120.59,都市：住
RPXNMLOJKIOFFDT67CA,東新段,115.32,都市：住
RPRNMLTKJIOFFFT87DA,玉光段,5.39,都市：住
RPXNMLTKJIOFFDT18CA,新吉段,4182.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLMKJIOFFFT27CA,東海段,198.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLLLJIOFFCT76CA,五魁寮段一小段,33.09,都市：住
RPQOMLMKJIOFFDT86CA,中興段,100.94,都市：其他
RPQOMLMKJIOFFDT86CA,中興段,567.49,都市：住
RPQOMLMKJIOFFDT86CA,中興段,110.83,都市：其他
RPQOMLMKJIOFFDT86CA,中興段,119.16,都市：住
RPSNMLOKJIOFFDT17CA,嘉南段,190.78,都市：住
RPSNMLOKJIOFFDT17CA,嘉南段,.56,都市：其他
RPSNMLOKJIOFFDT17CA,嘉南段,4.14,都市：住
RPRNMLNKJIOFFET07CA,恆西段,43.96,都市：住
RPQNMLNKJIOFFBT66CA,新土庫段　,3298.43,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLOKJIOFFDT47DA,富田段,1329.18,都市：農
RPTNMLOJKIOFFAT96CA,三山段,6017.72,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLTKJIOFFAT17DA,歸義段,9.12,非都市：鄉村區 ; 非都市編定：交通用地
RPOOMLTKJIOFFAT17DA,歸義段,1.33,非都市：鄉村區 ; 非都市編定：交通用地
RPVNMLNKJIOFFCT27CA,隘寮段,1629.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOKJIOFFCT86CA,農場段,3965.80,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOKJIOFFAT76CA,大慶段,4767.74,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLOKJIOFFAT76CA,大慶段,1221.62,非都市：工業區 ; 非都市編定：丁種建築用地
RPSOMLOKJIOFFAT96CA,大春段,154.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOKJIOFFAT66CA,檳榔腳段二小段,13.32,都市：住
RPPNMLNLJIOFFCT76CA,延平段,82.67,都市：住
RPRPMLSKJIOFFAT37CA,崑崙段,3.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLSKJIOFFAT47CA,崑崙段,16.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLLLJIOFFAT96CA,長治段,205.00,都市：住
RPTNMLOKJIOFFCT17CA,廣濟段,28.41,都市：住
RPVPMLPKJIOFFAT47CA,北勢段,64.00,都市：住
RPPPMLNKJIOFFAT66CA,勝興段,25.76,都市：住
RPPPMLNKJIOFFAT66CA,勝興段,109.00,都市：住
RPPPMLNKJIOFFAT66CA,勝興段,.38,都市：住
RPPPMLNKJIOFFAT66CA,勝興段,.38,都市：住
RPPNMLSJKIOFFCT17CA,東勢段,2192.06,非都市：一般農業區 ; 非都市編定：農牧用地
RPXOMLNKJIOFFAT37CA,勝興段,21.28,都市：住
RPXOMLNKJIOFFAT37CA,勝興段,90.00,都市：住
RPXOMLNKJIOFFAT37CA,勝興段,.38,都市：住
RPXOMLNKJIOFFAT37CA,勝興段,.38,都市：住
RPUOMLTKJIOFFAT67CA,建國段,16.14,都市：住
RPWNMLTKJIOFFAT77CA,復興段,175.66,非都市：一般農業區 ; 非都市編定：交通用地
RPVOMLOKJIOFFAT27CA,潭頭段,650.40,都市：農
RPXOMLOKJIOFFAT47CA,瑞光段,60.00,都市：住
RPWOMLOKJIOFFAT37CA,新鐘段,83.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLOKJIOFFAT76CA,新林段,1881.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOPMLOKJIOFFAT66CA,洛陽段,85.00,都市：住
RPPNMLOKJIOFFAT56CA,林內段,75.00,都市：住
RPUOMLPKJIOFFAT27CA,新鐘段,2888.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLPKJIOFFAT27CA,新鐘段,84.00,非都市：特定農業區 ; 非都市編定：水利用地
RPUOMLPKJIOFFAT27CA,新鐘段,520.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLPKJIOFFAT27CA,新鐘段,1937.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLSKJIOFFAT57CA,長治段,.01,都市：商
RPUOMLSKJIOFFAT57CA,長治段,4.55,都市：商
RPUOMLSKJIOFFAT57CA,長治段,.32,都市：商
RPUOMLSKJIOFFAT57CA,長治段,.01,都市：商
RPROMLPLJIOFFAT07CA,九勇段,779.43,都市：住
RPROMLPLJIOFFAT07CA,九勇段,661.75,都市：住
RPTOMLPLJIOFFAT27CA,崙頂段,9.00,非都市：鄉村區 ; 非都市編定：水利用地
RPQNMLSKJIOFFAT07CA,九和段,124.25,都市：住
RPROMLOKJIOFFAT86CA,萬年段,8.14,都市：住
RPQPMLOKJIOFFAT86CA,檳榔腳段二小段,17.67,都市：住
RPQPMLOKJIOFFAT86CA,檳榔腳段二小段,.46,都市：住
RPXNMLOKJIOFFAT37CA,水源段一小段,158.00,都市：住
RPQPMLTKJIOFFAT37CA,華錦段,729.36,非都市：一般農業區 ; 非都市編定：農牧用地
RPWOMLNJKIOFFAT27CA,萬年段,15.52,都市：住
RPRNMLPLJIOFFAT96CA,萬年段,15.52,都市：住
RPUOMLPLJIOFFAT37CA,萬後段,76.00,都市：住
RPUOMLPLJIOFFAT37CA,萬後段,1.00,都市：住
RPUOMLPLJIOFFAT37CA,萬後段,33.00,都市：住
RPUOMLPLJIOFFAT37CA,萬後段,82.00,都市：住
RPUOMLPLJIOFFAT37CA,萬後段,417.00,都市：住
RPQNMLSJKIOFFCT27CA,南寧段,47.70,都市：住
RPWNMLQLJIOFFAT57CA,勝興段,104.00,都市：住
RPUPMLTKJIOFFAT77CA,長春段,20.29,都市：住
RPTPMLTKJIOFFAT67CA,新生段,60.00,都市：住
RPRPMLTKJIOFFAT47CA,溝美段,74.00,都市：住
RPROMLKKKIOFFCT76CA,光華段,121.23,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLTJKIOFFCT37CA,光華段,61.26,都市：住
RPQNMLTJKIOFFCT37CA,光華段,17.92,都市：住
RPUNMLOKJIOFFCT27CA,鳳新段,596.80,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLOKJIOFFCT86CA,新勢段,2100.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOKJIOFFCT07CA,中勝段,333.99,都市：住
RPSNMLOKJIOFFCT07CA,中勝段,61.95,都市：其他
RPSNMLOKJIOFFCT07CA,中勝段,52.74,都市：住
RPSNMLOKJIOFFCT07CA,中勝段,31.84,都市：商
RPWNMLNKJIOFFCT37CA,光華段,107.10,都市：住
RPTOMLPKJIOFFCT37CA,餉潭段,2813.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTOMLPKJIOFFCT37CA,餉潭段,235.13,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLJIOFFCT07CA,新田段,681.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLOLJIOFFCT07CA,新田段,79.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOKJIOFFDT86CA,頂仁段,135.18,都市：住
RPVNMLKLJIOFFCT07CA,忠心崙段,912.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLKLJIOFFCT07CA,忠心崙段,516.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLOKJIOFFCT37CA,三星段,56.90,都市：住
RPVNMLOKJIOFFCT37CA,三星段,64.30,都市：住
RPQNMLPKJIOFFDT07CA,塭岸段,47.59,都市：農
RPROMLQLJIOFFCT37CA,新豐段,115.65,非都市：工業區 ; 非都市編定：丁種建築用地
RPPPMLPKJIOFFAT96DA,復興段,411.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLOKJIOFFAT76DA,麟平段,1971.14,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLPKJIOFFDT37CA,塭岸段,399.88,都市：農
RPRNMLTLJIOFFCT57CA,崙東段,149.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLTLJIOFFCT57CA,崙東段,2532.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLPKJIOFFDT67CA,仙隆段,6.88,都市：住
RPWNMLPKJIOFFDT67CA,仙隆段,108.25,都市：住
RPRNMLQJKIOFFET37CA,保力段保力小段,36.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLNKJIOFFET37DA,德和段,485.29,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKJIOFFDT17CA,塭岸段,159.90,都市：農
RPRNMLPKJIOFFDT17CA,塭岸段,137.81,都市：農
RPSNMLPKJIOFFDT27CA,塭岸段,5.92,都市：農
RPPNMLQLJIOFFET37DA,石門段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKJIOFFFT17DA,太源段,2899.21,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOKJIOFFFT17DA,太源段,4274.80,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLSKJIOFFBT17DA,大港洋段,176.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTKJIOFFFT87EA,草埔段,1490.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQOMLTKJIOFFAT37DA,歸義段,39.72,非都市：鄉村區 ; 非都市編定：交通用地
RPQOMLTKJIOFFAT37DA,歸義段,1.33,非都市：鄉村區 ; 非都市編定：交通用地
RPTOMLTKJIOFFAT67DA,歸義段,200.09,非都市：一般農業區 ; 非都市編定：交通用地
RPROMLTKJIOFFAT47DA,歸義段,91.28,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLPKJIOFFBT96DA,興中段,68.00,都市：商
RPPNMLPKJIOFFDT96CA,中興段,55.22,都市：其他
RPPNMLPKJIOFFDT96CA,中興段,635.13,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLTKJIOFFAT27DA,九智段,64.00,都市：住
RPPOMLTKJIOFFAT27DA,九智段,12.09,都市：住
RPPOMLPLJIOFFDT27DA,上烏龍段,13.03,都市：農
RPQOMLOJKIOFFDT07CA,花矸段,78.22,都市：其他
RPQOMLOJKIOFFDT07CA,花矸段,511.14,都市：其他
RPTNMLTJKIOFFAT47CA,洛陽段,133.00,都市：住
RPSNMLOLJIOFFCT17CA,南勢段一小段,1709.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLSKJIOFFDT97CA,竹林段,97.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKJIOFFDT97CA,竹林段,18.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKJIOFFDT97CA,竹林段,119.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKJIOFFDT97CA,竹林段,32.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKJIOFFDT97CA,竹林段,21.96,非都市：鄉村區 ; 非都市編定：交通用地
RPOOMLPLJIOFFDT17DA,上烏龍段,42.14,都市：農
RPWOMLTKJIOFFAT97DA,歸義段,29.89,非都市：一般農業區 ; 非都市編定：交通用地
RPVOMLTKJIOFFAT87DA,歸義段,104.59,非都市：一般農業區 ; 非都市編定：交通用地
RPVOMLSKJIOFFAT77DA,水源段二小段,85.00,都市：住
RPSOMLSLJIOFFAT57DA,繁興段,2398.68,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKJIOFFCT07CA,南寧段,120.06,都市：住
RPVNMLMLJIOFFCT27CA,振豐段,12.02,都市：其他
RPVNMLMLJIOFFCT27CA,振豐段,54.25,都市：其他
RPVNMLMLJIOFFCT27CA,振豐段,93.27,都市：住
RPVNMLMLJIOFFCT27CA,振豐段,3.75,都市：住
