編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLSKJIOFFAU37CA,慈惠段,330.58,都市：住
RPRPMLMKJIOFFAU86CA,嘉平段,55.00,都市：住
RPOOMLLLJIOFFAU09CA,海濱段,30.98,非都市：一般農業區 ; 非都市編定：交通用地
RPOOMLLLJIOFFAU09CA,海濱段,23.68,非都市：特定農業區 ; 非都市編定：交通用地
RPOOMLLLJIOFFAU09CA,海濱段,28.36,非都市：特定農業區 ; 非都市編定：交通用地
RPOOMLLLJIOFFAU09CA,海濱段,36.21,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLLLJIOFFAU66CA,海濱段,30.98,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLLLJIOFFAU66CA,海濱段,23.68,非都市：特定農業區 ; 非都市編定：交通用地
RPRNMLLLJIOFFAU66CA,海濱段,28.36,非都市：特定農業區 ; 非都市編定：交通用地
RPRNMLLLJIOFFAU66CA,海濱段,36.21,非都市：一般農業區 ; 非都市編定：交通用地
RPUNMLRLJIOFFAU57CA,豐南段,1402.79,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLLLJIOFFAU66CA,海濱段,37.17,非都市：一般農業區 ; 非都市編定：交通用地
RPQOMLLLJIOFFAU66CA,海濱段,28.87,非都市：特定農業區 ; 非都市編定：交通用地
RPQNMLLLJIOFFAU56CA,海濱段,67.83,非都市：一般農業區 ; 非都市編定：交通用地
RPTNMLTJKIOFFAU57CA,慈惠段,29.95,都市：住
RPPPMLTJKIOFFAU37CA,主權段,30.45,都市：住
RPPPMLTJKIOFFAU37CA,主權段,.28,都市：其他
RPSPMLQLJIOFFAU67EA,明義段,204.00,都市：住
RPQOMLSKJIOFFAU47EA,天佑段,79.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLMKJIOFFAU37CA,宜安段,18.34,都市：商
RPXNMLMKJIOFFAU27CA,宜安段,16.47,都市：商
RPQNMLMKJIOFFCU96EA,瑞新段,140.25,都市：住
RPQNMLMKJIOFFCU96EA,瑞新段,139.91,都市：住
RPPNMLLLJIOFFAU09CA,海濱段,70.74,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLLLJIOFFAU09CA,海濱段,56.25,非都市：特定農業區 ; 非都市編定：交通用地
RPQNMLOKJIOFFCU96CA,民北段,95.88,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLKLJIOFFCU76CA,玉昌段,86.00,都市：其他
RPWNMLMKJIOFFAU17CA,宜安段,17.21,都市：商
RPXNMLNKJIOFFAU37CA,主商段,13.56,都市：商
RPVOMLMKJIOFFAU17CA,宜安段,21.84,都市：商
RPPOMLMKJIOFFAU56CA,宜安段,19.12,都市：商
RPRNMLSLJIOFFAU37CA,光中段,20.69,非都市：一般農業區 ; 非都市編定：交通用地
RPSNMLMKKIOFFAU86CA,嘉北段,1.04,都市：其他
RPSNMLMKKIOFFAU86CA,嘉北段,6.79,都市：其他
RPSNMLMKKIOFFAU86CA,嘉北段,5.05,都市：其他
RPTNMLMKKIOFFAU96CA,嘉北段,2.33,都市：其他
RPTNMLMKKIOFFAU96CA,嘉北段,15.17,都市：其他
RPTNMLMKKIOFFAU96CA,嘉北段,11.28,都市：其他
RPUNMLMKKIOFFAU07CA,嘉北段,.60,都市：其他
RPUNMLMKKIOFFAU07CA,嘉北段,3.90,都市：其他
RPUNMLMKKIOFFAU07CA,嘉北段,2.90,都市：其他
RPRNMLRLJIOFFAU27CA,東升段,197.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLRLJIOFFAU27CA,東升段,170.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLSLJIOFFAU57CA,富國段,4.52,都市：住
RPSNMLPLJIOFFAU17CA,海濱段,66.96,非都市：一般農業區 ; 非都市編定：交通用地
RPTNMLPLJIOFFAU27CA,海濱段,50.24,非都市：特定農業區 ; 非都市編定：交通用地
RPVNMLPLJIOFFAU47CA,海濱段,66.95,非都市：一般農業區 ; 非都市編定：交通用地
RPVNMLPLJIOFFAU47CA,海濱段,50.00,非都市：特定農業區 ; 非都市編定：交通用地
RPXNMLPLJIOFFAU67CA,海濱段,144.04,非都市：一般農業區 ; 非都市編定：交通用地
RPXNMLPLJIOFFAU67CA,海濱段,109.86,非都市：特定農業區 ; 非都市編定：交通用地
RPUNMLPLJIOFFAU37CA,海濱段,48.57,非都市：特定農業區 ; 非都市編定：交通用地
RPWNMLPLJIOFFAU57CA,海濱段,58.97,非都市：特定農業區 ; 非都市編定：交通用地
RPWNMLPLJIOFFAU57CA,海濱段,77.12,非都市：一般農業區 ; 非都市編定：交通用地
RPPOMLPLJIOFFAU96CA,海濱段,121.89,非都市：一般農業區 ; 非都市編定：交通用地
RPQOMLPLJIOFFAU07CA,海濱段,113.83,非都市：特定農業區 ; 非都市編定：交通用地
RPQOMLPLJIOFFAU07CA,海濱段,36.59,非都市：特定農業區 ; 非都市編定：交通用地
RPROMLPLJIOFFAU17CA,海濱段,139.16,非都市：一般農業區 ; 非都市編定：交通用地
RPROMLPLJIOFFAU17CA,海濱段,32.52,非都市：一般農業區 ; 非都市編定：交通用地
RPROMLPLJIOFFAU17CA,海濱段,106.09,非都市：一般農業區 ; 非都市編定：交通用地
RPROMLPLJIOFFAU17CA,海濱段,394.33,非都市：一般農業區 ; 非都市編定：交通用地
RPROMLPLJIOFFAU17CA,海濱段,352.43,非都市：一般農業區 ; 非都市編定：交通用地
RPXOMLPLJIOFFAU77CA,海濱段,126.24,非都市：一般農業區 ; 非都市編定：交通用地
RPPPMLPLJIOFFAU07CA,光中段,8.15,非都市：一般農業區 ; 非都市編定：交通用地
RPPPMLPLJIOFFAU07CA,光中段,7.89,非都市：一般農業區 ; 非都市編定：交通用地
RPSOMLPLJIOFFAU27CA,海濱段,273.92,非都市：特定農業區 ; 非都市編定：交通用地
RPRPMLPLJIOFFAU27CA,光中段,8.26,非都市：一般農業區 ; 非都市編定：交通用地
RPRPMLPLJIOFFAU27CA,光中段,1.98,非都市：一般農業區 ; 非都市編定：交通用地
RPRPMLPLJIOFFAU27CA,光中段,3.36,非都市：一般農業區 ; 非都市編定：交通用地
RPSPMLPLJIOFFAU37CA,光中段,11.82,非都市：一般農業區 ; 非都市編定：交通用地
RPQPMLPLJIOFFAU17CA,光中段,15.23,非都市：一般農業區 ; 非都市編定：交通用地
RPOPMLPLJIOFFAU96CA,海濱段,31.44,非都市：特定農業區 ; 非都市編定：交通用地
RPQPMLPLJIOFFAU17CA,光中段,8.26,非都市：一般農業區 ; 非都市編定：交通用地
