編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLLKJIOFFAV56CA,,219.29,住家用,見其他登記事項,108年8月15日,三層,一層 二層 三層
RPQNMLOKJIOFFAV86CA,36,172.53,見其他登記事項,鋼筋混凝土造,73年1月30日,四層,一層 地下層
RPQNMLOKJIOFFAV86CA,36,10.72,見其他登記事項,鋼筋混凝土造,73年1月30日,四層,
RPQNMLLLJIOFFAV66CA,38,101.29,住家用,鋼筋混凝土造,70年10月21日,七層,二層
RPQNMLLLJIOFFAV66CA,,14.92,見其他登記事項,鋼筋混凝土造,,一層,
RPQNMLLLJIOFFAV66CA,38,16.57,見其他登記事項,鋼筋混凝土造,70年10月21日,七層,
RPROMLOKJIOFFAV07CA,12,236.61,見其他登記事項,見其他登記事項,97年1月9日,三層,一層 二層 三層
RPPNMLOKJIOFFAV76CA,14,165.00,住家用,鋼筋混凝土造,94年5月18日,三層,一層 二層 三層
RPPOMLOKJIOFFAV86CA,34,121.44,住家用,加強磚造,74年8月17日,二層,一層 二層
RPPNMLNKJIOFFAV66CA,33,173.49,住家用,加強磚造,76年1月7日,二層,一層 二層
RPSNMLPKJIOFFAV17CA,39,85.49,住家用,加強磚造,69年6月2日,二層,一層 二層
RPXNMLSKJIOFFAV97CA,3,183.35,見其他登記事項,見其他登記事項,106年3月21日,三層,一層 二層 三層 見其他登記事項
RPOOMLSKJIOFFAV17CA,25,89.39,住商用,鋼筋混凝土造,84年2月16日,八層,一層 二層 騎樓
RPOOMLSKJIOFFAV17CA,25,8.46,見其他登記事項,鋼筋混凝土造,84年2月16日,八層,
RPOOMLSKJIOFFAV17CA,25,13.26,見其他登記事項,鋼筋混凝土造,84年2月16日,八層,
RPOOMLSKJIOFFAV17CA,25,3.80,見其他登記事項,鋼筋混凝土造,84年2月16日,八層,
RPQNMLLLJIOFFBV76CA,20,98.17,農舍,見其他登記事項,88年7月6日,一層,一層
RPPNMLPKJIOFFAV96DA,28,151.98,住家用,鋼筋混凝土造,81年3月27日,三層,一層 二層 三層
RPSNMLPLJIOFFAV27CA,46,47.70,住家用,見其他登記事項,62年5月9日,一層,一層 騎樓
RPOOMLKLJIOFFAV09CA,26,68.44,住家用,鋼筋混凝土造,82年5月19日,五層,三層
RPOOMLKLJIOFFAV09CA,26,11.77,見其他登記事項,鋼筋混凝土造,82年5月19日,五層,
RPOOMLKLJIOFFAV09CA,26,.98,見其他登記事項,鋼筋混凝土造,82年5月19日,五層,
RPOOMLKLJIOFFAV09CA,26,4.57,見其他登記事項,鋼筋混凝土造,82年5月19日,五層,
RPOOMLKLJIOFFAV09CA,26,5.86,見其他登記事項,鋼筋混凝土造,82年5月19日,五層,
RPPNMLLLJIOFFDV86CA,25,6.72,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPPNMLLLJIOFFDV86CA,25,35.02,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,七層
RPRNMLSKJIOFFDV67CA,,203.51,住家用,加強磚造,,一層,一層 騎樓
RPRNMLQKJIOFFAV17CA,,1411.14,見其他登記事項,鋼筋混凝土造,,二層,一層 二層 騎樓
RPQNMLSKJIOFFAV27CA,45,117.42,住家用,見其他登記事項,62年9月15日,一層,一層
RPQNMLSKJIOFFAV27CA,45,204.25,工業用,見其他登記事項,62年9月15日,一層,一層 騎樓
RPQNMLSKJIOFFAV27CA,45,129.20,見其他登記事項,見其他登記事項,62年9月15日,一層,一層
RPQNMLSKJIOFFAV27CA,45,40.80,見其他登記事項,見其他登記事項,62年9月15日,一層,一層
RPVNMLOKJIOFFAV37CA,,201.92,見其他登記事項,見其他登記事項,108年9月26日,三層,一層 二層 三層 屋頂突出物
RPSNMLSKJIOFFAV47CA,,219.29,住家用,見其他登記事項,108年8月15日,三層,一層 二層 三層
RPQOMLOKJIOFFAV96CA,8,225.10,住家用,見其他登記事項,100年12月6日,三層,一層 二層 三層
RPWNMLOKJIOFFAV47CA,,210.92,見其他登記事項,見其他登記事項,108年9月26日,三層,一層 二層 三層 屋頂突出物
RPXNMLOKJIOFFAV57CA,,211.30,見其他登記事項,見其他登記事項,108年9月26日,三層,一層 二層 三層 屋頂突出物
RPOOMLOKJIOFFAV76CA,,232.32,見其他登記事項,見其他登記事項,108年9月26日,三層,一層 二層 三層 屋頂突出物
RPRNMLTJKIOFFBV57CA,35,108.66,見其他登記事項,加強磚造,74年1月4日,二層,一層 二層 騎樓
RPQNMLSKJIOFFDV57CA,25,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,四層
RPQNMLSKJIOFFDV57CA,25,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPRNMLQLJIOFFDV57CA,24,37.95,見其他登記事項,鋼筋混凝土造,84年7月14日,八層,五層
RPRNMLQLJIOFFDV57CA,24,9.50,見其他登記事項,鋼筋混凝土造,84年7月14日,八層,
RPQOMLSKJIOFFAV37CA,46,103.04,住家用,見其他登記事項,62年6月20日,二層,一層 二層 騎樓
RPUNMLTKJIOFFAV77CA,26,133.00,住家用,鋼筋混凝土造,83年3月8日,三層,一層 二層 三層
