鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
金寧鄉,房地(土地+建物),金門縣金寧鄉東坑1~30號,46.09,其他,,,1081021,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060123,81.73,3,2,2,有,無,4600000,56283,,0.0,0,,RPPNMLOLJIOFFAW96CA
金寧鄉,土地,北四劃段181~210地號,893.0,農,,,1081111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,4255,,0.0,0,,RPPNMLMLJIOFFAW86DA
金城鎮,房地(土地+建物),金門縣金城鎮小西門31~60號,51.15,其他,,,1081110,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1030110,91.15,3,2,2,有,有,4500000,49369,,0.0,0,,RPQNMLNKJIOFFAW96DA
金沙鎮,土地,高坑劃測段211~240地號,643.11,其他,,,1081108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10280000,15985,,0.0,0,,RPRNMLOKJIOFFAW17DA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港五路151~180號,14.33,住,,,1081007,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051123,96.63,2,2,1,有,無,6770000,70061,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPTNMLNKJIOFFAW17CA
金寧鄉,土地,北二三劃測段331~360地號,166.99,農,,,1081025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,5390,,0.0,0,,RPQNMLOKJIOFFAW96CA
金寧鄉,土地,北二三劃測段331~360地號,166.99,農,,,1081025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,5390,,0.0,0,,RPTNMLSKJIOFFAW67CA
金城鎮,房地(土地+建物),金門縣金城鎮民生路1~30號,12.91,商,,,1081111,土地1建物1車位0,十層,十二層,辦公商業大樓,見其他登記事項,鋼骨混凝土造,0890821,104.88,2,1,1,有,有,6700000,63883,,0.0,0,,RPRNMLLLJIOFFAW86CA
金沙鎮,土地,大山段1111~1140地號,1673.0,農,,,1081023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,1554,,0.0,0,,RPPNMLLLJIOFFAW66CA
金城鎮,房地(土地+建物),金門縣金城鎮大古崗91~120號,39.65,其他,,,1081003,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080611,86.4,2,2,2,有,無,5000000,57870,,0.0,0,,RPVNMLSKJIOFFAW87CA
金寧鄉,土地,寧劃段61~90地號,490.69,農,,,1081114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,2649,,0.0,0,,RPWNMLSKJIOFFAW97CA
金寧鄉,土地,寧北一劃段301~330地號,652.42,農,,,1081107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1470000,2253,,0.0,0,,RPQNMLTKJIOFFAW47CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路121~150號,28.71,住,,,1081013,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071211,135.83,3,2,2,有,無,9600000,70677,,0.0,0,,RPRNMLKLJIOFFAW76CA
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐271~300號,38.99,其他,,,1081105,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070130,100.38999999999999,3,2,2,有,無,5362368,53415,,0.0,0,,RPRNMLSKJIOFFAW47CA
金城鎮,土地,古塔段61~90地號,756.02,其他,,,1081024,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16409594,21705,,0.0,0,,RPSNMLSKJIOFFAW57CA
金湖鎮,房地(土地+建物),金門縣金湖鎮信義新村31~60號,125.77,住,,,1081025,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0911028,202.36,5,2,3,有,無,7000000,34592,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLQLJIOFFAW47CA
金寧鄉,土地,盤山村段211~240地號,62.67,其他,,,1081112,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1692000,26999,,0.0,0,,RPSNMLLLJIOFFAW96CA
金城鎮,土地,東紅山段871~900地號,809.81,其他,,,1081030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,1358,,0.0,0,,RPRNMLMLJIOFFAW96CA
金寧鄉,房地(土地+建物),金門縣金寧鄉安美村安岐601~630號,60.75,其他,,,1081105,土地1建物1車位0,一層,三層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051125,115.55,3,2,2,有,無,6250000,54089,,0.0,0,,RPRNMLTKJIOFFAW67DA
金沙鎮,土地,高陽段121~150地號,1534.84,農,,,1081029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,2932,,0.0,0,,RPQNMLLLJIOFFAW76CA
金城鎮,土地,歐厝段1~30地號,602.16,農,,,1081101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1993,,0.0,0,,RPTNMLKLJIOFFAW96CA
金寧鄉,土地,北二三劃測段601~630地號,947.73,農,,,1081030,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,6331,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLNJKIOFFAW76CA
金湖鎮,房地(土地+建物),金門縣金湖鎮新頭301~330號,75.72,其他,,,1081024,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070928,159.91,4,2,2,有,無,9093500,56866,,0.0,0,,RPPNMLKMJIOFFAW66CA
金寧鄉,土地,寧湖一劃段271~300地號,220.0,住,,,1081101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,34091,,0.0,0,,RPVNMLLLJIOFFAW27CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村481~510號,43.79,其他,,,1081031,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071210,98.97,3,1,2,有,無,4850000,49005,,0.0,0,,RPTNMLMLJIOFFAW17CA
金寧鄉,土地,寧安四劃段61~90地號,466.67,農,,,1081103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,2143,,0.0,0,,RPQOMLQLJIOFFAW37CA
