編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOLJIOFFAW96CA,3,37.59,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,三層
RPPNMLOLJIOFFAW96CA,3,37.59,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,三層
RPPNMLOLJIOFFAW96CA,3,6.55,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,
RPVNMLSKJIOFFAW87CA,,73.34,見其他登記事項,鋼筋混凝土造,108年6月11日,五層,一層
RPVNMLSKJIOFFAW87CA,,13.06,見其他登記事項,鋼筋混凝土造,108年6月11日,五層,
RPRNMLKLJIOFFAW76CA,1,99.37,見其他登記事項,鋼筋混凝土造,107年12月11日,七層,三層
RPRNMLKLJIOFFAW76CA,1,36.46,見其他登記事項,鋼筋混凝土造,107年12月11日,七層,
RPRNMLSKJIOFFAW47CA,2,89.82,見其他登記事項,鋼筋混凝土造,107年1月30日,五層,四層
RPRNMLSKJIOFFAW47CA,2,10.57,見其他登記事項,鋼筋混凝土造,107年1月30日,五層,
RPRNMLLLJIOFFAW86CA,19,90.14,見其他登記事項,鋼骨混凝土造,89年8月21日,十二層,十層
RPRNMLLLJIOFFAW86CA,19,14.74,見其他登記事項,鋼骨混凝土造,89年8月21日,十二層,
RPQNMLNKJIOFFAW96DA,6,85.48,見其他登記事項,鋼筋混凝土造,103年1月10日,三層,二層
RPQNMLNKJIOFFAW96DA,6,5.67,見其他登記事項,鋼筋混凝土造,103年1月10日,三層,
RPTNMLNKJIOFFAW17CA,3,65.84,見其他登記事項,鋼筋混凝土造,105年11月23日,九層,六層
RPTNMLNKJIOFFAW17CA,3,30.79,見其他登記事項,鋼筋混凝土造,105年11月23日,九層,
RPSNMLQLJIOFFAW47CA,17,202.36,見其他登記事項,鋼筋混凝土造,91年10月28日,三層,一層 二層 三層 屋頂突出物
RPRNMLTKJIOFFAW67DA,3,99.31,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,一層
RPRNMLTKJIOFFAW67DA,3,16.24,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,
RPPNMLKMJIOFFAW66CA,1,124.53,見其他登記事項,鋼筋混凝土造,107年9月28日,三層,二層
RPPNMLKMJIOFFAW66CA,1,35.38,見其他登記事項,鋼筋混凝土造,107年9月28日,三層,
RPQNMLOLJIOFFAW07CA,25,195.86,住家用,鋼筋混凝土加強磚造,83年10月11日,三層,一層 二層 三層
RPTNMLMLJIOFFAW17CA,1,81.70,見其他登記事項,鋼筋混凝土造,107年12月10日,五層,四層
RPTNMLMLJIOFFAW17CA,1,17.27,見其他登記事項,鋼筋混凝土造,107年12月10日,五層,
RPVNMLMLJIOFFAW37CA,,136.43,住家用,鋼筋混凝土造,108年10月3日,三層,一層 二層 三層
RPRNMLQLJIOFFAW37CA,5,180.73,農舍,鋼筋混凝土造,103年10月2日,二層,一層 二層 屋頂突出物
RPSNMLSLJIOFFAW67CA,,157.96,見其他登記事項,鋼筋混凝土造,108年6月17日,三層,一層 二層 三層
RPPNMLPLJIOFFAW07CA,5,65.23,見其他登記事項,鋼筋混凝土造,103年12月22日,三層,三層
RPPNMLPLJIOFFAW07CA,5,17.44,見其他登記事項,鋼筋混凝土造,103年12月22日,三層,
RPQNMLKMJIOFFAW76CA,1,129.62,見其他登記事項,鋼筋混凝土造,107年9月28日,三層,二層
RPQNMLKMJIOFFAW76CA,1,36.81,見其他登記事項,鋼筋混凝土造,107年9月28日,三層,
RPROMLQLJIOFFAW47CA,,97.76,見其他登記事項,鋼筋混凝土造,108年5月23日,四層,四層
RPROMLQLJIOFFAW47CA,,19.35,見其他登記事項,鋼筋混凝土造,108年5月23日,四層,
RPWNMLSLJIOFFAW08CA,,157.96,見其他登記事項,鋼筋混凝土造,108年6月17日,三層,一層 二層 三層
RPOOMLSLJIOFFAW37CA,,162.86,見其他登記事項,鋼筋混凝土造,108年6月17日,三層,一層 二層 三層
RPRNMLTLJIOFFAW67CA,1,106.88,見其他登記事項,鋼筋混凝土造,107年12月11日,七層,四層
RPRNMLTLJIOFFAW67CA,1,53.66,見其他登記事項,鋼筋混凝土造,107年12月11日,七層,
RPRNMLRLJIOFFAW47CA,2,91.33,見其他登記事項,鋼筋混凝土造,106年11月16日,三層,三層
RPRNMLRLJIOFFAW47CA,2,8.34,見其他登記事項,鋼筋混凝土造,106年11月16日,三層,
RPPOMLSLJIOFFAW47CA,1,81.12,見其他登記事項,鋼筋混凝土造,108年4月24日,五層,五層
RPPOMLSLJIOFFAW47CA,1,12.51,見其他登記事項,鋼筋混凝土造,108年4月24日,五層,
RPQOMLSLJIOFFAW57CA,1,81.12,見其他登記事項,鋼筋混凝土造,108年4月24日,五層,二層
RPQOMLSLJIOFFAW57CA,1,12.51,見其他登記事項,鋼筋混凝土造,108年4月24日,五層,
RPUNMLSLJIOFFAW87CA,,157.96,見其他登記事項,鋼筋混凝土造,108年6月17日,三層,一層 二層 三層
RPPOMLTLJIOFFAW57CA,2,52.73,見其他登記事項,鋼筋混凝土造,107年1月18日,四層,四層
RPPOMLTLJIOFFAW57CA,2,7.78,見其他登記事項,鋼筋混凝土造,107年1月18日,四層,
RPQNMLMJKIOFFAW76CA,52,24.78,住家用,加強磚造,56年8月28日,一層,一層
RPVNMLTJKIOFFAW08DA,,68.85,見其他登記事項,鋼筋混凝土造,108年5月20日,三層,二層
