編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLMLJIOFFAX86CA,竹灣段,964.12,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMLJIOFFAX96CA,西澳段,110.01,都市：住
RPPNMLOKJIOFFAX96CA,池東段,441.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLJIOFFAX76CA,西澳段,121.90,都市：住
RPQNMLLMKIOFFAX07CA,馬公段,67.00,都市：商
RPQNMLLMKIOFFAX07CA,馬公段,67.00,都市：商
RPQNMLLMKIOFFAX07CA,馬公段,67.00,都市：商
RPRNMLLKJIOFFAX86CA,埕東段,.12,都市：住
RPRNMLLKJIOFFAX86CA,埕東段,2.34,都市：住
RPRNMLLKJIOFFAX86CA,埕東段,18.39,都市：住
RPRNMLLKJIOFFAX86CA,埕東段,7.66,都市：住
RPVNMLMKJIOFFAX37CA,文東段,275.14,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLPKJIOFFAX27DA,裡新段,14.73,非都市：森林區 ; 非都市編定：丙種建築用地
RPQPMLTKJIOFFAX77CA,文光段,28.65,都市：住
RPRNMLSKJIOFFAX57CA,文化段,.83,都市：其他
RPQNMLOKJIOFFAX07CA,馬公段,23.25,都市：住
RPQNMLTLJIOFFAX67CA,成功南段,8.77,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLTLJIOFFAX67CA,成功南段,178.09,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLPKJIOFFAX27CA,五德東段,503.17,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLNKJIOFFAX86CA,大池段,223.34,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLSKJIOFFAX37CA,文東段,512.96,非都市：一般農業區 ; 非都市編定：農牧用地
RPVOMLMLJIOFFAX57CA,文光段,3.26,都市：住
RPVOMLMLJIOFFAX57CA,文光段,25.19,都市：住
RPUNMLPKJIOFFAX57CA,竹篙灣段,4091.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLPLJIOFFAX17CA,文光段,25.52,都市：住
RPPNMLPLJIOFFAX17CA,文光段,3.30,都市：住
RPTNMLOKJIOFFAX47DA,東澳段,2.21,都市：住
RPTNMLOKJIOFFAX47DA,東澳段,.16,都市：住
RPSNMLQLJIOFFAX57CA,埕東段,.80,都市：其他
RPSNMLQLJIOFFAX57CA,埕東段,17.75,都市：其他
RPSNMLSKJIOFFAX67CA,文東段,198.43,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLSKJIOFFAX67CA,文東段,329.88,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPSNMLSKJIOFFAX67CA,文東段,31.69,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLSKJIOFFAX67CA,文東段,146.36,非都市：一般農業區 ; 非都市編定：交通用地
RPSNMLSKJIOFFAX67CA,文東段,32.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPSPMLTKJIOFFAX97CA,四維段,62.05,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOLJIOFFAX37CA,安宅段,597.21,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLOLJIOFFAX37CA,安宅段,118.04,非都市：一般農業區 ; 非都市編定：交通用地
