鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南竿鄉,土地,介壽段811~840地號,36.92,商,,,1081022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,560000,15168,,0.0,0,,RPPNMLQJKIOFFAZ47DA
南竿鄉,土地,清水段391~420地號,15.17,住,,,1081122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,91027,6000,,0.0,0,,RPPNMLPLJIOFFAZ47DA
北竿鄉,土地,午沙段61~90地號,553.33,住,,,1081004,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2975434,5377,,0.0,0,,RPQNMLRKKIOFFAZ77DA
南竿鄉,土地,介壽段1261~1290地號,246.49,其他,,,1081111,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,4057,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLQLKIOFFAZ57CA
南竿鄉,土地,介壽段1291~1320地號,518.3,其他,,,1081111,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,965,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLQLKIOFFAZ67CA
東引鄉,土地,東引西段1201~1230地號,640.14,其他,,,1081021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250056,391,,0.0,0,,RPPNMLPJKIOFFAZ37DA
南竿鄉,土地,珠螺段271~300地號,33.08,住,,,1081115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,145552,4400,,0.0,0,,RPPNMLLKKIOFFAZ07DA
東引鄉,土地,東引西段31~60地號,215.9,其他,,,1081015,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33098,153,,0.0,0,向政府機關承購之案件。;,RPPNMLNJJHPFFAZ07DA
北竿鄉,土地,橋仔段241~270地號,121.48,住,,,1081110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,2305,,0.0,0,,RPPNMLTKKIOFFAZ77CA
北竿鄉,土地,塘岐段661~690地號,252.44,商,,,1081224,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,5942,,0.0,0,,RPPNMLRLKIOFFAZ77DA
北竿鄉,土地,白沙段121~150地號,252.89,住,,,1090107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1188583,4700,,0.0,0,,RPPNMLTJJHPFFAZ67DA
北竿鄉,土地,白沙段151~180地號,53.13,住,,,1090107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,249711,4700,,0.0,0,,RPQNMLTJJHPFFAZ77DA
南竿鄉,土地,介壽段841~870地號,13.0,其他,,,1060906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,55499,4269,,0.0,0,,RPPNMLMKKHPFFAZ17DA
北竿鄉,土地,塘岐段511~540地號,62.19,住,,,1081218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,83615,,0.0,0,含增建或未登記建物。;,RPPNMLLLJHPFFAZ96CA
南竿鄉,土地,珠螺段301~330地號,119.39,其他,,,1090110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,183500,1537,,0.0,0,,RPPNMLPJKHPFFAZ37DA
北竿鄉,土地,塘岐段601~630地號,43.77,住,,,1081216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,311111,7108,,0.0,0,,RPPNMLRJKHPFFAZ57DA
南竿鄉,土地,福沃段361~390地號,124.02,住,,,1081114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,381110,3073,,0.0,0,,RPPNMLLKKHPFFAZ07DA
