編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLMKKHPFFAA17CA,木柵段一小段,28.40,都市：住
RPOOMLMKKHPFFAA17CA,木柵段一小段,1.00,都市：其他
RPPNMLNKKHPFFAA27CA,興泰段二小段,1.51,都市：住
RPUNMLMKKHPFFAA67CA,公訓段三小段,21.13,都市：住
RPUNMLMKKHPFFAA67CA,公訓段三小段,.27,都市：住
RPUNMLMKKHPFFAA67CA,公訓段三小段,.56,都市：住
RPUNMLMKKHPFFAA67CA,公訓段三小段,.95,都市：住
RPUNMLMKKHPFFAA67CA,公訓段三小段,.25,都市：住
RPUNMLMKKHPFFAA67CA,公訓段三小段,14.58,都市：住
RPUNMLMKKHPFFAA67CA,公訓段三小段,.04,都市：住
RPWOMLNKKHPFFAA08CA,政大段一小段,73.62,都市：住
RPVNMLMKKHPFFAA77CA,福和段一小段,27.92,都市：商
RPXOMLNKKHPFFAA18CA,萬芳段三小段,6.38,都市：住
RPXOMLNKKHPFFAA18CA,萬芳段三小段,33.92,都市：住
RPVOMLQLKHPFFAA38CA,興隆段二小段,17.71,都市：住
RPOOMLTKKHPFFAA87CA,河堤段四小段,15.61,都市：商
RPOOMLTKKHPFFAA87CA,河堤段四小段,2.34,都市：住
RPUOMLQLKHPFFAA28CA,興隆段二小段,17.71,都市：住
RPWOMLQLKHPFFAA48CA,興隆段二小段,23.42,都市：住
RPWNMLMJLHPFFAA87CA,公訓段二小段,.44,都市：商
RPWNMLMJLHPFFAA87CA,公訓段二小段,.01,都市：商
RPXOMLQLKHPFFAA58CA,興隆段二小段,17.31,都市：住
RPRPMLQLKHPFFAA08CA,興隆段二小段,17.31,都市：住
RPTPMLQLKHPFFAA28CA,興隆段二小段,17.31,都市：住
RPOQMLQLKHPFFAA87CA,興隆段二小段,17.31,都市：住
RPWPMLQLKHPFFAA58CA,興隆段二小段,17.31,都市：住
RPSNMLQJLHPFFAA87CA,實踐段二小段,24.25,都市：住
RPVPMLLKKHPFFBA97CA,華中段一小段,2.69,都市：住
RPVPMLLKKHPFFBA97CA,華中段一小段,20.50,都市：住
RPWPMLLKKHPFFBA08CA,玉泉段一小段,19.00,都市：商
RPWPMLLKKHPFFBA08CA,玉泉段一小段,108.00,都市：商
RPQPMLLKKHPFFBA47CA,漢中段二小段,7.10,都市：商
RPSQMLLKKHPFFBA77CA,大同段二小段,28.25,都市：住
RPSQMLLKKHPFFBA77CA,大同段二小段,.50,都市：其他
RPXNMLMKKHPFFBA08CA,市府段一小段,20.25,都市：商
