編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLNLLHPFFCA08CB,東湖段一小段,24.44,都市：住
RPVOMLLLKHPFFEA38CB,三合段,18.59,都市：住
RPSOMLLKKHPFFAA67DB,福和段一小段,16.22,都市：住
RPTOMLLKKHPFFAA77DB,福和段一小段,18.51,都市：住
RPPOMLNLLHPFFCA87CB,東湖段一小段,27.25,都市：住
RPROMLNLLHPFFCA08CB,東湖段一小段,27.50,都市：住
RPWNMLNLLHPFFCA48CB,東湖段一小段,27.25,都市：住
RPVNMLNLLHPFFCA38CB,東湖段一小段,27.25,都市：住
RPOOMLNLLHPFFCA77CB,東湖段一小段,27.25,都市：住
RPUOMLNLLHPFFCA38CB,東湖段一小段,27.25,都市：住
RPOPMLNLLHPFFCA87CB,東湖段一小段,27.25,都市：住
RPPPMLNLLHPFFCA97CB,東湖段一小段,27.25,都市：住
RPSPMLNLLHPFFCA28CB,東湖段一小段,27.25,都市：住
RPTQMLNLLHPFFCA48CB,東湖段一小段,27.25,都市：住
RPVQMLNLLHPFFCA68CB,東湖段一小段,27.25,都市：住
RPORMLNLLHPFFCA08CB,東湖段一小段,27.76,都市：住
RPQRMLNLLHPFFCA28CB,東湖段一小段,.00,都市：住
RPTPMLNLLHPFFCA38CB,東湖段一小段,27.25,都市：住
RPPRMLNLLHPFFCA18CB,東湖段一小段,.00,都市：住
RPRRMLNLLHPFFCA38CB,東湖段一小段,.00,都市：住
RPURMLNLLHPFFCA68CB,東湖段一小段,.00,都市：住
RPSSMLNLLHPFFCA58CB,東湖段一小段,.00,都市：住
RPTSMLNLLHPFFCA68CB,東湖段一小段,.00,都市：住
RPPSMLNLLHPFFCA28CB,東湖段一小段,.00,都市：住
RPWRMLNLLHPFFCA88CB,東湖段一小段,.00,都市：住
RPOTMLNLLHPFFCA28CB,東湖段一小段,25.29,都市：住
RPVTMLNLLHPFFCA98CB,東湖段一小段,25.54,都市：住
RPTTMLNLLHPFFCA78CB,東湖段一小段,25.29,都市：住
RPVSMLNLLHPFFCA88CB,東湖段一小段,.00,都市：住
RPPUMLNLLHPFFCA48CB,東湖段一小段,25.29,都市：住
RPXTMLNLLHPFFCA56CB,東湖段一小段,25.29,都市：住
RPPVMLNLLHPFFCA58CB,東湖段一小段,25.54,都市：住
RPVUMLNLLHPFFCA09CB,東湖段一小段,25.29,都市：住
RPQWMLNLLHPFFCA78CB,東湖段一小段,25.29,都市：住
RPSVMLNLLHPFFCA88CB,東湖段一小段,25.54,都市：住
RPSWMLNLLHPFFCA98CB,東湖段一小段,25.29,都市：住
RPWVMLNLLHPFFCA66CB,東湖段一小段,25.54,都市：住
RPTWMLNLLHPFFCA09CB,東湖段一小段,25.54,都市：住
RPTNMLOLLHPFFCA28CB,東湖段一小段,24.86,都市：住
RPXNMLOLLHPFFCA68CB,東湖段一小段,25.29,都市：住
RPPOMLOLLHPFFCA97CB,東湖段一小段,25.54,都市：住
RPQOMLOLLHPFFCA08CB,東湖段一小段,25.54,都市：住
RPTOMLOLLHPFFCA38CB,東湖段一小段,25.54,都市：住
RPWOMLOLLHPFFCA68CB,東湖段一小段,25.54,都市：住
RPXOMLOLLHPFFCA78CB,東湖段一小段,25.54,都市：住
RPROMLOLLHPFFCA18CB,東湖段一小段,25.54,都市：住
RPQPMLOLLHPFFCA18CB,東湖段一小段,23.42,都市：住
RPRPMLOLLHPFFCA28CB,東湖段一小段,23.42,都市：住
RPWPMLOLLHPFFCA78CB,東湖段一小段,22.99,都市：住
RPUPMLOLLHPFFCA58CB,東湖段一小段,23.67,都市：住
RPSQMLOLLHPFFCA48CB,東湖段一小段,23.42,都市：住
RPTQMLOLLHPFFCA58CB,東湖段一小段,23.42,都市：住
RPQQMLOLLHPFFCA28CB,東湖段一小段,23.42,都市：住
RPXQMLOLLHPFFCA98CB,東湖段一小段,23.42,都市：住
RPUQMLOLLHPFFCA68CB,東湖段一小段,23.42,都市：住
RPRRMLOLLHPFFCA48CB,東湖段一小段,23.33,都市：住
RPPRMLOLLHPFFCA28CB,東湖段一小段,23.42,都市：住
RPXRMLOLLHPFFCA09CB,東湖段一小段,23.67,都市：住
RPTRMLOLLHPFFCA68CB,東湖段一小段,23.67,都市：住
RPQSMLOLLHPFFCA48CB,東湖段一小段,23.67,都市：住
RPRSMLOLLHPFFCA58CB,東湖段一小段,23.67,都市：住
RPSSMLOLLHPFFCA68CB,東湖段一小段,23.67,都市：住
RPUSMLOLLHPFFCA88CB,東湖段一小段,23.67,都市：住
RPOTMLOLLHPFFCA38CB,東湖段一小段,23.67,都市：住
RPQTMLOLLHPFFCA58CB,東湖段一小段,18.39,都市：住
RPXSMLOLLHPFFCA56CB,東湖段一小段,23.67,都市：住
RPPTMLOLLHPFFCA48CB,東湖段一小段,18.39,都市：住
RPSTMLOLLHPFFCA78CB,東湖段一小段,18.39,都市：住
RPPUMLOLLHPFFCA58CB,東湖段一小段,18.73,都市：住
RPTTMLOLLHPFFCA88CB,東湖段一小段,20.10,都市：住
RPOUMLOLLHPFFCA48CB,東湖段一小段,18.73,都市：住
RPRNMLPLLHPFFCA18CB,東湖段一小段,.00,都市：住
RPRUMLOLLHPFFCA78CB,東湖段一小段,18.73,都市：住
RPWNMLPLLHPFFCA68CB,東湖段一小段,.00,都市：住
RPWTMLOLLHPFFCA56CB,東湖段一小段,18.65,都市：住
RPSPMLKLMHPFFCA08CB,東湖段一小段,25.12,都市：住
RPSNMLPLLHPFFCA28CB,東湖段一小段,25.54,都市：住
RPXNMLMLMHPFFCA58CB,東湖段一小段,25.54,都市：住
RPUOMLQJNHPFFFA98CB,懷生段三小段,31.43,都市：住
RPXOMLQJNHPFFFA66CB,懷生段三小段,31.43,都市：住
RPOPMLQJNHPFFFA48CB,懷生段三小段,31.43,都市：住
RPVOMLQJNHPFFFA09CB,懷生段三小段,31.43,都市：住
RPPPMLQJNHPFFFA58CB,懷生段三小段,31.43,都市：住
RPSPMLQJNHPFFFA88CB,懷生段三小段,31.43,都市：住
RPQPMLQJNHPFFFA68CB,懷生段三小段,31.43,都市：住
RPRPMLQJNHPFFFA78CB,懷生段三小段,31.43,都市：住
