編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLMKKHPFFAB47CA,土庫段,26.40,都市：住
RPXNMLNKKHPFFAB18CA,城隍段九小段,15.20,都市：住
RPXNMLNKKHPFFAB18CA,信義段九小段,9.45,都市：住
RPTNMLNKKHPFFAB77CA,下橋子頭段,.21,都市：住
RPTNMLNKKHPFFAB77CA,下橋子頭段,.01,都市：住
RPTNMLNKKHPFFAB77CA,下橋子頭段,24.53,都市：住
RPROMLLKKHPFFAB47CA,平和段,2.60,都市：商
RPQNMLQKKHPFFAB77CA,仁愛段七小段,3.09,都市：住
RPQNMLQKKHPFFAB77CA,仁愛段七小段,.62,都市：住
RPWOMLLKKHPFFAB97CA,後子段,25.02,都市：住
RPQNMLPKKHPFFAB67CA,土庫段,35.70,都市：住
RPQPMLRKKHPFFAB08CA,萬安段八小段,2.19,都市：住
RPQPMLRKKHPFFAB08CA,正義段八小段,3.90,都市：住
RPSPMLPKKHPFFAB08CA,平和段,2.60,都市：商
RPSPMLRKKHPFFAB28CA,麻園頭段,13.09,都市：住
RPSPMLTKKHPFFAB48CA,城隍段六小段,89.00,都市：其他
RPSPMLTKKHPFFAB48CA,城隍段六小段,338.00,都市：其他
RPSPMLTKKHPFFAB48CA,城隍段五小段,524.00,都市：其他
RPSPMLTKKHPFFAB48CA,城隍段五小段,715.00,都市：其他
RPSPMLTKKHPFFAB48CA,城隍段五小段,415.00,都市：其他
RPSPMLTKKHPFFAB48CA,城隍段六小段,47.00,都市：其他
RPVOMLOLKHPFFAB28CA,下橋子頭段,154.00,都市：住
RPVOMLOLKHPFFAB28CA,下橋子頭段,1.00,都市：住
RPTOMLTKKHPFFAB48CA,後子段,8.66,都市：住
RPPPMLTKKHPFFAB18CA,土庫段,15.54,都市：住
RPROMLLLKHPFFAB57CA,正義段九小段,13.48,都市：其他
RPXNMLNLKHPFFAB28CA,頂橋子頭段,5.36,都市：住
RPWQMLTJLHPFFAB98CA,大益段,21.05,都市：住
RPXNMLMJLHPFFAB08CA,仁愛段五小段,3.74,都市：商
RPROMLLKKHPFFBB57CA,松觀段,20.38,都市：住
RPTOMLMKKHPFFBB87CA,東山段,35.39,都市：住
RPOOMLMKKHPFFBB37CA,建業段,26.91,都市：住
RPUOMLMKKHPFFBB97CA,賴厝段,31.65,都市：商
RPTQMLMKKHPFFBB08CA,錦村段,30.20,都市：住
RPTQMLMKKHPFFBB08CA,錦村段,.09,都市：其他
RPTQMLMKKHPFFBB08CA,錦村段,3.84,都市：其他
RPWRMLMKKHPFFBB48CA,錦村段,53.00,都市：住
RPWRMLMKKHPFFBB48CA,錦村段,18.00,都市：住
RPXOMLNKKHPFFBB38CA,軍和段,68.76,都市：住
RPXOMLNKKHPFFBB38CA,軍和段,32.77,都市：住
RPRQMLNKKHPFFBB97CA,東光段,38.22,都市：住
RPXOMLNKKHPFFBB38CA,軍和段,6.36,都市：住
RPWQMLNKKHPFFBB48CA,邱厝子段,20.50,都市：住
RPWQMLNKKHPFFBB48CA,邱厝子段,52.00,都市：住
RPOPMLOKKHPFFBB67CA,軍和段,18.00,都市：商
RPWOMLOKKHPFFBB38CA,東信段,12.14,都市：商
RPSOMLPKKHPFFBB08CA,平田段,69.00,都市：住
RPRPMLOKKHPFFBB97CA,文北段,23.78,都市：住
RPVPMLOKKHPFFBB38CA,文北段,20.48,都市：住
RPTPMLOKKHPFFBB18CA,文北段,19.55,都市：住
RPUPMLOKKHPFFBB28CA,文北段,19.73,都市：住
RPWPMLOKKHPFFBB48CA,文北段,20.38,都市：住
RPXPMLOKKHPFFBB58CA,文北段,29.89,都市：住
RPWOMLPKKHPFFBB48CA,陳平段,24.90,都市：住
RPOOMLRKKHPFFBB87CA,平田段,8.02,都市：住
RPVPMLRKKHPFFBB68CA,水湳段,19.73,都市：住
RPSOMLSKKHPFFBB38CA,賴厝段,4.59,都市：商
RPROMLLLKHPFFBB67CA,北屯段,16.25,都市：住
RPROMLLLKHPFFBB67CA,北屯段,.40,都市：住
RPROMLLLKHPFFBB67CA,東光段,11.85,都市：住
RPUOMLLLKHPFFBB97CA,太和段,20.72,都市：住
RPQNMLNLKHPFFBB67CA,東新段,8.78,都市：住
RPRTMLOLKHPFFBB48CA,東峰段,16.73,都市：商
RPOQMLMJLHPFFBB57CA,賴厝段,31.90,都市：住
RPOQMLMJLHPFFBB57CA,賴厝段,2.58,都市：住
RPSTMLOLKHPFFBB58CA,同榮段,31.51,都市：住
RPVNMLOJLHPFFBB18CA,大富段,61.35,都市：住
RPVNMLOJLHPFFBB18CA,大富段,2.59,都市：住
RPVNMLOJLHPFFBB18CA,大富段,40.08,都市：住
RPVNMLOJLHPFFBB18CA,大富段,802.29,都市：住
RPVNMLOJLHPFFBB18CA,大富段,352.94,都市：住
RPVNMLOJLHPFFBB18CA,大富段,432.61,都市：住
RPRNMLOJLHPFFBB77CA,北屯段,15.97,都市：住
RPRNMLOJLHPFFBB77CA,平田段,2.15,都市：住
RPOOMLOJLHPFFBB57CA,大富段,53.00,都市：住
RPOOMLOJLHPFFBB57CA,大富段,6.64,都市：住
RPOOMLOJLHPFFBB57CA,大富段,34.63,都市：住
RPOOMLOJLHPFFBB57CA,大富段,304.91,都市：住
RPOOMLOJLHPFFBB57CA,大富段,373.74,都市：住
RPOOMLOJLHPFFBB57CA,大富段,693.14,都市：住
RPWNMLOJLHPFFBB28CA,大富段,63.91,都市：住
RPWNMLOJLHPFFBB28CA,大富段,7.59,都市：住
RPWNMLOJLHPFFBB28CA,大富段,41.75,都市：住
RPWNMLOJLHPFFBB28CA,大富段,367.68,都市：住
RPWNMLOJLHPFFBB28CA,大富段,450.69,都市：住
RPWNMLOJLHPFFBB28CA,大富段,835.83,都市：住
RPSQMLTJLHPFFBB68CA,建安段,60.00,都市：農
RPTQMLTJLHPFFBB78CA,建安段,48.70,都市：農
RPQOMLOJLHPFFBB77CA,大富段,57.99,都市：住
RPQOMLOJLHPFFBB77CA,大富段,5.40,都市：住
RPQOMLOJLHPFFBB77CA,大富段,37.88,都市：住
RPQOMLOJLHPFFBB77CA,大富段,333.62,都市：住
RPQOMLOJLHPFFBB77CA,大富段,408.93,都市：住
RPQOMLOJLHPFFBB77CA,大富段,758.34,都市：住
RPUQMLTJLHPFFBB88CA,建安段,7.00,都市：農
RPSOMLOJLHPFFBB97CA,大富段,58.04,都市：住
RPSOMLOJLHPFFBB97CA,大富段,4.27,都市：住
RPSOMLOJLHPFFBB97CA,大富段,37.91,都市：住
RPSOMLOJLHPFFBB97CA,大富段,333.87,都市：住
RPSOMLOJLHPFFBB97CA,大富段,409.25,都市：住
RPSOMLOJLHPFFBB97CA,大富段,758.98,都市：住
RPVQMLTJLHPFFBB98CA,建安段,67.00,都市：農
RPVQMLTJLHPFFBB98CA,建安段,35.00,都市：農
RPUOMLOJLHPFFBB18CA,大富段,.14,都市：住
RPUOMLOJLHPFFBB18CA,大富段,339.59,都市：住
RPUOMLOJLHPFFBB18CA,大富段,416.25,都市：住
RPUOMLOJLHPFFBB18CA,大富段,3.24,都市：住
RPUOMLOJLHPFFBB18CA,大富段,42.61,都市：住
RPUOMLOJLHPFFBB18CA,大富段,59.03,都市：住
RPUOMLOJLHPFFBB18CA,大富段,4.35,都市：住
RPUOMLOJLHPFFBB18CA,大富段,38.56,都市：住
RPUOMLOJLHPFFBB18CA,大富段,771.97,都市：住
RPUOMLOJLHPFFBB18CA,大富段,134.59,都市：住
RPUOMLOJLHPFFBB18CA,大富段,39.11,都市：住
RPUOMLOJLHPFFBB18CA,大富段,1.54,都市：住
RPSPMLLKKHPFFCB87CA,國安段,16.87,都市：住
RPUPMLLKKHPFFCB08CA,田心段,8.49,都市：住
RPPOMLMKKHPFFCB57CA,中義段,16.98,都市：住
RPSOMLMKKHPFFCB87CA,福星段,19.67,都市：住
RPPQMLMKKHPFFCB77CA,豐富段,23.26,都市：住
RPPQMLMKKHPFFCB77CA,豐富段,64.99,都市：住
RPWOMLNKKHPFFCB38CA,何安段,9.51,都市：住
RPUPMLMKKHPFFCB18CA,三塊厝段,18.11,都市：住
RPXOMLNKKHPFFCB48CA,黎明段,62.00,都市：住
RPSNMLOKKHPFFCB97CA,民安段,14.73,都市：住
RPSPMLOKKHPFFCB18CA,西屯段,5.83,都市：商
RPQQMLPKKHPFFCB18CA,信安段,31.82,都市：住
RPOPMLPKKHPFFCB87CA,惠順段,16.10,都市：商
RPQOMLRKKHPFFCB18CA,信安段,23.62,都市：住
RPUPMLRKKHPFFCB68CA,上石碑段,3.81,都市：住
RPUPMLRKKHPFFCB68CA,上石碑段,.78,都市：商
RPSRMLPKKHPFFCB48CA,何安段,3.74,都市：住
RPVPMLRKKHPFFCB78CA,民安段,18.77,都市：住
RPSQMLRKKHPFFCB58CA,福安段,34.65,都市：住
RPSPMLRKKHPFFCB48CA,建功段,10.35,都市：住
RPWOMLSKKHPFFCB88CA,豐富段,27.32,都市：住
RPROMLTKKHPFFCB48CA,福德段,7.57,都市：商
RPTOMLTKKHPFFCB68CA,惠順段,24.35,都市：商
RPPPMLNLKHPFFCB87CA,國安段,26.37,都市：住
RPVNMLNLKHPFFCB28CA,上石碑段,13.96,都市：商
RPQPMLOLKHPFFCB08CA,惠民段,22.51,都市：其他
RPTNMLPLKHPFFCB28CA,建功段,10.62,都市：住
RPSNMLPLKHPFFCB18CA,建功段,10.37,都市：住
RPUNMLPLKHPFFCB38CA,建功段,10.62,都市：住
RPVNMLPLKHPFFCB48CA,建功段,10.62,都市：住
RPXNMLPLKHPFFCB68CA,建功段,10.68,都市：住
RPWNMLPLKHPFFCB58CA,建功段,10.62,都市：住
RPPOMLPLKHPFFCB97CA,建功段,10.51,都市：住
RPOOMLPLKHPFFCB87CA,建功段,10.68,都市：住
RPROMLPLKHPFFCB18CA,建功段,10.51,都市：住
RPUOMLPLKHPFFCB48CA,建功段,10.85,都市：住
RPQOMLPLKHPFFCB08CA,建功段,10.51,都市：住
RPVOMLPLKHPFFCB58CA,建功段,14.40,都市：住
RPXOMLPLKHPFFCB78CA,建功段,14.40,都市：住
RPWOMLPLKHPFFCB68CA,建功段,14.40,都市：住
RPOPMLPLKHPFFCB97CA,建功段,14.40,都市：住
RPQPMLPLKHPFFCB18CA,建功段,14.40,都市：住
RPPPMLPLKHPFFCB08CA,建功段,14.40,都市：住
RPRPMLPLKHPFFCB28CA,建功段,14.40,都市：住
RPSPMLPLKHPFFCB38CA,建功段,10.43,都市：住
RPTPMLPLKHPFFCB48CA,建功段,10.41,都市：住
RPUPMLPLKHPFFCB58CA,建功段,10.62,都市：住
RPVPMLPLKHPFFCB68CA,建功段,10.49,都市：住
