編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXNMLNKKHPFFAB18CA,坡道平面,0,13.52
RPXNMLNKKHPFFAB18CA,坡道平面,0,13.52
RPWOMLLKKHPFFAB97CA,升降機械,0,
RPSPMLRKKHPFFAB28CA,坡道機械,800000,14.05
RPPPMLTKKHPFFAB18CA,坡道機械,0,
RPXNMLNLKHPFFAB28CA,坡道機械,0,
RPTOMLMKKHPFFBB87CA,坡道機械,0,
RPRQMLNKKHPFFBB97CA,坡道平面,0,
RPOPMLOKKHPFFBB67CA,坡道平面,0,20.86
RPWOMLOKKHPFFBB38CA,坡道平面,0,36.33
RPRPMLOKKHPFFBB97CA,坡道平面,1100000,39.68
RPVPMLOKKHPFFBB38CA,坡道平面,1250000,39.68
RPTPMLOKKHPFFBB18CA,坡道平面,1150000,39.68
RPUPMLOKKHPFFBB28CA,坡道平面,1150000,39.68
RPWPMLOKKHPFFBB48CA,坡道平面,1250000,39.68
RPXPMLOKKHPFFBB58CA,坡道平面,0,39.68
RPXPMLOKKHPFFBB58CA,坡道平面,0,39.68
RPWOMLPKKHPFFBB48CA,升降機械,0,
RPVPMLRKKHPFFBB68CA,坡道平面,0,24.21
RPUOMLLLKHPFFBB97CA,坡道平面,0,33.58
RPRTMLOLKHPFFBB48CA,坡道平面,0,31.91
RPRTMLOLKHPFFBB48CA,坡道平面,0,31.91
RPOQMLMJLHPFFBB57CA,坡道平面,0,49.35
RPOQMLMJLHPFFBB57CA,坡道平面,0,49.35
RPSTMLOLKHPFFBB58CA,坡道平面,0,23.88
RPRNMLOJLHPFFBB77CA,坡道平面,0,
RPSPMLLKKHPFFCB87CA,坡道平面,0,19.56
RPSQMLNKKHPFFCB18CA,坡道平面,1500000,33.45
RPUPMLLKKHPFFCB08CA,坡道機械,0,
RPPOMLMKKHPFFCB57CA,坡道機械,0,11.56
RPSOMLMKKHPFFCB87CA,坡道平面,0,33.07
RPUPMLMKKHPFFCB18CA,坡道平面,0,33.02
RPSNMLOKKHPFFCB97CA,坡道機械,0,
RPQQMLPKKHPFFCB18CA,坡道平面,0,23.77
RPQQMLPKKHPFFCB18CA,坡道平面,0,25.77
RPOPMLPKKHPFFCB87CA,坡道平面,1200000,26.09
RPVPMLRKKHPFFCB78CA,坡道機械,700000,
RPWOMLSKKHPFFCB88CA,坡道平面,0,28.10
RPWOMLSKKHPFFCB88CA,坡道平面,0,31.49
RPROMLTKKHPFFCB48CA,坡道機械,990000,19.38
RPTOMLTKKHPFFCB68CA,坡道平面,0,20.27
RPTOMLTKKHPFFCB68CA,坡道平面,0,20.27
RPVNMLNLKHPFFCB28CA,坡道機械,0,9.92
RPQPMLOLKHPFFCB08CA,坡道平面,0,16.79
RPQPMLOLKHPFFCB08CA,坡道平面,0,16.79
RPTNMLPLKHPFFCB28CA,坡道平面,1500000,38.54
RPSNMLPLKHPFFCB18CA,坡道平面,1500000,38.54
RPUNMLPLKHPFFCB38CA,坡道平面,1400000,38.54
RPVNMLPLKHPFFCB48CA,坡道平面,1500000,38.54
RPXNMLPLKHPFFCB68CA,坡道平面,1300000,38.54
RPWNMLPLKHPFFCB58CA,坡道平面,1300000,38.54
RPPOMLPLKHPFFCB97CA,坡道平面,1500000,38.54
RPOOMLPLKHPFFCB87CA,坡道平面,1300000,38.54
RPROMLPLKHPFFCB18CA,坡道平面,1500000,38.54
RPUOMLPLKHPFFCB48CA,坡道平面,1300000,38.54
RPQOMLPLKHPFFCB08CA,坡道平面,1300000,38.54
RPVOMLPLKHPFFCB58CA,坡道平面,1400000,38.54
RPXOMLPLKHPFFCB78CA,坡道平面,1200000,38.54
RPWOMLPLKHPFFCB68CA,坡道平面,1400000,38.54
RPOPMLPLKHPFFCB97CA,坡道平面,1400000,38.54
RPQPMLPLKHPFFCB18CA,坡道平面,1250000,39.63
RPPPMLPLKHPFFCB08CA,坡道平面,1250000,39.63
RPRPMLPLKHPFFCB28CA,坡道平面,1200000,38.54
RPSPMLPLKHPFFCB38CA,坡道平面,1300000,38.54
RPUPMLPLKHPFFCB58CA,坡道平面,1200000,38.54
