編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQPMLQLKHPFFIB09DB,福大段,18.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLSKKHPFFKB96DB,龍目井段水師寮小段,6.80,都市：住
RPUNMLSKKHPFFKB96DB,龍目井段水師寮小段,21.90,都市：住
RPUNMLSKKHPFFKB96DB,龍目井段水師寮小段,.31,都市：其他
RPOPMLQLKHPFFIB88DB,福大段,17.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLQLKHPFFIB66DB,福大段,17.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLQLKHPFFIB96DB,福大段,18.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLQLKHPFFIB07DB,福大段,17.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLSKKHPFFKB86DB,龍目井段水師寮小段,6.80,都市：住
RPTNMLSKKHPFFKB86DB,龍目井段水師寮小段,21.90,都市：住
RPTNMLSKKHPFFKB86DB,龍目井段水師寮小段,.31,都市：其他
RPPPMLQLKHPFFIB98DB,福大段,18.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLQLKHPFFIB76DB,福大段,17.15,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLQLKHPFFIB86DB,福大段,22.97,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLQLKHPFFIB98DB,福大段,18.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLQLKHPFFIB56DB,福大段,24.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLQLKHPFFIB17DB,福大段,17.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLQLKHPFFIB76DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLQLKHPFFIB66DB,福大段,20.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPQMLQLKHPFFIB09DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTQMLQLKHPFFIB86DB,福大段,24.81,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUQMLQLKHPFFIB96DB,福大段,18.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVQMLQLKHPFFIB07DB,福大段,18.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPRMLQLKHPFFIB56DB,福大段,19.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLQLKHPFFIB76DB,福大段,18.11,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWQMLQLKHPFFIB17DB,福大段,19.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPORMLQLKHPFFIB09DB,福大段,18.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWQMLQLKHPFFCB09CB,福德段,11.66,都市：商
RPURMLQLKHPFFIB07DB,福大段,18.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLQLKHPFFIB27DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTRMLQLKHPFFIB96DB,福大段,18.11,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLQLKHPFFIB66DB,福大段,24.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLQLKHPFFCB58CB,福德段,12.28,都市：商
RPSRMLQLKHPFFCB78CB,福德段,12.28,都市：商
RPTRMLQLKHPFFCB88CB,福德段,12.28,都市：商
RPTPMLQLKHPFFDB78CB,三陽段,20.72,都市：住
RPRPMLQLKHPFFDB58CB,三陽段,22.85,都市：住
RPPNMLRLKHPFFIB88DB,福大段,24.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLQLKHPFFDB68CB,三陽段,22.85,都市：住
RPOPMLQLKHPFFDB28CB,三陽段,22.85,都市：住
RPQPMLQLKHPFFDB48CB,三陽段,22.85,都市：住
RPVPMLQLKHPFFDB98CB,三陽段,23.04,都市：住
RPQNMLRLKHPFFIB98DB,福大段,19.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLRLKHPFFIB56DB,福大段,18.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLRLKHPFFIB66DB,福大段,20.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLRLKHPFFIB76DB,福大段,24.27,都市：住
RPXNMLRLKHPFFIB07DB,福大段,18.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLRLKHPFFIB98DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLRLKHPFFIB86DB,福大段,18.11,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLRLKHPFFIB09DB,福大段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLRLKHPFFIB96DB,福大段,18.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLRLKHPFFIB88DB,福大段,24.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLRLKHPFFIB56DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLRLKHPFFIB86DB,福大段,18.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLRLKHPFFIB76DB,福大段,18.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLRLKHPFFIB96DB,福大段,19.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLRLKHPFFIB09DB,福大段,24.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLRLKHPFFIB17DB,福大段,18.65,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLRLKHPFFIB56DB,福大段,20.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLRLKHPFFIB98DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLRLKHPFFIB66DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLRLKHPFFIB86DB,福大段,19.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLRLKHPFFIB76DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLRLKHPFFIB07DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLRLKHPFFIB96DB,福大段,24.81,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLRLKHPFFIB17DB,福大段,18.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLRLKHPFFIB27DB,福大段,18.49,都市：住
RPPQMLRLKHPFFIB56DB,福大段,19.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLRLKHPFFIB09DB,福大段,24.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLRLKHPFFIB86DB,福大段,19.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLRLKHPFFIB66DB,福大段,24.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVQMLRLKHPFFIB17DB,福大段,18.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWQMLRLKHPFFIB27DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLRLKHPFFIB37DB,福大段,18.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTQMLRLKHPFFIB96DB,福大段,18.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPORMLRLKHPFFIB56DB,福大段,25.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPRMLRLKHPFFIB66DB,福大段,19.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLRLKHPFFIB76DB,福大段,18.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLRLKHPFFIB86DB,福大段,20.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSRMLRLKHPFFIB96DB,福大段,24.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTRMLRLKHPFFIB07DB,福大段,18.65,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVRMLRLKHPFFIB27DB,福大段,19.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPSMLRLKHPFFIB76DB,福大段,18.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWRMLRLKHPFFIB37DB,福大段,18.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPURMLRLKHPFFIB17DB,福大段,25.19,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXRMLRLKHPFFIB47DB,福大段,19.88,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQSMLRLKHPFFIB86DB,福大段,24.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSSMLRLKHPFFIB07DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUSMLRLKHPFFIB27DB,福大段,18.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWSMLRLKHPFFIB47DB,福大段,24.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTSMLRLKHPFFIB17DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOTMLRLKHPFFIB76DB,福大段,18.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRTMLRLKHPFFIB07DB,福大段,19.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXSMLRLKHPFFIB57DB,福大段,18.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUTMLRLKHPFFIB37DB,福大段,18.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSTMLRLKHPFFIB17DB,福大段,24.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTTMLRLKHPFFIB27DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVTMLRLKHPFFIB47DB,福大段,18.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWTMLRLKHPFFIB57DB,福大段,19.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXTMLRLKHPFFIB67DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOUMLRLKHPFFIB86DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQUMLRLKHPFFIB07DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSUMLRLKHPFFIB27DB,福大段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPUMLRLKHPFFIB96DB,福大段,20.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTUMLRLKHPFFIB37DB,福大段,24.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUUMLRLKHPFFIB47DB,福大段,19.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXUMLRLKHPFFIB77DB,福大段,18.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOVMLRLKHPFFIB96DB,福大段,20.07,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVUMLRLKHPFFIB57DB,福大段,18.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPVMLRLKHPFFIB07DB,福大段,18.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRVMLRLKHPFFIB27DB,福大段,18.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSVMLRLKHPFFIB37DB,福大段,18.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUVMLRLKHPFFIB57DB,福大段,17.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTVMLRLKHPFFIB47DB,福大段,18.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQVMLRLKHPFFIB17DB,福大段,19.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVVMLRLKHPFFIB67DB,福大段,18.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXVMLRLKHPFFIB87DB,福大段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWVMLRLKHPFFIB77DB,福大段,17.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRWMLRLKHPFFIB37DB,福大段,18.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOWMLRLKHPFFIB07DB,福大段,19.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPWMLRLKHPFFIB17DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQWMLRLKHPFFIB27DB,福大段,19.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSWMLRLKHPFFIB47DB,福大段,24.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTWMLRLKHPFFIB57DB,福大段,17.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUWMLRLKHPFFIB67DB,福大段,18.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVWMLRLKHPFFIB77DB,福大段,18.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWWMLRLKHPFFIB87DB,福大段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPONNLRLKHPFFIB88DB,福大段,18.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXWMLRLKHPFFIB97DB,福大段,20.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNNLRLKHPFFIB09DB,福大段,20.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNNLRLKHPFFIB98DB,福大段,18.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNNLRLKHPFFIB56DB,福大段,24.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
