編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLLKKHPFFAB97CC,公館段,.00,都市：住
RPQNMLLKKHPFFFB97CC,南簡段,77.00,都市：住
RPSNMLLKKHPFFAB67CC,麻園頭段,53.57,都市：住
RPPPMLLKKHPFFBB67CC,水源段,.00,都市：住
RPPPMLLKKHPFFBB67CC,水源段,.00,都市：住
RPSOMLLKKHPFFCB08DC,民安段,1.72,都市：住
RPSOMLLKKHPFFCB08DC,民安段,94.27,都市：住
RPSOMLLKKHPFFCB08DC,民安段,3.35,都市：住
RPVNMLLKKHPFFFB48CC,市鎮北段,12.51,都市：商
RPVNMLLKKHPFFCB18CC,惠民段,.00,都市：其他
RPUNMLLKKHPFFCB08CC,惠國段,24.99,都市：其他
RPWNMLLKKHPFFCB28CC,福安段,47.60,都市：住
RPVNMLLKKHPFFBB08CC,東峰段,5.85,都市：住
RPWOMLLKKHPFFCB38CC,上石碑段,.00,都市：商
RPWPMLLKKHPFFCB48CC,楓樹段,27.75,都市：其他
RPOQMLMKKHPFFJB58CC,茶寮段,72.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLMKKHPFFHB48CC,大明段,26.28,都市：住
RPQPMLMKKHPFFJB68CC,新興段,21.44,都市：住
RPQOMLMKKHPFFFB18CC,新犁份段,.00,都市：住
RPXNMLMKKHPFFFB78CC,市鎮北段,21.84,都市：商
RPQOMLMKKHPFFIB48CC,武德段,27.31,都市：住
RPQOMLMKKHPFFCB87CC,永安段,.00,非都市： ; 非都市編定：
RPROMLMKKHPFFCB97CC,信安段,.00,非都市： ; 非都市編定：
RPRPMLMKKHPFFCB08CC,民安段,.00,都市：住
RPUOMLMKKHPFFCB28CC,大新段,78.00,都市：住
RPORMLMKKHPFFBB87CC,賴厝段,9.99,都市：住
RPPRMLMKKHPFFBB97CC,中清段,23.73,都市：住
RPQPMLMKKHPFFAB77CC,重慶段五小段,22.45,都市：商
RPWNMLNKKHPFFHB98CC,大榮段,24.31,都市：住
RPVPMLMKKHPFFCB48CC,國安段,16.08,都市：住
