編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLOJLHPFFBC18CA,培德段,28.20,都市：住
RPPNMLMKKHPFFBC47CA,光明段,20.50,都市：住
RPPNMLOKKHPFFBC67CA,福祿段,34.25,都市：住
RPTNMLOJLHPFFBC08CA,培德段,24.21,都市：住
RPPOMLMKKHPFFBC57CA,調和段,105.13,都市：住
RPPOMLMKKHPFFBC57CA,調和段,14.18,都市：住
RPUNMLTLKHPFFBC78CA,港濱段,59.61,都市：住
RPWNMLOJLHPFFBC38CA,培德段,14.24,都市：住
RPVNMLOJLHPFFBC28CA,培德段,28.20,都市：住
RPRNMLOJLHPFFBC87CA,培德段,24.21,都市：住
RPTNMLMKKHPFFBC87CA,日新段五小段,17.83,都市：商
RPUNMLLKKHPFFCC97CA,源遠段,31.90,都市：住
RPSNMLKKLHPFFBC67CA,調和段,.32,都市：其他
RPSNMLKKLHPFFBC67CA,調和段,22.67,都市：住
RPRNMLMKKHPFFCC77CA,新會段,24.00,都市：住
RPXNMLOJLHPFFBC48CA,培德段,13.96,都市：住
RPVNMLLKKHPFFCC08CA,源遠段,29.06,都市：住
RPVNMLMKKHPFFCC18CA,大武崙段內寮小段,25.65,都市：其他
RPSNMLMKKHPFFCC87CA,武嶺段,23.75,都市：住
RPSNMLMKKHPFFCC87CA,武嶺段,21.72,都市：住
RPSNMLMKKHPFFCC87CA,武嶺段,2.98,都市：其他
RPOOMLOJLHPFFBC67CA,培德段,19.09,都市：住
RPVNMLOKKHPFFCC38CA,情人湖段,18.65,都市：住
RPVNMLOKKHPFFCC38CA,情人湖段,.06,都市：其他
RPTNMLPKKHPFFCC28CA,觀音段,21.03,都市：其他
RPQOMLRLKHPFFCC38CA,暖暖段暖暖小段,324.00,都市：住
RPSOMLRLKHPFFCC58CA,大武崙段內寮小段,9.18,都市：其他
RPSOMLRLKHPFFCC58CA,大武崙段內寮小段,.82,都市：住
RPRNMLOLKHPFFCC08CA,五堵段五堵北小段,22.77,都市：商
RPWNMLOJLHPFFCC48CA,過港段,33.16,都市：住
RPPNMLNKKHPFFCC87EA,新城段,.05,都市：其他
RPPNMLNKKHPFFCC87EA,新城段,.54,都市：其他
RPPNMLNKKHPFFCC87EA,新城段,3.15,都市：住
RPPNMLNKKHPFFCC87EA,新城段,24.98,都市：住
RPPNMLNKKHPFFCC87EA,新城段,.02,都市：其他
RPUNMLNJLHPFFCC18CA,源遠段,24.51,都市：住
RPSNMLPKKHPFFBC18DA,長潭段,2.15,都市：住
RPSNMLPKKHPFFBC18DA,長潭段,21.54,都市：住
RPQNMLNKKHPFFCC77CA,金華段,32.24,都市：住
RPQNMLNKKHPFFCC77CA,金華段,2.31,都市：其他
RPQNMLNKKHPFFCC77CA,金華段,3.72,都市：其他
RPTNMLNKKHPFFCC08CA,新崙段,174.40,都市：住
RPTNMLNKKHPFFCC08CA,新崙段,28.34,都市：住
RPTNMLNKKHPFFCC08CA,新崙段,6.51,都市：住
RPWNMLMKKHPFFCC28CA,保定段,26.25,都市：住
RPVNMLNKKHPFFCC28CA,新崙段,197.91,都市：住
RPXNMLPKKHPFFBC58CA,光明段,21.40,都市：住
RPXNMLPKKHPFFBC58CA,光明段,6.15,都市：其他
RPXNMLPKKHPFFBC58CA,光明段,.05,都市：住
RPWNMLQLKHPFFBC68CA,調和段,.74,都市：商
RPWNMLQLKHPFFBC68CA,調和段,121.34,都市：其他
RPWNMLQLKHPFFBC68CA,調和段,.42,都市：住
RPWNMLQLKHPFFBC68CA,調和段,.16,都市：住
RPWNMLQLKHPFFBC68CA,調和段,.57,都市：住
RPRNMLNKKHPFFBC77CA,港濱段,16.79,都市：住
RPRNMLNKKHPFFBC77CA,港濱段,.63,都市：商
RPRNMLNKKHPFFBC77CA,港濱段,7.95,都市：商
RPUNMLMKKHPFFCC08CA,代天府段,23.68,都市：其他
RPUNMLMKKHPFFCC08CA,代天府段,.97,都市：住
RPUNMLMKKHPFFBC97CA,港濱段,30.33,都市：住
RPQNMLSKKHPFFBC18CA,港濱段,2.04,都市：商
RPQNMLSKKHPFFBC18CA,港濱段,28.71,都市：住
RPPOMLRKKHPFFBC08CA,調和段,10.42,都市：住
RPRNMLKLKHPFFBC57CA,延年段,1.28,都市：商
RPRNMLKLKHPFFBC57CA,延年段,9.37,都市：商
RPRNMLKLKHPFFBC57CA,延年段,3.54,都市：商
