鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺南市北區賢北街121~150號,72.69,住,,,1090106,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830709,159.99,5,2,3,有,無,8100000,50628,,0.0,0,含增建或未登記建物。;,RPXNMLLKKHPFFAD18CA
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段811~840號,10.28,住,,,1081226,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840530,176.38,4,2,2,有,有,7000000,39687,坡道平面,0.0,0,,RPPNMLNKKHPFFAD57CA
北區,房地(土地+建物),臺南市北區中華北路一段53巷1~30號,118.63,住,,,1090108,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,0930517,239.06,5,2,4,有,無,16000000,66929,,0.0,0,,RPUNMLNKKHPFFAD08CA
安平區,土地,金城段1~30地號,345.0,商,,,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24500000,71014,,0.0,0,,RPSPMLNKKHPFFAD08CA
北區,房地(土地+建物),臺南市北區忠義路三段61~90號,14.7,商,,,1081227,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080121,75.92,2,2,1,有,有,5180000,68230,,0.0,0,,RPTPMLNKKHPFFAD18CA
北區,房地(土地+建物)+車位,臺南市北區忠義路三段61~90號,21.82,商,,,1081227,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080121,112.97,3,2,2,有,有,8180000,72409,升降機械,5.55,0,,RPVOMLOKKHPFFAD38CA
北區,房地(土地+建物),臺南市北區北園街31~60號,13.69,商,,,1090114,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870420,106.14999999999999,3,2,2,有,有,4800000,45219,,0.0,0,,RPXOMLOKKHPFFAD58CA
中西區,土地,新臨安段31~60地號,78.39,其他,,,1090203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2160931,27566,,0.0,0,包含公共設施保留地之交易。;,RPPPMLOKKHPFFAD87CA
北區,房地(土地+建物)+車位,臺南市北區中華北路二段91~120號,61.09,住,,,1081108,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080422,372.66999999999996,3,2,2,有,有,33400000,89624,坡道平面,66.2,0,含裝潢,RPPOMLPKKHPFFAD87CA
北區,房地(土地+建物)+車位,臺南市北區中華北路二段91~120號,61.09,住,,,1080701,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080422,372.66999999999996,3,2,2,有,有,25800000,69230,坡道平面,66.2,0,,RPUOMLPKKHPFFAD38CA
中西區,房地(土地+建物),臺南市中西區神農街1~30號,29.38,商,,,1090109,土地1建物1車位0,,,公寓(5樓含以下無電梯),,,,106.76,4,2,2,有,無,3700000,34657,,0.0,0,,RPXNMLKLKHPFFAD18CA
安平區,房地(土地+建物),臺南市安平區國平路571~600號,4.61,商,,,1090118,土地1建物1車位0,,,套房(1房1廳1衛),,,,53.15,1,1,1,有,有,2750000,51740,,0.0,0,,RPOPMLKLKHPFFAD47CA
安平區,房地(土地+建物),臺南市安平區建平十街31~60號,25.61,住,,,1090131,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881207,161.44,3,2,2,有,無,8600000,53271,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLOLKHPFFAD58CA
中西區,房地(土地+建物),臺南市中西區北門路一段51巷1~30號,8.28,商,,,1081227,土地1建物1車位0,六層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790917,47.05,1,1,1,有,有,1500000,31881,,0.0,0,,RPPPMLOLKHPFFAD97CA
北區,房地(土地+建物)+車位,臺南市北區林森路三段151~180號,23.31,住,,,1070725,土地5建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080726,243.58999999999997,3,2,3,有,有,19500000,85605,坡道平面,27.48,1000000,交易日期為預售屋買賣契約簽約日,RPQNMLOJLHPFFAD77CA
