編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSPMLNKKHPFFAD08CA,金城段,345.00,都市：商
RPPPMLOKKHPFFAD87CA,新臨安段,40.71,都市：其他
RPPPMLOKKHPFFAD87CA,新臨安段,37.67,都市：其他
RPVOMLOKKHPFFAD38CA,自強段,10.12,都市：商
RPVOMLOKKHPFFAD38CA,自強段,11.71,都市：商
RPXNMLLKKHPFFAD18CA,光賢段,72.69,都市：住
RPPOMLPKKHPFFAD87CA,北元段,61.09,都市：住
RPTPMLNKKHPFFAD18CA,自強段,6.81,都市：商
RPTPMLNKKHPFFAD18CA,自強段,7.88,都市：商
RPPNMLNKKHPFFAD57CA,金華段,10.28,都市：住
RPUOMLPKKHPFFAD38CA,北元段,61.09,都市：住
RPXOMLOKKHPFFAD58CA,開元段,4.50,都市：住
RPXOMLOKKHPFFAD58CA,開元段,9.19,都市：商
RPUNMLNKKHPFFAD08CA,光賢段,118.63,都市：住
RPXNMLKLKHPFFAD18CA,五條港段,29.38,都市：商
RPTRMLTJLHPFFAD98CA,銀同段,6.02,都市：其他
RPOPMLKLKHPFFAD47CA,金華段,4.61,都市：商
RPWOMLOLKHPFFAD58CA,新南段,25.61,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,173.30,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,78.96,都市：其他
RPWNMLMKKHPFFBD28CA,神榕段,100.83,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,380.86,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,39.92,都市：其他
RPWNMLMKKHPFFBD28CA,神榕段,59.32,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,146.95,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,67.60,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,38.88,都市：其他
RPWNMLMKKHPFFBD28CA,神榕段,43.06,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,116.07,都市：住
RPWNMLMKKHPFFBD28CA,神榕段,130.33,都市：其他
RPTNMLOJLHPFFAD08CA,仁愛段,1.53,都市：住
RPTNMLOJLHPFFAD08CA,仁愛段,14.07,都市：住
RPTNMLOJLHPFFAD08CA,仁愛段,.58,都市：住
RPTNMLOJLHPFFAD08CA,仁愛段,14.67,都市：住
RPTNMLOJLHPFFAD08CA,仁愛段,.61,都市：住
RPQNMLOJLHPFFAD77CA,仁愛段,1.13,都市：住
RPQNMLOJLHPFFAD77CA,仁愛段,10.43,都市：住
RPQNMLOJLHPFFAD77CA,仁愛段,.43,都市：住
RPQNMLOJLHPFFAD77CA,仁愛段,10.87,都市：住
RPQNMLOJLHPFFAD77CA,仁愛段,.45,都市：住
RPUNMLOJLHPFFAD18CA,環河段,31.70,都市：住
RPPPMLOLKHPFFAD97CA,萬昌段,8.28,都市：商
RPPNMLRKKHPFFBD08CA,原佃段,326.36,都市：住
RPQNMLOKKHPFFBD87CA,原佃段,1.02,都市：其他
RPOOMLPKKHPFFBD87CA,國安段,99.66,都市：住
RPSOMLPKKHPFFBD28CA,國安段,100.21,都市：住
RPXNMLOLKHPFFBD68CA,安西段,624.84,都市：住
RPSOMLTKKHPFFBD68CA,國安段,101.75,都市：住
RPTOMLTKKHPFFBD78CA,國安段,101.99,都市：住
RPUOMLTKKHPFFBD88CA,國安段,101.00,都市：住
RPWNMLMKKHPFFCD38CA,德高段,850.00,都市：住
RPWNMLMKKHPFFCD38CA,德高段,191.00,都市：其他
RPPNMLKLKHPFFBD47CA,國安段,103.28,都市：住
RPOPMLRLKHPFFBD28CA,新順段,69.94,都市：住
RPSNMLQJLHPFFBD28CA,國安段,14.37,都市：住
RPSNMLQJLHPFFBD28CA,國安段,5.39,都市：住
RPSNMLQJLHPFFBD28CA,國安段,131.62,都市：住
RPSNMLQJLHPFFBD28CA,國安段,.34,都市：住
RPQNMLKLKHPFFBD57CA,國安段,99.68,都市：住
RPWNMLQJLHPFFBD68CA,安西段,21.72,都市：住
RPWNMLQJLHPFFBD68CA,安西段,89.14,都市：住
RPVOMLOKKHPFFCD58CA,光明段,96.42,都市：其他
RPVOMLOKKHPFFCD58CA,光明段,73.66,都市：其他
RPQNMLRKKHPFFCD28CA,新東段,12.00,都市：住
RPQNMLRKKHPFFCD28CA,新東段,.04,都市：其他
RPQNMLRKKHPFFCD28CA,新東段,.92,都市：其他
RPPPMLMKKHPFFCD87CA,仁和段,21.43,都市：住
RPQNMLSKKHPFFCD38CA,鹽埕段,38.00,都市：住
RPQNMLSKKHPFFCD38CA,鹽埕段,54.00,都市：住
RPTOMLOKKHPFFCD38CA,富裕段,19.17,都市：住
RPPOMLRKKHPFFCD28CA,鹽埕段,11.92,都市：住
RPWOMLSKKHPFFCD09CA,仁和段,17.30,都市：住
RPPNMLKLKHPFFCD57CA,裕東段,26.40,都市：住
RPPNMLKLKHPFFCD57CA,裕東段,49.98,都市：住
RPWOMLKLKHPFFCD38CA,大山段,26.29,都市：住
RPWOMLKLKHPFFCD38CA,大山段,55.02,都市：住
RPXNMLNJLHPFFCD58CA,仁和段,3.12,都市：其他
RPXNMLNJLHPFFCD58CA,仁和段,12.44,都市：住
RPXNMLNJLHPFFCD58CA,仁和段,.12,都市：住
RPVNMLLLKHPFFCD28CA,仁和段,13.79,都市：住
RPROMLLLKHPFFCD97CA,東寧段,17.72,都市：住
RPROMLLLKHPFFCD97CA,東寧段,2.16,都市：其他
RPROMLLLKHPFFCD97CA,東寧段,.14,都市：住
RPXNMLPLKHPFFCD88CA,竹篙厝段,18.61,都市：住
RPTNMLLKKHPFFDD08CA,新營段,2196.00,都市：住
RPPNMLMKKHPFFED87CA,北勢寮段,4440.14,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMKKHPFFED87CA,北勢寮段,1739.87,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLLKKHPFFDD18CA,新營段,22.29,都市：住
RPRNMLMKKHPFFDD97CA,番子厝段,2850.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLLKLHPFFCD97CA,桶盤淺段,22.57,都市：住
RPOPMLOJLHPFFCD97CA,富農段,3.99,都市：住
RPRNMLMKKHPFFFD18CA,保安段,41.26,都市：住
RPOPMLOJLHPFFCD97CA,富農段,1.60,都市：住
RPOPMLOJLHPFFCD97CA,富農段,.00,都市：住
RPVNMLNKKHPFFFD68CA,十六甲段,605.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLKKHPFFED77CA,嶺頂段,28.41,都市：住
RPRNMLTKKHPFFED78CA,頂中段,27.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTKKHPFFED78CA,頂中段,272.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTKKHPFFED78CA,頂中段,113.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLLKKHPFFFD58CA,新官田段,92.19,都市：農
RPRNMLPKKHPFFFD48CA,水漆林段,2345.00,都市：農
RPRNMLPKKHPFFFD48CA,水漆林段,1954.00,都市：農
RPRNMLPKKHPFFFD48CA,水漆林段,1954.00,都市：農
RPTOMLNKKHPFFFD58CA,頭社段,2536.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLSKKHPFFFD58CA,溝子墘段,93.00,非都市：特定農業區 ; 非都市編定：水利用地
RPQNMLNKKHPFFGD28CA,三聖段,7866.16,非都市：一般農業區 ; 非都市編定：養殖用地
RPTNMLMKKHPFFGD48CA,新宅段,2569.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLPKKHPFFGD48CA,成功段,30.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLPKKHPFFFD58CA,保生段,87.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLNJLHPFFFD38CA,民生段,.27,都市：商
RPROMLNJLHPFFFD38CA,民生段,20.77,都市：商
RPROMLNJLHPFFFD38CA,民生段,38.80,都市：商
RPROMLNJLHPFFFD38CA,民生段,1.40,都市：商
RPROMLNJLHPFFFD38CA,民生段,1.28,都市：商
RPROMLNJLHPFFFD38CA,民生段,.25,都市：商
RPROMLNJLHPFFFD38CA,民生段,.11,都市：商
RPROMLNJLHPFFFD38CA,民生段,.05,都市：商
RPROMLNJLHPFFFD38CA,民生段,.97,都市：商
RPROMLNJLHPFFFD38CA,民生段,.22,都市：商
RPROMLNJLHPFFFD38CA,民生段,.09,都市：商
RPROMLNJLHPFFFD38CA,民生段,.15,都市：商
RPROMLNJLHPFFFD38CA,民生段,.15,都市：商
RPROMLNJLHPFFFD38CA,民生段,.26,都市：商
RPROMLNJLHPFFFD38CA,民生段,.27,都市：商
RPROMLNJLHPFFFD38CA,民生段,.10,都市：商
RPROMLNJLHPFFFD38CA,民生段,.62,都市：商
RPROMLNJLHPFFFD38CA,民生段,.80,都市：商
RPROMLNJLHPFFFD38CA,民生段,.15,都市：商
RPROMLNJLHPFFFD38CA,民生段,.14,都市：商
RPROMLNJLHPFFFD38CA,民生段,.04,都市：商
RPRNMLPKKHPFFGD58CA,成功段,12.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLPKKHPFFGD58CA,成功段,12.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPKKHPFFFD68CA,保生段,86.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
