編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVOMLOKKHPFFAD38CA,升降機械,0,5.55
RPPOMLPKKHPFFAD87CA,坡道平面,0,33.10
RPPOMLPKKHPFFAD87CA,坡道平面,0,33.10
RPUOMLPKKHPFFAD38CA,坡道平面,0,33.10
RPUOMLPKKHPFFAD38CA,坡道平面,0,33.10
RPPNMLNKKHPFFAD57CA,坡道平面,0,
RPTNMLOJLHPFFAD08CA,坡道平面,1200000,27.48
RPTNMLOJLHPFFAD08CA,坡道平面,1200000,27.48
RPQNMLOJLHPFFAD77CA,坡道平面,1000000,27.48
RPUNMLOJLHPFFAD18CA,坡道平面,0,24.80
RPUNMLOJLHPFFAD18CA,坡道平面,0,24.80
RPSNMLQJLHPFFBD28CA,其他,0,
RPPPMLMKKHPFFCD87CA,坡道平面,0,
RPTOMLOKKHPFFCD38CA,坡道平面,0,
RPWOMLSKKHPFFCD09CA,坡道機械,0,9.83
RPVNMLLLKHPFFCD28CA,坡道機械,0,9.83
RPWNMLPKKHPFFGD09CA,一樓平面,600000,27.15
RPXOMLOJLHPFFHD66CA,一樓平面,0,
RPQOMLMKKHPFFID48CA,一樓平面,0,16.42
RPOPMLOKKHPFFID58CA,一樓平面,0,16.42
RPUNMLLKKHPFFKD88CA,一樓平面,0,
RPRNMLOKKHPFFKD88CA,坡道平面,0,25.59
RPUNMLMKKHPFFDD38DA,其他,0,25.89
RPUNMLMKKHPFFDD38DA,其他,0,27.88
RPUNMLMKKHPFFDD38DA,其他,0,27.88
RPUNMLMKKHPFFDD38DA,其他,0,27.88
RPUNMLMKKHPFFDD38DA,其他,0,25.89
RPUNMLMKKHPFFDD38DA,其他,0,25.89
RPUNMLMKKHPFFDD38DA,其他,0,27.88
RPUNMLMKKHPFFDD38DA,其他,0,27.88
RPUNMLMKKHPFFDD38DA,其他,0,25.89
RPUNMLMKKHPFFDD38DA,其他,0,27.88
RPUNMLMKKHPFFDD38DA,其他,0,25.89
RPUNMLMKKHPFFDD38DA,其他,0,25.89
RPQPMLKKLHPFFKD68CA,坡道平面,0,
RPRNMLSJLHPFFKD66CA,坡道平面,0,
RPPOMLPKKHPFFID68CA,坡道平面,800000,34.83
RPPOMLPKKHPFFID68CA,坡道平面,600000,31.99
RPPOMLPKKHPFFID68CA,坡道平面,600000,31.99
RPOOMLPKKHPFFID58CA,坡道平面,970000,53.11
RPWOMLNJLHPFFCD58CA,坡道機械,0,
RPWNMLLLKHPFFCD38CA,坡道平面,0,
RPQPMLMKKHPFFCD97CA,坡道平面,1125000,23.20
RPQPMLMKKHPFFCD97CA,坡道平面,1125000,23.20
RPVNMLPKKHPFFCD58CA,坡道平面,0,
RPSPMLRLKHPFFAD58CA,坡道平面,300000,
RPWOMLNKKHPFFAD38CA,坡道平面,1200000,28.19
RPWOMLNKKHPFFAD38CA,坡道平面,1200000,28.19
RPSNMLNKKHPFFAD87CA,坡道平面,0,
RPUNMLRKKHPFFAD48CA,坡道平面,0,
RPVNMLSKKHPFFAD68CA,坡道平面,0,
RPVNMLSKKHPFFAD68CA,坡道平面,0,
RPRNMLOKKHPFFAD87CA,坡道平面,1000000,
RPROMLSKKHPFFAD38CA,坡道平面,0,24.11
RPROMLSKKHPFFAD38CA,坡道平面,0,24.11
RPROMLOLKHPFFAD08CA,坡道平面,0,
RPWNMLKKLHPFFAD08CA,升降機械,0,
RPUNMLRKKHPFFCD68CA,坡道平面,0,13.77
RPVNMLPLKHPFFCD68CA,一樓平面,0,
RPPNMLMLKHPFFCD77CA,坡道平面,1000000,
RPXNMLMKLHPFFCD58CA,坡道平面,0,
RPQNMLPLKHPFFID78CA,一樓平面,850000,19.61
RPXNMLPLKHPFFID86CA,一樓平面,850000,19.61
RPRNMLPJLHPFFKD98CA,坡道平面,1400000,19.23
RPQNMLPJLHPFFKD88CA,坡道平面,1300000,19.23
RPSNMLPJLHPFFKD09CA,坡道平面,1300000,19.23
RPPPMLPKKHPFFKD98CA,坡道平面,0,22.39
RPRNMLLLKHPFFKD68CA,坡道機械,0,
RPXNMLOKKHPFFAD58DA,坡道平面,0,
RPVNMLSKKHPFFKD17DA,坡道平面,0,40.45
RPWNMLLLKHPFFKD66DA,升降機械,0,
RPQOMLOKKHPFFCD18DA,坡道平面,0,26.98
RPQNMLPKLHPFFKD98CA,坡道機械,10000,17.15
RPRNMLPKLHPFFKD09CA,坡道機械,10000,17.15
RPTNMLPKLHPFFKD66CA,坡道機械,10000,17.15
RPSNMLPKLHPFFKD56CA,坡道機械,10000,17.15
RPXOMLRKKHPFFKD27CA,坡道平面,0,
RPUNMLPKLHPFFKD76CA,坡道機械,10000,17.15
RPXOMLLKLHPFFKD76CA,坡道平面,0,24.84
SPXOMLLKLHPFFKD86CA,坡道平面,0,24.84
RPPNMLRJLHPFFKD98CA,坡道機械,0,
RPPPMLOKKHPFFID68CA,一樓平面,0,16.42
RPOPMLOJLHPFFHD48CA,坡道平面,0,
RPWOMLLKLHPFFHD98CA,坡道平面,0,
RPVOMLLLKHPFFGD78CA,一樓平面,600000,27.15
RPWOMLMJLHPFFCD48CA,坡道平面,0,
RPQOMLQJLHPFFCD28CA,坡道平面,0,
RPPOMLOKKHPFFCD97CA,升降機械,750000,12.64
