編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLLKKHPFFCD97CC,精忠段,.00,都市：住
RPQNMLLKKHPFFCD87CC,新東段,.00,都市：住
RPWNMLLKKHPFFCD48CC,虎尾寮段,4.01,都市：商
RPQOMLMKKHPFFHD58CC,富強段,.00,都市：住
RPQOMLMKKHPFFHD58CC,富強段,.00,都市：住
RPTNMLLKKHPFFBD08CC,溪墘段,83.25,都市：住
RPQNMLLKKHPFFBD77CC,和業段,467.40,都市：工
RPQNMLLKKHPFFBD77CC,和業段,129.66,都市：工
RPQOMLLKKHPFFHD48CC,蘇興段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLMKKHPFFHD98CC,大榮段,88.76,都市：住
RPRNMLLKKHPFFBD87CC,海南段,.00,都市：住
RPTNMLMKKHPFFFD58CC,番子渡頭段,1219.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLMKKHPFFGD88DC,新宅段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMKKHPFFBD08CC,溪墘段,.00,都市：住
RPVNMLMKKHPFFBD38CC,淵北段,.00,都市：住
RPTNMLMKKHPFFID88CC,中洲西段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLMKKHPFFKD66CC,鹽東段,.00,都市：住
RPOOMLMKKHPFFKD68CC,鹽中段,.00,都市：住
RPXNMLMKKHPFFCD68CC,竹篙厝段,.00,都市：住
RPPOMLMKKHPFFCD97CC,新東段,.00,都市：住
RPPOMLMKKHPFFCD97CC,新東段,.00,都市：住
RPSNMLMKKHPFFKD98CC,大灣段,.00,都市：住
RPTNMLMKKHPFFKD09CC,大灣段,.00,都市：住
RPROMLMKKHPFFCD18CC,竹篙厝段,.00,都市：商
RPROMLMKKHPFFCD18CC,竹篙厝段,.00,都市：商
RPTNMLMKKHPFFAD08CC,正興段,.00,都市：商
RPTNMLNKKHPFFAD18CC,金華段,.00,都市：住
RPWNMLNKKHPFFAD48CC,開元段,.00,都市：商
RPPOMLNKKHPFFAD87CC,東豐段,.00,都市：商
RPVNMLMKKHPFFAD28CC,星鑽段,.00,都市：商
