鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,8.73,商,,,1070820,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.5,2,1,2,有,無,8930000,66785,坡道平面,28.74,1800000,,RPWNMLOKKHPFFBE68CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,4.78,商,,,1070927,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.76,1,1,1,有,無,3850000,62338,,0.0,0,,RPUOMLPLLHPFFBE88CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,4.78,商,,,1070820,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.76,1,1,1,有,無,4350000,70434,,0.0,0,含裝潢家電,RPRPMLPLLHPFFBE68CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,5.82,商,,,1080128,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.36,1,1,1,有,無,5100000,67675,,0.0,0,含裝潢冷氣,RPSPMLPLLHPFFBE78CB
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,5.82,商,,,1071116,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.34,1,1,1,有,無,5910000,56006,坡道平面,28.74,1900000,,RPTPMLPLLHPFFBE88CB
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,5.82,商,,,1071116,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.34,1,1,1,有,無,5800000,54469,坡道平面,28.74,1900000,,RPUPMLPLLHPFFBE98CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,5.61,商,,,1070716,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.6,1,1,1,有,無,4660000,65084,,0.0,0,,RPVPMLPLLHPFFBE09CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,5.61,商,,,1080128,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.6,1,1,1,有,無,4450000,62151,,0.0,0,含裝潢,RPWPMLPLLHPFFBE56CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,5.61,商,,,1080117,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.6,1,1,1,有,無,4300000,60056,,0.0,0,,RPXPMLPLLHPFFBE66CB
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,7.07,商,,,1080117,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.93,2,1,1,有,無,7650000,65887,坡道平面,29.9,1850000,含裝潢冷氣,RPUNMLQLLHPFFBE88CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,4.47,商,,,1071101,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.38,1,1,1,有,無,4120000,71802,,0.0,0,含裝潢,RPWOMLQLLHPFFBE56CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,4.47,商,,,1071011,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.38,1,1,1,有,無,3980000,69362,,0.0,0,含裝潢,RPOPMLQLLHPFFBE48CB
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,6.65,商,,,1070611,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.96,2,1,1,有,無,6780000,65467,坡道機械,22.49,1250000,含家電冷氣,RPQNMLRLLHPFFBE58CB
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,8.1,商,,,1071221,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.51,2,1,2,有,無,8600000,62041,坡道平面,28.74,2100000,含裝潢  冷氣,RPSNMLRLLHPFFBE78CB
苓雅區,房地(土地+建物),苓洲段1771~1800地號,4.05,商,,,1080116,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,51.6,1,1,1,有,無,3750000,72674,,0.0,0,含裝潢,RPTNMLRLLHPFFBE88CB
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,8.0,商,,,1071218,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.98,2,1,2,有,無,8450000,66341,坡道平面,28.74,1800000,含裝潢,RPWNMLRLLHPFFBE56CB
苓雅區,房地(土地+建物)+車位,苓洲段1771~1800地號,6.65,商,,,1070619,土地1建物1車位1,十二層,15,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.13,2,1,1,有,無,6700000,65160,坡道平面,22.49,1250000,含家電冷氣,RPOOMLRLLHPFFBE48CB
