編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOOMLLKKHPFFAE67CC,坡道平面,0,
RPQOMLLKKHPFFAE87CC,坡道平面,0,
RPSOMLLKKHPFFEE48CC,坡道機械,0,
RPQNMLLKKHPFFGE38CC,坡道平面,0,20.21
RPTNMLLKKHPFFGE68CC,坡道平面,0,20.21
RPQNMLLKKHPFFFE28CC,其他,0,
RPROMLNKKHPFFBE28CC,坡道平面,1800,12.65
RPSOMLNKKHPFFBE38CC,坡道平面,2000,14.64
RPWPMLNKKHPFFBE88CC,坡道機械,0,10.52
RPWPMLNKKHPFFBE88CC,坡道平面,0,16.95
RPSOMLNKKHPFFCE48CC,坡道平面,0,16.76
RPQOMLNKKHPFFDE38CC,坡道機械,0,
RPVOMLNKKHPFFCE78CC,坡道平面,0,8.67
RPPNMLOKKHPFFBE08CC,坡道平面,0,
RPPNMLOKKHPFFBE08CC,坡道平面,0,
RPVOMLOKKHPFFAE68CC,坡道平面,0,31.59
RPWOMLOKKHPFFAE78CC,坡道平面,0,46.17
RPTPMLRKKHPFFEE66CC,坡道機械,0,7.47
RPTOMLRKKHPFFGE76CC,坡道平面,0,20.22
RPXOMLRKKHPFFGE17CC,坡道平面,0,
RPUOMLRKKHPFFCE09CC,坡道平面,0,26.32
RPUOMLRKKHPFFCE09CC,坡道平面,0,26.32
RPUNMLRKKHPFFCE98CC,坡道平面,0,
RPPOMLRKKHPFFAE38CC,坡道機械,0,5.03
RPPPMLRKKHPFFAE48CC,坡道平面,0,17.15
RPVOMLRKKHPFFBE09CC,坡道平面,0,20.25
RPSPMLSKKHPFFEE66CC,一樓平面,0,
RPPNMLTKKHPFFCE68CC,坡道平面,0,
RPUOMLTKKHPFFCE66CC,坡道平面,1500,24.53
RPPNMLKLKHPFFCE87CC,坡道平面,0,
RPPOMLKLKHPFFGE38CC,坡道平面,0,
RPXNMLKLKHPFFEE88CC,坡道機械,0,5.29
RPTOMLKLKHPFFEE58CC,坡道機械,0,17.46
RPXOMLLLKHPFFAE68CC,坡道平面,0,10.79
RPTNMLOLKHPFFCE68CC,坡道平面,0,
RPSNMLOLKHPFFCE58CC,坡道平面,0,
RPVOMLOLKHPFFCE98CC,坡道平面,0,34.86
RPSPMLOLKHPFFGE56CC,坡道機械,0,17.42
RPQNMLPLKHPFFBE38CC,坡道平面,1800,12.66
RPXNMLQLKHPFFAE09CC,坡道平面,0,9.92
RPPPMLQLKHPFFAE48CC,坡道平面,0,6.84
RPPPMLQLKHPFFAE48CC,坡道平面,0,
RPUOMLQLKHPFFEE66CC,坡道平面,0,29.75
RPTPMLRLKHPFFEE76CC,坡道平面,0,25.65
RPTPMLRLKHPFFEE76CC,坡道平面,0,25.65
RPUOMLRLKHPFFCE56CC,坡道平面,0,
RPQOMLRLKHPFFCE78CC,坡道平面,0,15.88
RPVOMLRLKHPFFCE66CC,坡道機械,0,15.63
RPVOMLRLKHPFFAE09CC,坡道平面,0,29.84
RPVOMLRLKHPFFAE09CC,坡道平面,0,29.84
RPUOMLRLKHPFFAE98CC,坡道機械,0,11.97
RPTOMLRLKHPFFAE88CC,坡道平面,0,31.29
RPTOMLRLKHPFFAE88CC,坡道平面,0,31.29
RPTOMLRLKHPFFAE88CC,坡道平面,0,31.29
RPRPMLMJLHPFFBE28CC,坡道平面,0,
RPRPMLMJLHPFFBE28CC,坡道機械,0,
RPRPMLMJLHPFFBE28CC,坡道平面,0,
RPWNMLMJLHPFFAE48CC,坡道平面,0,
RPTNMLNJLHPFFAE28CC,坡道平面,0,14.93
RPQPMLOJLHPFFDE58CC,坡道平面,0,28.51
RPQPMLOJLHPFFDE58CC,坡道平面,0,28.51
RPRPMLOJLHPFFEE78CC,坡道平面,0,18.10
RPQPMLOJLHPFFEE68CC,坡道平面,0,34.81
RPSPMLOJLHPFFEE88CC,坡道平面,0,27.31
RPWNMLPJLHPFFAE78CC,坡道平面,0,
RPUOMLPJLHPFFBE78CC,坡道平面,2000,14.64
RPSOMLPJLHPFFBE58CC,坡道平面,2200,14.64
RPWOMLPJLHPFFBE98CC,坡道平面,1800,12.66
RPXOMLPJLHPFFBE09CC,坡道平面,1500,12.66
RPRPMLQJLHPFFBE68CC,坡道平面,0,5.77
RPWNMLQJLHPFFFE76CC,坡道平面,1350,33.24
RPQPMLQJLHPFFEE88CC,坡道平面,0,33.17
RPUNMLTJLHPFFBE09CC,坡道平面,2200,14.64
RPWNMLTJLHPFFGE17CC,坡道平面,0,19.15
RPTPMLKKLHPFFEE68CC,坡道平面,0,
RPTOMLKKLHPFFAE18CC,坡道平面,0,29.54
RPUOMLKKLHPFFAE28CC,坡道平面,0,19.76
RPUOMLKKLHPFFAE28CC,坡道平面,0,19.76
RPSPMLKKLHPFFDE48CC,坡道機械,0,6.25
RPSOMLKKLHPFFAE08CC,坡道平面,0,16.54
RPXNMLLKLHPFFCE78CC,坡道平面,0,
RPTNMLKKLHPFFCE28CC,坡道平面,0,24.85
RPTNMLLKLHPFFAE18CC,坡道機械,0,
RPUOMLLKLHPFFBE48CC,坡道機械,0,6.91
RPUOMLLKLHPFFFE88CC,坡道平面,0,26.18
RPUOMLLKLHPFFFE88CC,坡道平面,0,26.18
RPWNMLMKLHPFFEE98CC,坡道平面,0,28.07
RPQOMLMKLHPFFEE48CC,坡道機械,0,
RPQPMLMKLHPFFEE58CC,坡道平面,0,18.64
RPXNMLMKLHPFFEE09CC,坡道平面,0,34.81
RPVQMLMKLHPFFEE56CC,坡道平面,0,18.17
RPXNMLMKLHPFFAE68CC,坡道平面,0,26.54
RPPNMLMKLHPFFAE87CC,坡道平面,0,19.34
