鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,房地(土地+建物),副都心段一小段211~240地號,12.0,住,,,1080709,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.85,2,2,1,有,無,12070000,159130,,0.0,0,,RPVQMLLKKHPFFBF68CB
新店區,房地(土地+建物),斯馨段1~30地號,10.78,住,,,1080622,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.3,3,1,1,有,無,12700000,156212,,0.0,0,,RPUOMLRKKHPFFCF09CB
新店區,房地(土地+建物)+車位,斯馨段1~30地號,11.4,住,,,1070907,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.23,3,1,1,有,無,15400000,120097,坡道平面,41.65,0,,RPVOMLRKKHPFFCF56CB
新店區,房地(土地+建物)+車位,斯馨段1~30地號,11.4,住,,,1070728,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.85,3,1,1,有,無,15800000,138779,坡道平面,27.27,0,,RPWOMLRKKHPFFCF66CB
新店區,房地(土地+建物)+車位,斯馨段1~30地號,11.4,住,,,1070422,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.85,3,1,1,有,無,15860000,139306,坡道平面,27.27,0,,RPXOMLRKKHPFFCF76CB
新店區,房地(土地+建物)+車位,斯馨段1~30地號,11.4,住,,,1070817,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.85,3,1,1,有,無,15900000,139657,坡道平面,27.27,0,,RPOPMLRKKHPFFCF58CB
中和區,房地(土地+建物),安平段841~870地號,7.92,住,,,1080320,土地4建物1車位0,三層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,,53.89,1,1,1,有,無,9030000,167564,,0.0,0,,RPSQMLLLKHPFFHF56DB
中和區,房地(土地+建物),安平段841~870地號,13.41,住,,,1080422,土地4建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.44,2,2,1,有,無,15750000,172244,,0.0,0,,RPUQMLLLKHPFFHF76DB
中和區,房地(土地+建物),安平段841~870地號,14.32,住,,,1080427,土地4建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.57,2,2,1,有,無,17000000,174234,,0.0,0,,RPWQMLLLKHPFFHF96DB
中和區,房地(土地+建物),安平段841~870地號,17.6,住,,,1080525,土地4建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.78,3,2,2,有,無,21200000,176991,,0.0,0,,RPORMLLLKHPFFHF88DB
中和區,房地(土地+建物),安平段841~870地號,7.92,住,,,1080512,土地4建物1車位0,十三層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,,53.89,1,1,1,有,無,9680000,179625,,0.0,0,,RPQRMLLLKHPFFHF09DB
中和區,房地(土地+建物)+車位,安平段841~870地號,17.67,住,,,1080601,土地4建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.74,3,2,2,有,無,22000000,171147,升降機械,15.96,1500000,,RPRRMLLLKHPFFHF56DB
中和區,房地(土地+建物),安平段841~870地號,7.92,住,,,1080729,土地4建物1車位0,六層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,,53.89,1,1,1,有,無,9600000,178141,,0.0,0,,RPSRMLLLKHPFFHF66DB
中和區,房地(土地+建物)+車位,安平段841~870地號,14.4,住,,,1080923,土地4建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.53,2,2,1,有,無,18000000,169109,升降機械,15.96,1500000,,RPTRMLLLKHPFFHF76DB
中和區,房地(土地+建物)+車位,安平段841~870地號,14.4,住,,,1080928,土地4建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.53,2,2,1,有,無,17500000,163985,升降機械,15.96,1500000,,RPURMLLLKHPFFHF86DB
中和區,房地(土地+建物),安平段841~870地號,13.41,住,,,1080929,土地4建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.44,2,2,1,有,無,14310000,156496,,0.0,0,,RPVRMLLLKHPFFHF96DB
中和區,房地(土地+建物),安平段841~870地號,7.92,住,,,1081003,土地4建物1車位0,五層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,,53.89,1,1,1,有,無,9400000,174429,,0.0,0,,RPWRMLLLKHPFFHF07DB
中和區,房地(土地+建物),安平段841~870地號,14.32,住,,,1081005,土地4建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.57,2,2,1,有,無,16200000,166035,,0.0,0,,RPXRMLLLKHPFFHF17DB
中和區,房地(土地+建物)+車位,安平段841~870地號,17.67,住,,,1081015,土地4建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.74,3,2,2,有,無,20600000,161964,升降機械,15.96,1200000,,RPPSMLLLKHPFFHF09DB
中和區,房地(土地+建物),安平段841~870地號,7.92,住,,,1081015,土地4建物1車位0,四層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,,53.89,1,1,1,有,無,9200000,170718,,0.0,0,,RPQSMLLLKHPFFHF56DB
中和區,房地(土地+建物),安平段841~870地號,7.92,住,,,1081026,土地4建物1車位0,二層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,,53.89,1,1,1,有,無,8850000,164223,,0.0,0,,RPRSMLLLKHPFFHF66DB
中和區,房地(土地+建物)+車位,安平段841~870地號,13.48,住,,,1081125,土地4建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.4,2,2,1,有,無,17480000,174759,升降機械,15.96,1500000,,RPSSMLLLKHPFFHF76DB
中和區,房地(土地+建物),安平段841~870地號,13.41,住,,,1081207,土地4建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.44,2,2,1,有,無,14700000,160761,,0.0,0,,RPTSMLLLKHPFFHF86DB
中和區,房地(土地+建物),安平段841~870地號,13.41,住,,,1081207,土地4建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.44,2,2,1,有,無,15280000,167104,,0.0,0,,RPUSMLLLKHPFFHF96DB
中和區,房地(土地+建物),安平段841~870地號,13.41,住,,,1081228,土地4建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.44,2,2,1,有,無,14380000,157262,,0.0,0,,RPWSMLLLKHPFFHF17DB
中和區,房地(土地+建物),安平段841~870地號,13.41,住,,,1090106,土地4建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.44,2,2,1,有,無,15900000,173885,,0.0,0,,RPXSMLLLKHPFFHF27DB
淡水區,房地(土地+建物)+車位,馬偕段151~180地號,25.34,住,,,1090213,土地2建物1車位1,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.08,2,1,1,有,無,8730000,102801,坡道平面,41.75,1500000,,RPTNMLPLKHPFFEF98CB
淡水區,房地(土地+建物)+車位,馬偕段151~180地號,29.9,住,,,1090216,土地2建物1車位1,七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.66,2,1,1,有,無,10100000,102041,坡道平面,42.87,1550000,,RPVNMLPLKHPFFEF56CB
淡水區,房地(土地+建物),馬偕段151~180地號,26.74,住,,,1090216,土地2建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.79,2,1,1,有,無,8600000,102638,,0.0,0,,RPOOMLPLKHPFFEF58CB
淡水區,房地(土地+建物),馬偕段151~180地號,22.43,住,,,1090224,土地2建物1車位0,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.33,2,1,1,有,無,7470000,106214,,0.0,0,,RPTNMLQLKHPFFEF09CB
淡水區,房地(土地+建物),馬偕段151~180地號,26.58,住,,,1090224,土地2建物1車位0,六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.32,2,1,1,有,無,8350000,100216,,0.0,0,,RPUNMLQLKHPFFEF56CB
新莊區,房地(土地+建物)+車位,副都心段一小段211~240地號,12.32,住,,,1080908,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.13,2,2,1,有,無,13850000,151615,坡道平面,33.28,2350000,,RPWNMLMJLHPFFBF58CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.21,住,,,1081009,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,2,2,1,有,無,12200000,125678,坡道平面,41.66,2000000,,RPPNMLRJLHPFFGF88CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.21,住,,,1081006,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,2,2,1,有,無,11800000,118285,坡道平面,41.66,2200000,,RPQNMLRJLHPFFGF98CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.21,住,,,1081019,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,2,2,1,有,無,12650000,129990,坡道平面,41.66,2100000,,RPRNMLRJLHPFFGF09CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,20.92,住,,,1081013,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.25,3,2,2,有,無,15700000,121875,坡道平面,41.66,2100000,,RPSNMLRJLHPFFGF56CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.21,住,,,1081010,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,2,2,1,有,無,12450000,128758,坡道平面,41.66,2000000,,RPTNMLRJLHPFFGF66CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,19.35,住,,,1081003,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.87,3,2,2,有,無,15300000,127895,坡道平面,41.66,2100000,,RPUNMLRJLHPFFGF76CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.58,住,,,1081015,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.75,2,2,1,有,無,12580000,128535,坡道平面,41.66,1900000,,RPVNMLRJLHPFFGF86CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,19.35,住,,,1081015,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.87,3,2,2,有,無,15350000,128379,坡道平面,41.66,2100000,,RPWNMLRJLHPFFGF96CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.21,住,,,1081124,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,2,2,1,有,無,12800000,131838,坡道平面,41.66,2100000,,RPXNMLRJLHPFFGF07CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.21,住,,,1081015,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,2,2,1,有,無,11400000,115821,坡道平面,41.66,2000000,,RPOOMLRJLHPFFGF88CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,19.35,住,,,1081009,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.87,3,2,2,有,無,14970000,123728,坡道平面,41.66,2200000,,RPPOMLRJLHPFFGF98CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,20.92,住,,,1081013,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.25,3,2,2,有,無,15200000,118290,坡道平面,41.66,2000000,,RPQOMLRJLHPFFGF09CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,20.92,住,,,1081005,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.25,3,2,2,有,無,15180000,118111,坡道平面,41.66,2000000,,RPROMLRJLHPFFGF56CB
三重區,房地(土地+建物)+車位,仁信段1~30地號,15.21,住,,,1081007,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,2,2,1,有,無,11650000,117669,坡道平面,41.66,2100000,,RPSOMLRJLHPFFGF66CB
