編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQRMLLKKHPFFBF38CC,25,114.94,住家用,鋼筋混凝土造,83年8月19日,十三層,
RPQRMLLKKHPFFBF38CC,25,52.93,共有部份,鋼筋混凝土造,83年8月19日,十三層,
RPOPMLLKKHPFFBF97CC,6,157.35,見其他登記事項,鋼筋混凝土造,102年8月12日,十八層,
RPOPMLLKKHPFFBF97CC,6,47.39,見其他登記事項,鋼筋混凝土造,102年8月12日,十八層,
RPOPMLLKKHPFFBF97CC,6,44.85,見其他登記事項,鋼筋混凝土造,102年8月12日,十八層,
RPQNMLLKKHPFFGF48CC,27,21.52,住家用,鋼筋混凝土造,82年1月6日,六層,
RPQNMLLKKHPFFGF48CC,27,6.44,共有部份,鋼筋混凝土造,82年1月6日,六層,
RPUSMLLKKHPFFBF88CC,39,77.58,住家用,鋼筋混凝土造,70年4月3日,五層,
RPQNNLLKKHPFFEF38CC,20,32.76,住家用,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
RPQNNLLKKHPFFEF38CC,20,3.00,共有部份,鋼骨鋼筋混凝土造,88年7月4日,二十六層,
RPQNNLLKKHPFFEF38CC,20,8.99,共有部份,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
RPTRMLLKKHPFFAF58CC,1,65.90,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPTRMLLKKHPFFAF58CC,1,33.20,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPTQMLLKKHPFFAF48CC,18,109.94,住家用,鋼筋混凝土造,91年7月16日,十層,
RPTQMLLKKHPFFAF48CC,18,16.56,見其他登記事項,鋼筋混凝土造,91年7月16日,十層,
RPTQMLLKKHPFFAF48CC,18,30.47,共有部份,鋼筋混凝土造,91年7月16日,十層,
RPTQMLLKKHPFFAF48CC,18,13.47,共有部份,鋼筋混凝土造,91年7月16日,十層,
RPXPMLLKKHPFFAF78CC,,281.10,住家用,鋼筋混凝土造,,四層,
RPOOMLLKKHPFFAF77CC,45,58.80,住家用,加強磚造,64年1月31日,四層,
RPXNMLLKKHPFFDF88CC,23,79.58,住家用,鋼筋混凝土造,86年7月3日,二十六層,
RPTNMLLKKHPFFHF88CC,12,40.01,住家用,鋼筋混凝土造,96年8月28日,二十一層,
RPTNMLLKKHPFFHF88CC,12,5.28,共有部份,鋼筋混凝土造,96年8月28日,二十一層,
RPTNMLLKKHPFFHF88CC,12,10.04,共有部份,鋼筋混凝土造,96年8月28日,二十一層,
RPUNMLLKKHPFFHF98CC,20,33.77,住家用,鋼筋混凝土造,88年9月15日,二十二層,
RPUNMLLKKHPFFHF98CC,20,9.79,共有部份,鋼筋混凝土造,88年9月15日,二十二層,
RPWOMLLKKHPFFHF66CC,22,107.89,住家用,鋼筋混凝土造,86年11月4日,二十四層,
RPWOMLLKKHPFFHF66CC,22,22.85,共有部份,鋼筋混凝土造,86年11月4日,二十四層,
RPWOMLLKKHPFFHF66CC,22,48.49,共有部份,鋼筋混凝土造,86年11月4日,二十五層,
RPOPMLLKKHPFFHF58CC,27,243.69,工業用,鋼筋混凝土造,82年6月4日,十層,
RPOPMLLKKHPFFHF58CC,26,18.64,共有部份,鋼筋混凝土造,82年8月4日,十層,
RPOOMLLKKHPFFIF58CC,12,207.31,住家用,鋼筋混凝土造,96年7月27日,十九層,
RPXNMLMKKHPFFHF76CC,35,59.52,住家用,鋼筋混凝土造,74年4月15日,五層,
RPWOMLMKKHPFFHF76CC,18,330.75,見其他登記事項,鋼筋混凝土造,91年6月17日,十七層,
RPWNMLLKKHPFFCF68CC,32,84.55,住家用,鋼筋混凝土造,77年1月21日,五層,
RPWNMLLKKHPFFCF68CC,32,2.93,共有部分,鋼筋混凝土造,77年1月21日,五層,
RPOQMLMKKHPFFAF28EC,2,127.73,見其他登記事項,鋼筋混凝土造,106年12月21日,十五層,
RPOQMLMKKHPFFAF28EC,2,58.91,見其他登記事項,鋼筋混凝土造,106年12月21日,十五層,
RPOQMLMKKHPFFAF28EC,2,36.78,見其他登記事項,鋼筋混凝土造,106年12月21日,十五層,
RPOPMLLKKHPFFCF08CC,44,23.49,住家用,鋼筋混凝土造,64年8月20日,四層,
RPRPMLMKKHPFFHF98CC,41,90.72,住家用,鋼筋混凝土造,67年8月10日,四層,
RPQOMLLKKHPFFAF18EC,25,98.71,住家用,鋼筋混凝土造,84年1月25日,十三層,
RPQOMLLKKHPFFAF18EC,25,36.46,共有部份,鋼筋混凝土造,84年1月25日,十三層,
RPROMLMKKHPFFCF38CC,8,112.21,住家用,鋼筋混凝土造,101年2月23日,十五層,
RPROMLMKKHPFFCF38CC,8,23.38,見其他登記事項,鋼筋混凝土造,101年2月23日,十五層,
RPROMLMKKHPFFCF38CC,8,10.86,見其他登記事項,鋼筋混凝土造,101年2月23日,十五層,
RPROMLMKKHPFFCF38CC,8,29.80,見其他登記事項,鋼筋混凝土造,101年2月23日,十五層,
RPTPMLMKKHPFFHF56CC,25,71.16,住家用,鋼筋混凝土造,84年7月15日,七層,
RPTPMLMKKHPFFHF56CC,25,9.45,共有部份,鋼筋混凝土造,84年7月15日,七層,
RPRPMLMKKHPFFCF48CC,36,66.36,住家用,鋼筋混凝土造,72年11月10日,五層,
RPVPMLMKKHPFFHF76CC,3,80.35,見其他登記事項,見其他登記事項,106年1月20日,十五層,
RPVPMLMKKHPFFHF76CC,3,13.01,見其他登記事項,見其他登記事項,106年1月20日,十五層,
RPVPMLMKKHPFFHF76CC,3,21.26,見其他登記事項,見其他登記事項,106年1月20日,十五層,
RPWPMLMKKHPFFHF86CC,32,118.55,住家用,鋼筋混凝土造,77年5月11日,五層,
RPXPMLMKKHPFFHF96CC,4,53.73,見其他登記事項,見其他登記事項,105年7月26日,十七層,
RPXPMLMKKHPFFHF96CC,4,26.51,見其他登記事項,見其他登記事項,105年7月26日,十七層,
RPQOMLMKKHPFFEF48CC,28,23.14,住家用,鋼筋混凝土造,80年12月6日,六層,
RPWPMLMKKHPFFGF76CC,48,57.00,住家用,加強磚造,61年6月5日,四層,
RPWQMLMKKHPFFEF66CC,6,118.00,住家用,鋼筋混凝土造,102年9月9日,十五層,
RPTPMLMKKHPFFGF09CC,12,78.52,住家用,鋼筋混凝土造,96年12月24日,十二層,
RPTPMLMKKHPFFGF09CC,12,52.51,共有部份,鋼筋混凝土造,96年12月24日,十二層,
RPTPMLMKKHPFFGF09CC,12,19.20,共有部份,鋼筋混凝土造,96年12月24日,十二層,
RPTRMLMKKHPFFEF09CC,7,112.93,住家用,鋼筋混凝土造,101年11月15日,十五層,
RPTRMLMKKHPFFEF09CC,7,32.26,見其他登記事項,鋼筋混凝土造,101年11月15日,十五層,
RPTRMLMKKHPFFEF09CC,7,48.47,見其他登記事項,鋼筋混凝土造,101年11月15日,十五層,
RPVRMLMKKHPFFEF66CC,2,80.55,住家用,鋼筋混凝土造,106年12月29日,二十七層,
RPVRMLMKKHPFFEF66CC,2,37.32,見其他登記事項,鋼筋混凝土造,106年12月29日,二十七層,
RPRNMLMKKHPFFDF38CC,3,34.64,見其他登記事項,見其他登記事項,105年8月10日,十五層,
RPOSMLMKKHPFFEF68CC,3,57.47,住家用,鋼筋混凝土造,105年10月21日,十五層,
RPRNMLMKKHPFFDF38CC,3,5.33,見其他登記事項,見其他登記事項,105年8月10日,十五層,
RPOSMLMKKHPFFEF68CC,3,25.63,見其他登記事項,鋼筋混凝土造,105年10月21日,十五層,
RPRNMLMKKHPFFDF38CC,3,34.38,見其他登記事項,見其他登記事項,105年8月10日,十五層,
RPVNMLMKKHPFFBF58CC,25,73.71,住家用,鋼筋混凝土造,84年4月19日,十一層,
RPVNMLMKKHPFFBF58CC,25,38.89,共有部份,鋼筋混凝土造,84年4月19日,十二層,
RPSSMLMKKHPFFEF09CC,6,62.88,住家用,鋼筋混凝土造,102年11月11日,二十三層,
RPSSMLMKKHPFFEF09CC,6,26.09,見其他登記事項,鋼筋混凝土造,102年11月11日,二十三層,
RPXOMLMKKHPFFDF09CC,22,49.16,住家用,鋼筋混凝土造,86年11月21日,六層,
RPXOMLMKKHPFFDF09CC,22,8.61,見其他登記事項,鋼筋混凝土造,86年11月21日,六層,
RPWNMLMKKHPFFBF68CC,20,66.62,見其他登記事項,鋼筋混凝土造,88年11月16日,十四層,
RPWNMLMKKHPFFBF68CC,20,25.64,共有部份,鋼筋混凝土造,88年11月16日,十四層,
RPRNMLMKKHPFFBF18CC,26,58.12,住家用,鋼筋混凝土造,83年6月7日,十二層,
RPRNMLMKKHPFFBF18CC,26,13.59,共有部份,鋼筋混凝土造,83年6月7日,十二層,
RPRNMLMKKHPFFBF18CC,26,2.25,共有部份,鋼筋混凝土造,83年6月7日,十二層,
RPPOMLMKKHPFFBF08CC,3,86.53,見其他登記事項,鋼筋混凝土造,105年11月29日,十四層,
RPPOMLMKKHPFFBF08CC,3,76.93,見其他登記事項,鋼筋混凝土造,105年11月29日,十四層,
RPORMLMKKHPFFBF28CC,28,141.64,住家用,鋼筋混凝土造,81年1月31日,十二層,
RPORMLMKKHPFFBF28CC,28,18.69,共有部份,鋼筋混凝土造,81年1月31日,十二層,
RPORMLMKKHPFFBF28CC,28,48.65,共有部份,鋼筋混凝土造,81年1月31日,十二層,
RPVQMLMKKHPFFBF88CC,36,100.40,見其他登記事項,鋼筋混凝土造,73年3月31日,十四層,
RPVQMLMKKHPFFBF88CC,36,12.46,共有部份,鋼筋混凝土造,73年3月31日,十四層,
RPVQMLMKKHPFFBF88CC,36,.92,共有部份,鋼筋混凝土造,73年3月31日,十四層,
RPVSMLMKKHPFFBF09CC,,54.62,見其他登記事項,鋼筋混凝土造,108年7月23日,二十八層,
RPVSMLMKKHPFFBF09CC,,54.40,見其他登記事項,鋼骨鋼筋混凝土造,108年7月23日,二十八層,
RPVSMLMKKHPFFBF09CC,,1.30,見其他登記事項,鋼骨鋼筋混凝土造,108年7月23日,二十八層,
RPRNMLNKKHPFFBF28CC,40,196.56,工業用,鋼筋混凝土造,69年4月21日,二層,
RPRNMLNKKHPFFEF58CC,12,88.58,住家用,鋼筋混凝土造,97年6月9日,十五層,
RPRNMLNKKHPFFEF58CC,12,61.74,共有部份,鋼筋混凝土造,97年6月9日,十五層,
RPWNMLNKKHPFFEF09CC,4,84.06,住家用,鋼筋混凝土造,104年8月19日,十四層,
