編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLTKKHPFFAG58CA,42,125.43,住家用,見其他登記事項,66年10月3日,二層,騎樓 一層 二層
RPROMLSKKHPFFAG68CA,46,77.87,住家用,磚造,62年12月7日,一層,一層
RPUOMLNKKHPFFBG58CA,24,67.94,住家用,鋼筋混凝土造,84年9月18日,六層,二層 夾層
RPUOMLNKKHPFFBG58CA,24,9.93,共有部分,鋼筋混凝土造,84年9月18日,六層,
RPUOMLNKKHPFFBG58CA,24,14.95,共有部分,鋼筋混凝土造,84年9月18日,六層,
RPRNMLNKKHPFFBG18CA,4,311.26,見其他登記事項,鋼筋混凝土造,104年9月3日,四層,一層 二層 三層 四層
RPTNMLOKKHPFFBG48CA,27,180.17,住家用,鋼筋混凝土造,82年5月3日,三層,一層 二層 三層
RPUNMLNKKHPFFBG48CA,3,302.25,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPUNMLNKKHPFFBG48CA,3,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPSOMLLLKHPFFBG28CA,9,108.24,見其他登記事項,鋼筋混凝土造,100年4月14日,七層,五層
RPSOMLLLKHPFFBG28CA,9,71.11,見其他登記事項,鋼筋混凝土造,100年4月14日,七層,
RPWNMLOKKHPFFBG78CA,10,345.34,見其他登記事項,見其他登記事項,99年5月31日,三層,一層 二層 三層 見其他登記事項
RPSNMLOLKHPFFBG48CA,9,129.90,見其他登記事項,鋼筋混凝土造,100年4月14日,七層,六層
RPSNMLOLKHPFFBG48CA,9,85.34,見其他登記事項,鋼筋混凝土造,100年4月14日,七層,
RPXNMLSKKHPFFBG66CA,42,114.08,住商用,鋼筋混凝土加強磚造,66年12月23日,二層,一層 二層 騎樓
RPRNMLTJLHPFFBG78CA,,223.79,見其他登記事項,鋼筋混凝土造,108年11月27日,四層,一層 二層 三層 四層 見其他登記事項
RPWOMLNJLHPFFBG78CA,1,167.39,見其他登記事項,鋼筋混凝土造,108年1月4日,三層,一層 二層 三層 見其他登記事項
RPSNMLTJLHPFFBG88CA,,223.23,見其他登記事項,鋼筋混凝土造,108年11月27日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLMKLHPFFBG08CA,,222.37,見其他登記事項,鋼筋混凝土造,108年11月27日,四層,四層 見其他登記事項 一層 二層 三層
RPOOMLNKKHPFFAG97DA,26,54.28,住家用,鋼筋混凝土造,82年8月12日,五層,三層
RPOOMLNKKHPFFAG97DA,26,1.82,見其他登記事項,見其他登記事項,82年8月12日,五層,
RPPOMLLKKHPFFAG97EA,4,384.43,住家用,見其他登記事項,104年12月24日,三層,一層 二層 三層 見其他登記事項
RPUNMLMKKHPFFAG48EA,7,268.43,農舍,見其他登記事項,101年12月25日,三層,一層 二層 三層 屋頂突出物
RPUNMLMKKHPFFAG48EA,7,56.77,見其他登記事項,見其他登記事項,101年12月25日,一層,一層
RPTOMLOKKHPFFAG68EA,,93.50,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPSOMLOKKHPFFAG58EA,24,2.77,見其他登記事項,鋼筋混凝土造,85年2月17日,七層,
