編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLNKKHPFFAH18CA,25,2.26,共有部份,鋼筋混凝土造,84年1月5日,十五層,
RPOQMLNKKHPFFAH18CA,25,102.58,住家用,鋼筋混凝土造,84年1月5日,十五層,十一層
RPOQMLNKKHPFFAH18CA,25,10.45,共有部份,鋼筋混凝土造,84年1月5日,十五層,
RPORMLNKKHPFFAH28CA,27,124.58,住家用,鋼筋混凝土造,81年8月20日,十六層,四層
RPORMLNKKHPFFAH28CA,27,33.46,見其他登記事項,鋼筋混凝土造,81年8月20日,十六層,地下二層
RPORMLNKKHPFFAH28CA,27,34.27,共有部份,鋼筋混凝土造,81年8月20日,十六層,
RPROMLPKKHPFFAH48CA,,109.76,住家用,鋼筋混凝土造,108年11月1日,十三層,六層
RPROMLPKKHPFFAH48CA,,117.82,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPROMLPKKHPFFAH48CA,,29.03,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPWNMLRKKHPFFAH09CA,7,155.93,住家用,鋼筋混凝土造,102年3月19日,十層,七層
RPWNMLRKKHPFFAH09CA,7,201.10,見其他登記事項,鋼筋混凝土造,102年3月19日,十層,
RPSOMLPKKHPFFAH58CA,,109.76,住家用,鋼筋混凝土造,108年11月1日,十三層,七層
RPSOMLPKKHPFFAH58CA,,70.56,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPSOMLPKKHPFFAH58CA,,29.03,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPWNMLOKKHPFFAH78CA,15,77.86,住家用,鋼筋混凝土造,93年7月23日,十二層,十二層
RPWNMLOKKHPFFAH78CA,15,14.86,共有部份,鋼筋混凝土造,93年7月23日,十二層,
RPWNMLOKKHPFFAH78CA,15,10.30,共有部份,鋼筋混凝土造,93年7月23日,十二層,
RPWNMLOKKHPFFAH78CA,15,.03,見其他登記事項,鋼筋混凝土造,93年7月23日,十二層,一層
RPWNMLOKKHPFFAH78CA,15,27.34,共有部份,鋼筋混凝土造,93年7月23日,十二層,
RPUOMLPKKHPFFAH78CA,,89.42,住家用,鋼筋混凝土造,108年11月1日,十三層,八層
RPUOMLPKKHPFFAH78CA,,66.21,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPUOMLPKKHPFFAH78CA,,22.14,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPQNMLMKKHPFFAH97CA,2,31.49,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPQNMLMKKHPFFAH97CA,2,182.40,住家用,鋼筋混凝土造,107年5月7日,二十四層,二十一層
RPQNMLMKKHPFFAH97CA,2,102.36,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPVNMLRKKHPFFAH98CA,7,152.74,住家用,鋼筋混凝土造,102年3月19日,十層,七層
RPVNMLRKKHPFFAH98CA,7,156.93,見其他登記事項,鋼筋混凝土造,102年3月19日,十層,
RPPOMLPKKHPFFAH28CA,,109.76,住家用,鋼筋混凝土造,108年11月1日,十三層,五層
RPPOMLPKKHPFFAH28CA,,70.56,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPPOMLPKKHPFFAH28CA,,29.03,見其他登記事項,鋼筋混凝土造,108年11月1日,十三層,
RPOQMLTKKHPFFAH78CA,16,83.99,住家用,鋼筋混凝土造,92年10月30日,八層,八層
RPOQMLTKKHPFFAH78CA,16,.08,見其他登記事項,鋼筋混凝土造,92年10月30日,八層,一層
RPOQMLTKKHPFFAH78CA,16,26.42,共有部份,鋼筋混凝土造,92年10月30日,八層,
RPOQMLTKKHPFFAH78CA,16,10.40,共有部份,鋼筋混凝土造,92年10月30日,八層,
RPOQMLTKKHPFFAH78CA,16,21.82,共有部份,鋼筋混凝土造,92年10月30日,八層,
RPTPMLSKKHPFFAH09CA,4,112.35,住家用,鋼筋混凝土造,104年5月28日,十七層,十層
RPTPMLSKKHPFFAH09CA,4,84.65,見其他登記事項,鋼筋混凝土造,104年5月28日,十七層,
RPVPMLLLKHPFFAH68CA,34,121.22,住家用,鋼筋混凝土造,74年11月26日,七層,三層
RPVPMLLLKHPFFAH68CA,34,7.10,共有部份,鋼筋混凝土造,74年11月26日,七層,
RPOQMLLLKHPFFAH08CA,29,26.94,見其他登記事項,鋼筋混凝土造,80年3月19日,十三層,六層
RPOQMLLLKHPFFAH08CA,29,5.21,見其他登記事項,鋼筋混凝土造,80年3月19日,十三層,
RPOQMLLLKHPFFAH08CA,29,5.59,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPOQMLLLKHPFFAH08CA,29,5.01,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPOQMLLLKHPFFAH08CA,29,25.17,見其他登記事項,鋼筋混凝土造,80年3月19日,十三層,六層
RPOQMLLLKHPFFAH08CA,29,4.66,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPOQMLLLKHPFFAH08CA,29,5.23,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPOQMLLLKHPFFAH08CA,29,4.87,見其他登記事項,鋼筋混凝土造,80年3月19日,十三層,
RPQNMLPLKHPFFAH38CA,24,37.42,見其他登記事項,鋼筋混凝土造,85年5月9日,十三層,地下二層
RPUQMLLLKHPFFAH68CA,16,44.40,住家用,鋼筋混凝土造,92年11月14日,十四層,十層
RPUQMLLLKHPFFAH68CA,16,9.60,共有部份,鋼筋混凝土造,92年11月14日,十四層,
RPUQMLLLKHPFFAH68CA,16,7.69,共有部份,鋼筋混凝土造,92年11月14日,十四層,
RPRNMLOLKHPFFAH38CA,1,45.27,見其他登記事項,鋼筋混凝土造,108年6月12日,七層,一層
RPRNMLOLKHPFFAH38CA,1,43.99,見其他登記事項,鋼筋混凝土造,108年6月12日,七層,
RPVNMLOLKHPFFAH78CA,,91.94,住家用,鋼筋混凝土造,108年7月22日,十五層,四層
RPVNMLOLKHPFFAH78CA,,68.60,見其他登記事項,鋼筋混凝土造,108年7月22日,十五層,
RPUNMLOLKHPFFAH68CA,,89.90,住家用,鋼筋混凝土造,108年7月22日,十五層,十三層
RPUNMLOLKHPFFAH68CA,,66.83,見其他登記事項,鋼筋混凝土造,108年7月22日,十五層,
RPTSMLRLKHPFFAH76CA,,82.34,住家用,鋼筋混凝土造,108年10月1日,十五層,十三層
RPTSMLRLKHPFFAH76CA,,74.50,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPXSMLRLKHPFFAH17CA,,88.05,住家用,鋼筋混凝土造,108年10月1日,十四層,十四層
RPXSMLRLKHPFFAH17CA,,77.10,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPVSMLRLKHPFFAH96CA,,61.32,住家用,鋼筋混凝土造,108年10月1日,十五層,十四層
RPVSMLRLKHPFFAH96CA,,64.50,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPOTMLRLKHPFFAH98CA,,82.34,住家用,鋼筋混凝土造,108年10月1日,十五層,十一層
RPOTMLRLKHPFFAH98CA,,74.50,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPUSMLRLKHPFFAH86CA,,61.32,住家用,鋼筋混凝土造,108年10月1日,十五層,四層
RPUSMLRLKHPFFAH86CA,,64.50,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPWSMLRLKHPFFAH07CA,,82.34,住家用,鋼筋混凝土造,108年10月1日,十五層,十一層
RPWSMLRLKHPFFAH07CA,,74.50,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPQNMLSLKHPFFAH68CA,28,58.10,共有部份,鋼筋混凝土造,81年3月25日,六層,
RPQNMLSLKHPFFAH68CA,28,147.07,住家用,鋼筋混凝土造,81年3月25日,六層,三層
RPQTMLRLKHPFFAH56CA,,106.65,住家用,鋼筋混凝土造,108年10月1日,十五層,二層
RPQTMLRLKHPFFAH56CA,,121.77,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPPTMLRLKHPFFAH09CA,,91.31,住家用,鋼筋混凝土造,108年10月1日,十四層,十層
RPPTMLRLKHPFFAH09CA,,78.77,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPRNMLLJLHPFFAH97CA,25,75.20,住家用,鋼筋混凝土造,83年7月13日,十七層,十四層
RPRNMLLJLHPFFAH97CA,25,12.94,共有部份,鋼筋混凝土造,83年7月13日,十七層,
RPRNMLLJLHPFFAH97CA,25,10.07,共有部份,鋼筋混凝土造,83年7月13日,十七層,
RPRTMLRLKHPFFAH66CA,,61.32,住家用,鋼筋混凝土造,108年10月1日,十五層,十一層
RPRTMLRLKHPFFAH66CA,,64.50,見其他登記事項,鋼筋混凝土造,108年10月1日,十五層,
RPTOMLOKKHPFFBH68CA,43,81.00,住家用,加強磚造,66年4月1日,二層,一層 二層
RPSRMLNKKHPFFBH78CA,26,63.93,住家用,鋼筋混凝土造,83年1月21日,五層,五層
RPSRMLNKKHPFFBH78CA,26,8.66,共有部分,鋼筋混凝土造,83年1月21日,五層,
RPSRMLNKKHPFFBH78CA,26,84.57,住家用,鋼筋混凝土造,83年1月21日,五層,五層
RPSRMLNKKHPFFBH78CA,26,11.54,共有部分,鋼筋混凝土造,83年1月21日,五層,
RPSQMLNKKHPFFBH68CA,8,247.11,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,九層
RPSQMLNKKHPFFBH68CA,8,35.58,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,
RPSQMLNKKHPFFBH68CA,8,26.63,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,
RPSQMLNKKHPFFBH68CA,8,112.34,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,
RPSRMLMKKHPFFBH68CA,2,93.82,見其他登記事項,鋼筋混凝土造,106年6月29日,二十一層,十層
RPSRMLMKKHPFFBH68CA,2,80.73,見其他登記事項,鋼筋混凝土造,106年6月29日,二十一層,
RPURMLMKKHPFFBH88CA,8,77.20,見其他登記事項,鋼筋混凝土造,100年7月20日,十四層,六層
RPURMLMKKHPFFBH88CA,8,69.69,見其他登記事項,鋼筋混凝土造,100年7月20日,十四層,
RPWPMLOKKHPFFBH09CA,,44.49,見其他登記事項,鋼筋混凝土造,108年7月15日,五層,五層
RPWPMLOKKHPFFBH09CA,,12.32,見其他登記事項,鋼筋混凝土造,108年7月15日,五層,
RPRRMLMKKHPFFBH58CA,2,125.33,見其他登記事項,鋼筋混凝土造,106年6月29日,二十一層,四層
RPRRMLMKKHPFFBH58CA,2,95.77,見其他登記事項,鋼筋混凝土造,106年6月29日,二十一層,
RPXNMLPKKHPFFBH09CA,,17.94,見其他登記事項,鋼筋混凝土造,108年10月1日,九層,
RPXNMLPKKHPFFBH09CA,,88.60,見其他登記事項,鋼筋混凝土造,108年10月1日,九層,三層
RPXNMLPKKHPFFBH09CA,,38.30,見其他登記事項,鋼筋混凝土造,108年10月1日,九層,
RPQQMLOLKHPFFBH68CA,,38.25,見其他登記事項,鋼筋混凝土造,108年7月30日,七層,六層
RPQQMLOLKHPFFBH68CA,,22.93,見其他登記事項,鋼筋混凝土造,108年7月30日,七層,
RPUONLRKKHPFFBH56CA,12,32.80,住家用,鋼筋混凝土造,97年4月6日,二十二層,八層
RPUONLRKKHPFFBH56CA,12,1.92,共有部分,鋼筋混凝土造,97年4月6日,二十二層,
RPUONLRKKHPFFBH56CA,12,1.68,共有部分,鋼筋混凝土造,97年4月6日,二十二層,
RPUONLRKKHPFFBH56CA,12,7.49,共有部分,鋼筋混凝土造,97年4月6日,二十二層,
RPUONLRKKHPFFBH56CA,12,.41,共有部分,鋼筋混凝土造,97年4月6日,二十二層,
RPUONLRKKHPFFBH56CA,12,.71,共有部分,鋼筋混凝土造,97年4月6日,二十二層,
RPRQMLOLKHPFFBH78CA,,36.37,見其他登記事項,鋼筋混凝土造,108年7月30日,七層,七層
RPRQMLOLKHPFFBH78CA,,21.83,見其他登記事項,鋼筋混凝土造,108年7月30日,七層,
RPSQMLOLKHPFFBH88CA,,38.25,見其他登記事項,鋼筋混凝土造,108年7月30日,七層,七層
RPSQMLOLKHPFFBH88CA,,22.93,見其他登記事項,鋼筋混凝土造,108年7月30日,七層,
SPSQMLOLKHPFFBH98CA,,36.57,見其他登記事項,鋼筋混凝土造,108年7月30日,七層,四層
