編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPORMLNKKHPFFAH28CA,坡道平面,0,
RPROMLPKKHPFFAH48CA,坡道平面,0,47.26
RPROMLPKKHPFFAH48CA,坡道平面,0,47.26
RPWNMLRKKHPFFAH09CA,坡道平面,0,
RPWNMLRKKHPFFAH09CA,坡道平面,0,
RPWNMLRKKHPFFAH09CA,坡道平面,0,
RPSOMLPKKHPFFAH58CA,坡道平面,1500000,47.26
RPWNMLOKKHPFFAH78CA,坡道平面,0,27.34
RPUOMLPKKHPFFAH78CA,坡道平面,1500000,47.26
RPQNMLMKKHPFFAH97CA,坡道平面,0,25.05
RPQNMLMKKHPFFAH97CA,坡道平面,0,25.05
RPVNMLRKKHPFFAH98CA,坡道平面,0,
RPVNMLRKKHPFFAH98CA,坡道平面,0,
RPPOMLPKKHPFFAH28CA,坡道平面,1500000,47.26
RPOQMLTKKHPFFAH78CA,坡道平面,0,
RPTPMLSKKHPFFAH09CA,坡道平面,1750000,31.27
RPQNMLPLKHPFFAH38CA,坡道平面,1300000,37.42
RPRNMLOLKHPFFAH38CA,坡道平面,1800000,22.85
RPVNMLOLKHPFFAH78CA,坡道平面,1850000,25.57
RPUNMLOLKHPFFAH68CA,坡道平面,1850000,24.48
RPTSMLRLKHPFFAH76CA,坡道平面,1700000,35.58
RPXSMLRLKHPFFAH17CA,坡道平面,1800000,35.58
RPVSMLRLKHPFFAH96CA,坡道平面,1700000,35.58
RPOTMLRLKHPFFAH98CA,坡道平面,1700000,35.58
RPUSMLRLKHPFFAH86CA,坡道平面,1700000,35.58
RPWSMLRLKHPFFAH07CA,坡道平面,1700000,35.58
RPQNMLSLKHPFFAH68CA,坡道平面,0,
RPQTMLRLKHPFFAH56CA,坡道平面,0,35.58
RPQTMLRLKHPFFAH56CA,坡道平面,0,35.58
RPPTMLRLKHPFFAH09CA,坡道平面,1700000,35.58
RPRTMLRLKHPFFAH66CA,坡道平面,1800000,35.58
RPSQMLNKKHPFFBH68CA,坡道平面,0,
RPSQMLNKKHPFFBH68CA,坡道平面,0,
RPSRMLMKKHPFFBH68CA,坡道平面,0,34.34
RPURMLMKKHPFFBH88CA,坡道平面,0,36.90
RPRRMLMKKHPFFBH58CA,坡道平面,0,34.34
RPXNMLPKKHPFFBH09CA,坡道平面,1000000,24.31
RPSPMLQLKHPFFBH98CA,坡道平面,0,
RPPQMLNJLHPFFBH38CA,坡道平面,0,31.34
RPPQMLNJLHPFFBH38CA,坡道平面,0,31.34
RPPQMLNJLHPFFBH38CA,坡道平面,0,31.34
RPWPMLNJLHPFFBH98CA,坡道平面,0,31.34
RPWPMLNJLHPFFBH98CA,坡道平面,0,31.34
RPQNMLSJLHPFFBH68CA,坡道機械,1000000,17.11
RPSNMLSJLHPFFBH88CA,坡道機械,800000,17.11
SPWNMLSJLHPFFBH76CA,坡道機械,1000000,17.11
RPTNMLSJLHPFFBH98CA,坡道機械,800000,17.11
RPVNMLSJLHPFFBH56CA,坡道機械,1000000,17.11
RPWNMLSJLHPFFBH66CA,坡道機械,1000000,17.11
RPOPMLTJLHPFFBH78CA,坡道平面,1550000,34.16
RPQPMLTJLHPFFBH98CA,坡道機械,800000,17.11
RPPPMLTJLHPFFBH88CA,坡道平面,0,34.16
RPPPMLTJLHPFFBH88CA,坡道平面,0,34.16
SPQPMLTJLHPFFBH09CA,坡道機械,800000,17.11
RPVRMLTJLHPFFBH07CA,坡道平面,1500000,25.89
RPPSMLTJLHPFFBH56CA,坡道平面,1500000,25.89
TPQPMLTJLHPFFBH56CA,坡道機械,800000,17.11
RPURMLTJLHPFFBH96CA,坡道平面,1600000,25.89
RPRPMLTJLHPFFBH09CA,坡道平面,1500000,34.16
RPSSMLTJLHPFFBH86CA,坡道平面,1500000,25.89
RPRSMLTJLHPFFBH76CA,坡道平面,1450000,25.89
RPTSMLTJLHPFFBH96CA,坡道平面,1500000,25.89
RPQSMLTJLHPFFBH66CA,坡道平面,1650000,25.89
RPXRMLTJLHPFFBH27CA,坡道平面,1500000,25.89
RPWUMLTJLHPFFBH47CA,坡道平面,0,34.16
RPWUMLTJLHPFFBH47CA,坡道平面,0,34.16
RPXOMLMKKHPFFCH98CA,一樓平面,0,
RPUSMLTJLHPFFBH07CA,坡道平面,1550000,25.89
RPUNMLNKKHPFFCH68CA,坡道平面,0,31.40
RPPNMLLJLHPFFCH97CA,坡道平面,1300000,31.46
