編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSQMLLKKHPFFAH58CC,中埔段,3.24,都市：住
RPSQMLLKKHPFFAH58CC,中埔段,5.28,都市：住
RPRNMLLKKHPFFHH88CC,南美段,.00,都市：住
RPRNMLLKKHPFFHH88CC,南美段,.00,都市：住
RPSNMLLKKHPFFHH98CC,精忠段,17.54,都市：住
RPVOMLLKKHPFFBH78CC,忠孝段,43.40,都市：其他
RPTQMLLKKHPFFAH68CC,大樹林段,6.39,都市：住
RPWNMLLKKHPFFEH09CC,上興段,2538.84,都市：工
RPWNMLLKKHPFFEH09CC,開南段,383.23,都市：農
RPPPMLLKKHPFFAH18CC,桃園段武陵小段,10.79,都市：商
RPOOMLLKKHPFFEH38CC,錦興段,.00,都市：住
RPQQMLLKKHPFFBH48CC,興南段公坡小段,.00,都市：農
RPVQMLLKKHPFFAH88CC,大樹林段,7.83,都市：住
RPUOMLMKKHPFFAH78DC,大樹林段,129.00,都市：住
RPUOMLMKKHPFFAH78DC,大樹林段,114.00,都市：住
RPUNMLMKKHPFFBH68CC,中工段,36.95,都市：住
RPRNMLMKKHPFFFH88DC,明智段,40.15,都市：住
RPXNMLMKKHPFFAH88CC,忠義段,.00,都市：住
RPTNMLNKKHPFFGH56CC,廣平段,35.25,都市：住
RPVOMLNKKHPFFGH86CC,廣豐段,.00,都市：住
RPTPMLLKKHPFFEH98CC,竹中段,77.43,都市：住
RPUOMLNKKHPFFAH78CC,中路段,.00,都市：商
RPUOMLNKKHPFFAH78CC,中路段,.00,都市：住
RPOOMLMKKHPFFCH28CC,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLMKKHPFFCH28CC,潛龍段,37.16,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNKKHPFFAH88CC,同安段,.00,都市：住
RPVPMLNKKHPFFAH98CC,龍祥段,.00,都市：住
RPXPMLNKKHPFFAH56CC,小檜溪段,.00,都市：住
RPXPMLNKKHPFFAH56CC,小檜溪段,.00,都市：住
RPXQMLNKKHPFFAH66CC,慈文段,.00,都市：住
RPPQMLNKKHPFFAH48CC,介壽段,.00,都市：住
RPORMLNKKHPFFBH58CC,中壢埔頂段,.00,都市：住
RPTPMLNKKHPFFDH09CC,東寧段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
