編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLTKKHPFFAI88CA,彌陀段,202.00,都市：住
RPXNMLMKKHPFFAI78CA,北門段四小段,33.00,都市：商
RPXNMLMKKHPFFAI78CA,北門段四小段,25.00,都市：商
RPXNMLMKKHPFFAI78CA,北門段四小段,15.00,都市：商
RPXNMLMKKHPFFAI78CA,北門段四小段,6.00,都市：商
RPXNMLMKKHPFFAI78CA,北門段四小段,25.00,都市：商
RPXNMLMKKHPFFAI78CA,北門段四小段,192.00,都市：商
RPXNMLMKKHPFFAI78CA,北門段四小段,198.00,都市：商
RPTNMLQKKHPFFAI78CA,彌陀段,63.00,都市：住
RPQOMLMKKHPFFAI18CA,後庄段,114.00,都市：住
RPVNMLQLKHPFFAI09CA,竹圍子段,39.56,都市：其他
RPVNMLQLKHPFFAI09CA,竹圍子段,10.22,都市：住
RPVNMLQLKHPFFAI09CA,竹圍子段,1.78,都市：住
RPVNMLQLKHPFFAI09CA,竹圍子段,4.22,都市：其他
RPVNMLQLKHPFFAI09CA,竹圍子段,5.44,都市：住
RPTNMLKKLHPFFAI28CA,後庄段,7.00,都市：其他
RPSOMLLLKHPFFAI38CA,劉厝段,52.00,都市：住
RPOOMLRLKHPFFAI58CA,台斗坑段,105.00,都市：住
RPOOMLRLKHPFFAI58CA,台斗坑段,115.00,都市：住
RPOOMLRLKHPFFAI58CA,台斗坑段,1.20,都市：住
RPOOMLRLKHPFFAI58CA,台斗坑段,15.00,都市：其他
RPOOMLRLKHPFFAI58CA,台斗坑段,3.05,都市：住
RPXNMLOKKHPFFAI98CA,湖內段,104.00,都市：住
RPXNMLOKKHPFFAI98CA,湖內段,3.00,都市：其他
RPUNMLKKLHPFFAI38CA,頂庄段,3.85,都市：其他
RPXNMLTJLHPFFAI86CA,同興段,24.60,都市：住
RPQNMLKKLHPFFAI97CA,長竹段,1.65,都市：住
RPQNMLKKLHPFFAI97CA,長竹段,20.00,都市：住
RPQNMLKKLHPFFAI97CA,長竹段,133.00,都市：住
RPVNMLKKLHPFFAI48CA,頂庄段,19.87,都市：其他
RPVNMLKKLHPFFAI48CA,頂庄段,1.42,都市：其他
RPWNMLKKLHPFFAI58CA,頂庄段,156.00,都市：其他
RPWNMLKKLHPFFAI58CA,頂庄段,1.00,都市：其他
RPPOMLTJLHPFFAI78CA,盧厝段,94.00,都市：住
RPXNMLPLKHPFFAI56CA,竹圍子段,58.00,都市：住
RPQOMLOLKHPFFAI48CA,竹圍子段,93.00,都市：住
RPQOMLOLKHPFFAI48CA,竹圍子段,52.00,都市：住
RPQOMLOLKHPFFAI48CA,竹圍子段,62.00,都市：住
RPQOMLOLKHPFFAI48CA,竹圍子段,48.00,都市：其他
RPQOMLOLKHPFFAI48CA,竹圍子段,2.00,都市：其他
RPQOMLOLKHPFFAI48CA,竹圍子段,9.00,都市：其他
RPWNMLOKKHPFFAI88CA,劉厝段劉厝小段,18.69,都市：商
RPUOMLLLKHPFFAI58CA,北園段,15.16,都市：住
RPOOMLMKKHPFFAI18EA,西門段三小段,18.57,都市：商
RPWNMLNKKHPFFAI78CA,白川段,6.36,都市：住
RPVNMLNKKHPFFAI68CA,港子坪段港坪小段,8.61,都市：住
RPQNMLOKKHPFFAI48EA,雲檜段,21.11,都市：住
RPRNMLSKKHPFFAI78CA,遠東段,4.67,都市：住
RPQOMLOKKHPFFAI38CA,湖內段,871.50,都市：工
RPVNMLLLKHPFFAI78EA,竹圍子段三小段,24.73,都市：住
RPVNMLOKKHPFFAI78CA,劉厝段玉山小段,200.73,都市：住
RPQNMLQJLHPFFAI68EA,東川段,37.34,都市：住
RPPNMLQKKHPFFAI38CA,荖藤段,413.00,都市：農
RPSNMLQKKHPFFAI68CA,車店段車店小段,4.76,都市：住
RPQOMLLLKHPFFAI18CA,白川段,36.96,都市：住
RPUNMLQKKHPFFAI88CA,遠東段,16.80,都市：住
RPROMLLLKHPFFAI28CA,白川段,32.98,都市：住
RPPNMLLJLHPFFAI87CA,竹圍子段二小段,13.72,都市：住
RPUNMLMLKHPFFAI58CA,玉川段,41.00,都市：住
RPUNMLMLKHPFFAI58CA,玉川段,5.00,都市：住
RPQNMLMKLHPFFAI18CA,北社尾段,57.00,都市：住
RPQNMLMKLHPFFAI18CA,北社尾段,4.00,都市：其他
RPPNMLMJLHPFFAI97CA,竹圍子段二小段,9.63,都市：住
RPVNMLNJLHPFFAI68CA,八掌段,52.87,都市：農
RPVNMLNJLHPFFAI68CA,八掌段,498.23,都市：農
RPQNMLMJLHPFFAI08CA,下路頭段,7.61,都市：住
