編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLQLKHPFFAI88CC,車店段車店小段,106.00,都市：住
RPQOMLQLKHPFFAI88CC,車店段車店小段,106.00,都市：住
RPWNMLLLKHPFFAI88CC,新太平段,14.59,都市：住
RPQNMLOLKHPFFAI78EC,黑金段,93.00,都市：住
RPQNMLOLKHPFFAI78EC,黑金段,94.00,都市：住
RPQNMLOLKHPFFAI78EC,黑金段,5.00,都市：住
RPQNMLOLKHPFFAI78EC,黑金段,5.00,都市：住
RPSNMLPLKHPFFAI88CC,中山段五小段,.09,都市：住
RPSNMLPLKHPFFAI88CC,中山段五小段,.36,都市：住
RPSNMLPLKHPFFAI88CC,中山段五小段,23.49,都市：住
RPSNMLPLKHPFFAI88CC,中山段五小段,.54,都市：住
RPWNMLKLKHPFFAI78CC,榮段五小段,216.00,都市：商
RPXNMLLLKHPFFAI98CC,新太平段,9.73,都市：住
RPOOMLQJLHPFFAI58CC,盧厝段,38.35,都市：住
RPUNMLTJLHPFFAI76CC,檜段三小段,.00,非都市： ; 非都市編定：
RPVNMLRJLHPFFAI66CC,新太平段,3.50,都市：住
RPXNMLKLLHPFFAI98CC,黑金段,85.00,都市：商
RPQNMLPLKHPFFAI68CC,榮段二小段,57.00,都市：商
RPQNMLPLKHPFFAI68CC,榮段二小段,10.00,都市：住
RPOOMLKLLHPFFAI18CC,埤子頭段,7.80,都市：商
RPSNMLNLLHPFFAI78CC,湖內段,29.06,都市：商
RPTNMLNLLHPFFAI88CC,下埤段,199.06,都市：工
RPTNMLNLLHPFFAI88CC,下埤段,5.01,都市：工
RPOPMLQLLHPFFAI88CC,新太平段,14.58,都市：住
RPPNMLSLLHPFFAI98CC,新太平段,9.73,都市：住
RPXNMLLMLHPFFAI56CC,竹圍子段二小段,897.00,都市：住
RPSOMLRJMHPFFAI56CC,新太平段,9.73,都市：住
RPSPMLLMLHPFFAI98DC,新富段五小段,6.14,都市：商
RPPNMLRJMHPFFAI78CC,埤子頭段,29.00,都市：住
RPTNMLTJMHPFFAI76CC,遠東段,20.38,都市：住
RPUNMLTJMHPFFAI86CC,遠東段,20.04,都市：住
RPSPMLOKMHPFFAI56DC,西門段三小段,9.54,都市：商
RPSPMLOKMHPFFAI56DC,西門段三小段,2.39,都市：商
RPXNMLQKMHPFFAI96CC,新太平段,18.64,都市：住
RPTNMLOKMHPFFAI98CC,台斗坑段,60.00,都市：住
RPVNMLQKMHPFFAI76CC,新太平段,9.73,都市：住
RPSNMLOLMHPFFAI98CC,檜段三小段,.00,非都市： ; 非都市編定：
RPVNMLNLMHPFFAI76EC,新富段六小段,61.00,都市：商
RPSNMLSKMHPFFAI66CC,元段四小段,120.00,都市：商
RPSNMLSKMHPFFAI66CC,元段四小段,37.00,都市：商
RPQNMLSLMHPFFAI56CC,車店段車店小段,34.52,都市：住
RPQNMLKMMHPFFAI48CC,劉厝段玉山小段,196.65,都市：住
RPUNMLKMMHPFFAI88CC,遠東段,18.76,都市：住
RPVOMLOJNHPFFAI66CC,竹圍子段友愛小段,201.00,都市：住
RPVOMLOJNHPFFAI66CC,竹圍子段友愛小段,177.00,都市：住
RPVOMLOJNHPFFAI66CC,竹圍子段友愛小段,223.00,都市：住
RPVNMLRJNHPFFAI86CC,遠東段,13.06,都市：住
RPTNMLRJNHPFFAI66CC,北社尾段保安小段,.00,都市：住
