編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLOKKHPFFBK48CA,關爺埔段,1660.18,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMJLHPFFCK38CA,南和段,4254.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMJLHPFFCK38CA,南和段,296.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMJLHPFFCK38CA,南和段,281.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMJLHPFFCK38CA,南和段,548.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMJLHPFFCK38CA,南和段,252.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLNKKHPFFAK38CA,水頭寮段,1826.07,非都市： ; 非都市編定：
RPRNMLMKKHPFFDK68CA,大山腳段,873.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKKHPFFDK68CA,大山腳段,873.00,非都市： ; 非都市編定：
RPQNMLMKKHPFFDK58CA,造橋段,1784.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKKHPFFDK58CA,造橋段,412.00,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPTNMLPKKHPFFBK98CA,文發段,37.83,都市：住
RPUNMLMKKHPFFDK98CA,慈裕段,16.68,都市：其他
RPUNMLMKKHPFFDK98CA,慈裕段,15.07,都市：其他
RPUNMLMKKHPFFDK98CA,新博愛段,11.22,都市：其他
RPUNMLMKKHPFFDK98CA,新博愛段,29.12,都市：其他
RPQNMLLKKHPFFDK48CA,海口段海口小段,35.69,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLLKKHPFFDK48CA,海口段海口小段,2.70,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLLKKHPFFDK58CA,海口段海口小段,38.18,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLLKKHPFFDK58CA,海口段海口小段,2.89,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLOKKHPFFDK66CA,龍椅段,321.64,都市：住
RPSNMLMJLHPFFDK78CA,淡文湖段,2579.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTKKHPFFBK98CA,文發段,39.97,都市：住
RPSNMLMKKHPFFDK78CA,文化段,1.66,都市：住
RPSNMLMKKHPFFDK78CA,文化段,70.72,都市：住
RPSNMLMKKHPFFDK78CA,文化段,20.78,都市：住
RPPNMLTKKHPFFEK66CA,雙連潭段,1515.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLRKKHPFFFK17CA,中央段,4.36,都市：其他
RPWNMLMKKHPFFDK56CA,鹽館前段山子坪小段,94.00,都市：工
RPWNMLMKKHPFFDK56CA,鹽館前段山子坪小段,26.74,都市：工
RPOOMLTKKHPFFFK76CA,尖山下段,2560.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLTKKHPFFFK76CA,尖山下段,2535.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMKKHPFFFK68CA,義民段,95.09,都市：住
RPPNMLMKKHPFFFK68CA,義民段,1.00,都市：其他
RPPNMLOKKHPFFFK88CA,東庄段,32.09,都市：住
RPTNMLNKKHPFFFK56CA,湳湖段,93.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLNKKHPFFFK09CA,湳湖段,41.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLNKKHPFFFK98CA,後湖段,89.69,都市：住
RPUNMLNKKHPFFFK66CA,民族段,86.74,都市：住
RPTNMLRKKHPFFFK96CA,德義段,25.45,都市：住
RPSOMLTKKHPFFFK17CA,中央段,.01,都市：住
RPSOMLTKKHPFFFK17CA,中央段,100.85,都市：住
RPSOMLTKKHPFFFK17CA,中央段,2.32,都市：住
RPOOMLOKKHPFFFK88CA,中央段,33.65,都市：住
RPRNMLNKKHPFFDK78CA,東赤崎段,20.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,792.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,70.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,48.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,135.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,215.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,118.94,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,115.80,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,138.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,135.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,157.75,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,282.73,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,12.84,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLLKHPFFDK58CA,大西段,525.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLLLKHPFFDK78CA,大西段,127.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLLLKHPFFDK78CA,大西段,129.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLNKKHPFFFK98CA,上興段,19.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTNMLLLKHPFFDK88CA,西赤崎段,461.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTNMLLLKHPFFDK88CA,西赤崎段,2339.87,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTNMLLLKHPFFDK88CA,西赤崎段,445.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLPLKHPFFDK86CA,東崎頂段,119.57,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLPLKHPFFDK86CA,東崎頂段,39.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLNKKHPFFFK76CA,光華段,4.61,都市：商
RPVNMLNKKHPFFFK76CA,光華段,12.45,都市：商
RPPOMLKLKHPFFCK38CA,楓樹窩段,27711.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLMJLHPFFCK58CA,福興段,1.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHPFFCK48CA,楓樹窩段,306.00,非都市：山坡地保育區 ; 非都市編定：水利用地
RPQOMLKLKHPFFCK48CA,楓樹窩段,3118.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOKKHPFFDK68CA,新生段,12.31,都市：商
RPROMLKLKHPFFCK58CA,烏眉坑段,2569.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLSKKHPFFBK09CA,中義段,491.91,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLSKKHPFFBK66CA,館聖段,456.27,都市：住
RPUNMLLLKHPFFDK98CA,大西段,133.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
