編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTNMLPKKHPFFBK98CA,一樓平面,0,
RPQNMLLKKHPFFDK48CA,一樓平面,0,
RPRNMLLKKHPFFDK58CA,一樓平面,0,
RPPNMLTKKHPFFBK98CA,一樓平面,0,
RPSNMLNKKHPFFFK09CA,坡道平面,0,
RPTNMLRKKHPFFFK96CA,坡道平面,0,
RPOOMLOKKHPFFFK88CA,坡道平面,0,28.44
RPUNMLNKKHPFFDK09CA,一樓平面,0,
RPVNMLNKKHPFFFK76CA,坡道平面,1200000,27.80
RPVNMLNKKHPFFFK76CA,坡道平面,1100000,25.58
RPPNMLOKKHPFFDK68CA,坡道平面,0,
RPSOMLTKKHPFFBK76CA,坡道平面,0,21.97
RPROMLNJLHPFFDK88CA,一樓平面,0,
RPTNMLQJNHPFFBK66CA,坡道平面,0,
RPVNMLOJLHPFFDK66CA,坡道平面,0,
RPVNMLOJLHPFFDK66CA,坡道平面,0,
RPQNMLNKKHPFFDK68CA,坡道機械,0,13.89
RPXNMLOKKHPFFFK07CA,坡道平面,1000000,26.24
RPWNMLTKKHPFFFK47CA,一樓平面,0,
RPTNMLOKKHPFFFK66CA,坡道平面,0,25.58
RPRNMLRKKHPFFDK56CA,一樓平面,0,
RPQOMLMJLHPFFDK68CA,坡道平面,850000,37.33
RPUNMLSKKHPFFBK76CA,升降平面,0,
RPPNMLSKKHPFFCK98CA,一樓平面,0,
RPROMLMJLHPFFDK78CA,坡道平面,950000,37.33
RPTNMLPLKHPFFDK66CA,坡道平面,0,
RPVNMLKLKHPFFFK56CA,坡道平面,0,
RPROMLTKKHPFFFK07CA,一樓平面,0,
RPQNMLSKKHPFFFK76CA,坡道平面,900000,36.10
RPUNMLTKKHPFFFK27CA,坡道平面,0,27.51
RPRNMLRKKHPFFFK76CA,坡道平面,900000,26.60
RPPNMLSKKHPFFFK66CA,坡道平面,950000,37.20
RPRNMLSKKHPFFFK86CA,坡道平面,1000000,37.20
RPTNMLSKKHPFFFK07CA,坡道平面,1100000,
RPSNMLSKKHPFFFK96CA,坡道平面,900000,37.20
RPUNMLSKKHPFFFK17CA,坡道平面,850000,
RPSNMLRKKHPFFDK66CA,一樓平面,0,
RPRNMLOJLHPFFDK88CA,坡道平面,0,
RPRNMLOJLHPFFDK88CA,坡道平面,0,
RPSOMLQLKHPFFFK96CA,坡道平面,0,
RPTNMLNKLHPFFFK66CA,坡道平面,1000000,26.44
