編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLRKKHPFFAM66CA,新段,569.44,都市：住
RPTNMLRKKHPFFAM66CA,新段,975.30,都市：住
RPUNMLRLKHPFFAM86CA,新生段,568.00,都市：農
RPUNMLRLKHPFFAM86CA,新生段,570.00,都市：農
RPRNMLMKKHPFFBM68CA,大堀段,461.97,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLRLKHPFFAM96CA,新段,28.42,都市：住
RPVNMLRLKHPFFAM96CA,新段,53.61,都市：住
RPVNMLRLKHPFFAM96CA,新段,8.03,都市：住
RPTNMLNJLHPFFBM98CA,北投埔段,1064.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMKKHPFFCM68CA,水尾段,2100.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLMKKHPFFCM58CA,竹圍段,1160.75,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLNKKHPFFBM56CA,新富寮段,119.38,都市：住
RPQNMLOJLHPFFBM78CA,北勢段,245.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLOLKHPFFCM86CA,埔里段五十甲小段,268.00,都市：住
RPQNMLMKKHPFFBM58CA,新興段,33.05,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMLKHPFFBM78CA,中原段,18.16,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMLKHPFFBM78CA,中原段,71.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLOJLHPFFCM88CA,忠心段,8.55,都市：住
RPPOMLOJLHPFFCM88CA,忠心段,61.52,都市：住
RPRNMLSKKHPFFDM86CA,新和段,158.15,都市：住
RPTNMLNKKHPFFDM56CA,前山段,1680.79,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLNKKHPFFDM56CA,前山段,394.28,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMKKHPFFDM68CA,紫南段,24.78,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMKKHPFFDM68CA,紫南段,109.59,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMKKHPFFDM68CA,紫南段,27.90,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMKKHPFFDM68CA,南雲段,4.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMKKHPFFDM68CA,南雲段,2.19,非都市：鄉村區 ; 非都市編定：交通用地
RPPNMLQLKHPFFDM56CA,菩提段,304.00,都市：住
RPQNMLNJLHPFFEM98CA,下城段,276.35,非都市：特定農業區 ; 非都市編定：水利用地
RPRNMLNKKHPFFEM09CA,柴橋頭段北勢坑小段,1410.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLNKKHPFFEM09CA,柴橋頭段北勢坑小段,63.00,非都市：山坡地保育區 ; 非都市編定：交通用地
RPRNMLNKKHPFFEM09CA,柴橋頭段北勢坑小段,562.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRLKHPFFEM76CA,八張段,54.16,都市：其他
RPPNMLRLKHPFFEM76CA,八張段,293.13,都市：住
RPSNMLRKKHPFFAM66DA,先驅段,5050.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLRKKHPFFAM66DA,先驅段,3666.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLKLKHPFFDM98CA,延正段,96.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
