編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLLJNHPFFAM98CB,新段,32.13,都市：住
RPSNMLKMMHPFFAM98CB,新段,27.72,都市：住
RPVNMLPJNHPFFAM96CB,新段,32.13,都市：住
RPSNMLPJNHPFFAM66CB,新段,27.55,都市：住
RPQOMLLJNHPFFAM78CB,新段,31.99,都市：住
RPXNMLLJNHPFFAM76CB,新段,30.72,都市：住
RPTOMLOJNHPFFAM76CB,新段,27.56,都市：住
RPXNMLOJNHPFFAM07CB,新段,30.72,都市：住
RPRNMLLJNHPFFAM78CB,新段,31.99,都市：住
RPQNMLRJNHPFFAM66CB,新段,32.13,都市：住
RPXNMLQJNHPFFAM27CB,新段,32.13,都市：住
RPSNMLRJNHPFFAM86CB,新段,32.13,都市：住
RPPNMLSJNHPFFAM66CB,新段,27.15,都市：住
RPQNMLSJNHPFFAM76CB,新段,32.27,都市：住
RPRNMLSJNHPFFAM86CB,新段,27.28,都市：住
RPSNMLSJNHPFFAM96CB,新段,27.58,都市：住
RPWNMLSJNHPFFAM37CB,新段,27.58,都市：住
RPTNMLSJNHPFFAM07CB,新段,31.99,都市：住
RPUNMLSJNHPFFAM17CB,新段,32.13,都市：住
RPXNMLSJNHPFFAM47CB,新段,31.99,都市：住
RPOOMLSJNHPFFAM66CB,新段,27.55,都市：住
RPVNMLSJNHPFFAM27CB,新段,27.55,都市：住
RPPOMLSJNHPFFAM76CB,新段,27.58,都市：住
RPROMLSJNHPFFAM96CB,新段,35.27,都市：住
RPQOMLSJNHPFFAM86CB,新段,31.99,都市：住
RPTOMLSJNHPFFAM17CB,新段,27.58,都市：住
RPSOMLSJNHPFFAM07CB,新段,27.55,都市：住
